"phase","metric_name","expected_value_or_condition","actual_value","pass_flag","severity","notes"
"Phase 1B","num_sites","7","7","1","INFO",""
"Phase 1B","num_sectors","21","21","1","INFO",""
"Phase 1B","num_ues","500","500","1","INFO",""
"Phase 1B","attach_rate","around 0.982","0.982","1","INFO",""
"Phase 1B","planned_coverage_ratio","around 0.978","0.978067387158296","1","INFO",""
"Phase 2C","low_load_qos","near 1.0","1","1","INFO",""
"Phase 2C","normal_qos","high","0.986666666666667","1","INFO",""
"Phase 2C","overload_qos","degraded below normal","0.393333333333333","1","INFO",""
"Phase 2C","heavy_overload_qos","collapsed near 0","0","1","INFO",""
"Phase 3B","handover_stress_risk","clearly higher than normal","normal=0.175257731958763, handover_stress=0.41014799154334","1","INFO",""
"Phase 4","sector_rows","around 3528","3528","1","INFO",""
"Phase 4","validation_errors","0","0","1","INFO",""
"Phase 5","selected_k","4","4","1","INFO",""
"Phase 5","silhouette","moderate, not overclaimed","0.386407202079266","1","INFO",""
"Phase 6B","cod_validation_errors","0","0","1","INFO",""
"Phase 6B","outage_recall","high","1.0000","1","INFO",""
"Phase 6B","external_macro_f1","weaker than balanced test and reported","balanced=0.9704, external=0.7516","1","INFO",""
"Phase 7C","tp_test_r2","acceptable","0.6445","1","INFO",""
"Phase 7C","qp_bounded_limited","bounded improved but limited; bimodal target reported","QP raw R2=0.4778, overload R2=0.2592; bimodal/low variance notes present","1","MINOR",""
"Phase 8B","reward_nan_or_inf_count","0","0","1","INFO",""
"Phase 8B","duplicate_action_row_count","0 using semantic key","0","1","INFO",""
"Phase 8B","es_sleep_on_impaired_count","0","0","1","INFO",""
"Phase 8C","oracle_groups","around 2594","2594","1","INFO",""
"Phase 8C","unsafe_fallback_diagnostics","reported","273","1","INFO",""
"Phase 9A","total_rows","159152","159152","1","INFO",""
"Phase 9A","leakage_hits","0","0","1","INFO",""
"Phase 9B","models_exist","COC/OH, LB/MLB, ES, HO/MRO models","4 model files","1","INFO",""
"Phase 9B","warnings_allowed","weak R2 and unsafe raw top-1 warnings allowed","warnings=2","1","INFO",""
"Phase 10A","decision_groups","around 499","499","1","INFO",""
"Phase 10A","raw_unsafe_top1","around 188","188","1","INFO",""
"Phase 10A","residual_unsafe_fallback","around 45","45","1","INFO",""
"Phase 10A","reward_tie_audit","near-zero nonzero mismatches documented","nonzero_regret_mismatch_count=2; max_abs_reward_difference=0.004250941932975","1","INFO","Two small nonzero mismatches are documented as near-zero regret, not treated as a code bug."
"Phase 11B","final_rows","499","499","1","INFO",""
"Phase 11B","executable_safe_actions","after duplicate-target fix: <= 266 and > 0","206","1","INFO","Count may drop because duplicate application target/parameter conflicts are now rejected."
"Phase 11B","final_noop","186","186","1","INFO",""
"Phase 11B","rejected_priority_conflict",">= 2 after duplicate-target fix","62","1","INFO","Includes duplicate_application_target_parameter rejections after the fix."
"Phase 11B","unresolved_unsafe_fallback","45","45","1","INFO",""
"Phase 12A","implementable_now_before_extension","0","","1","INFO","Summary table shows 0 implementable_now."
"Phase 12B","action_state_extension","CIO, zero-CIO, PRS, tilt, clone pass","validation errors=0","1","INFO",""
"Phase 12C","eligible_actions","after duplicate-target fix: <= 104, COC/OH and LB/MLB only","60","1","INFO",""
"Phase 12C","excluded_es","57","57","1","INFO",""
"Phase 12C","excluded_homro","HO/MRO excluded from KPI update","89","1","INFO",""
"Phase 12D","applied_actions","equals Phase 12C eligible count","60","1","INFO",""
"Phase 12D","evaluated_groups","positive and duplicate-free after fix","24","1","INFO",""
"Phase 12D","mean_delta_attach","reported after duplicate-target fix","-0.0261","1","INFO",""
"Phase 12D","mean_delta_rsrp","reported after duplicate-target fix","0.1758","1","INFO",""
"Phase 12D","mean_delta_sinr","reported after duplicate-target fix","0.2054","1","INFO",""
"Phase 12D","mean_delta_load","reported after duplicate-target fix","-0.0505","1","INFO",""
"Phase 12D","mean_delta_qos","reported after duplicate-target fix","0.0040","1","INFO",""
"Phase 12E","ai_ml_evaluated_rows","equals Phase 12D applied rows","60","1","INFO",""
"Phase 12E","oracle_not_comparable_rows","0","0","1","INFO",""
"Run boundary","last_completed_phase","Phase 12E for pre-Phase-13 audit","Phase12E_final_comparison","1","BLOCKER","Pre-Phase-13 run should stop at Phase 12E."
