oracle_group_id,module_name,scenario_name,realization_id,source_sector_id,oracle_reward,raw_true_reward,safe_true_reward,raw_regret,safety_enforced_regret,raw_top1_oracle_match,safe_top1_oracle_match,safe_top2_oracle_match
6,COC/OH,outage_sector,2,2,0.16095,0.16095,0.16095,0,0,1,1,1
7,COC/OH,degraded_sector,3,3,0,0,0,0,0,1,1,1
25,COC/OH,degraded_sector,9,9,0,0,0,0,0,1,1,1
27,COC/OH,outage_sector,9,9,0.16095,0.16095,0.16095,0,0,1,1,1
29,COC/OH,mixed_conflict,10,10,0,0,0,0,0,1,1,1
32,COC/OH,mixed_conflict,11,11,-0.000928571428571385,-0.000928571428571385,-0.000928571428571385,0,0,0,0,1
39,COC/OH,outage_sector,13,13,0.16095,0.16095,0.16095,0,0,1,1,1
45,COC/OH,outage_sector,15,15,0.16095,0.16095,0.16095,0,0,1,1,1
47,COC/OH,mixed_conflict,16,16,-0.00499999999999993,-0.00499999999999993,-0.00499999999999993,0,0,1,1,1
50,COC/OH,mixed_conflict,17,17,-0.00199999999999993,-0.00199999999999993,-0.00199999999999993,0,0,1,1,1
52,COC/OH,degraded_sector,18,18,0,0,0,0,0,1,1,1
53,COC/OH,mixed_conflict,18,18,-0.00499999999999993,0,-0.00499999999999993,-0.00499999999999993,0,0,1,1
54,COC/OH,outage_sector,18,18,0.16095,0.16095,0.16095,0,0,1,1,1
58,COC/OH,degraded_sector,20,20,0.00395,0,0,0.00395,0.00395,0,0,0
61,COC/OH,degraded_sector,21,21,0.00395000000000002,0,0,0.00395000000000002,0.00395000000000002,0,0,0
67,LB/MLB,mixed_conflict,1,2,0.26125,0.26125,0.26125,0,0,1,1,1
68,LB/MLB,mixed_conflict,1,3,-0.1275,0,-0.1275,-0.1275,0,0,1,1
69,LB/MLB,mixed_conflict,1,6,-0.1275,0,-0.1275,-0.1275,0,0,1,1
70,LB/MLB,mixed_conflict,1,8,-0.1275,0,-0.1275,-0.1275,0,0,1,1
71,LB/MLB,mixed_conflict,1,10,-0.1338,-0.1338,-0.1338,0,0,1,1,1
72,LB/MLB,mixed_conflict,1,11,0,-0.1338,0,0.1338,0,0,1,1
73,LB/MLB,mixed_conflict,1,12,0,0,0,0,0,1,1,1
74,LB/MLB,mixed_conflict,1,13,0.26125,0.26125,0.26125,0,0,1,1,1
75,LB/MLB,mixed_conflict,1,14,0.26125,0.26125,0.26125,0,0,1,1,1
76,LB/MLB,mixed_conflict,1,16,-0.1275,-0.0947502984267834,-0.1275,-0.0327497015732166,0,0,1,1
77,LB/MLB,mixed_conflict,1,19,-0.1338,-0.1338,-0.1338,0,0,0,1,1
78,LB/MLB,mixed_conflict,1,20,0,0,0,0,0,1,1,1
79,LB/MLB,mixed_conflict,1,21,-0.1338,-0.1338,-0.1338,0,0,0,1,1
81,LB/MLB,overload,1,2,0.184543373614499,0.184543373614499,0.184543373614499,0,0,1,1,1
82,LB/MLB,overload,1,4,0.184543373614499,0.184543373614499,0.184543373614499,0,0,1,1,1
83,LB/MLB,overload,1,5,0.184543373614499,0.184543373614499,0.184543373614499,0,0,1,1,1
84,LB/MLB,overload,1,6,0,-0.1338,0,0.1338,0,0,1,1
85,LB/MLB,overload,1,8,-0.0675551058668644,-0.0675551058668644,-0.0675551058668644,0,0,1,1,1
86,LB/MLB,overload,1,9,0.184543373614499,0.184543373614499,0.184543373614499,0,0,1,1,1
87,LB/MLB,overload,1,10,0,0,0,0,0,1,1,1
88,LB/MLB,overload,1,11,0,-0.1338,0,0.1338,0,0,1,1
89,LB/MLB,overload,1,12,0,0,0,0,0,1,1,1
90,LB/MLB,overload,1,13,0,0,0,0,0,1,1,1
91,LB/MLB,overload,1,14,-0.0294387501523238,-0.0294387501523238,-0.0294387501523238,0,0,1,1,1
92,LB/MLB,overload,1,15,0.26125,0.26125,0.26125,0,0,1,1,1
