oracle_group_id,scenario_name,realization_id,source_sector_id,target_sector_id,module_name,selected_action_id_raw,selected_action_id_safe,raw_action_type,safe_action_type,raw_predicted_reward,safe_predicted_reward,raw_true_reward,safe_true_reward,raw_selected_safety_valid,safe_selected_safety_valid,safety_filter_changed_action,fallback_used,noop_selected,selection_reason,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action,oracle_action_id,oracle_reward,raw_regret,safety_enforced_regret,raw_top1_oracle_match,safe_top1_oracle_match,safe_top2_oracle_match
6,outage_sector,2,2,12,COC/OH,749,749,compensate_neighbor,compensate_neighbor,0.160636248543767,0.160636248543767,0.16095,0.16095,1,1,0,0,0,safe_best_predicted,3,-2,2,0,0,,749,0.16095,0,0,1,1,1
7,degraded_sector,3,3,0,COC/OH,853,853,no_op,no_op,-4.35471737441059e-05,-4.35471737441059e-05,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,853,0,0,0,1,1,1
25,degraded_sector,9,9,0,COC/OH,3409,3409,no_op,no_op,-0.00035749637135149,-0.00035749637135149,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,3409,0,0,0,1,1,1
27,outage_sector,9,9,1,COC/OH,3731,3731,compensate_neighbor,compensate_neighbor,0.160636248543767,0.160636248543767,0.16095,0.16095,1,1,0,0,0,safe_best_predicted,3,-2,2,0,0,,3731,0.16095,0,0,1,1,1
29,mixed_conflict,10,10,0,COC/OH,3977,3977,no_op,no_op,-0.00512197126769105,-0.00512197126769105,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,3977,0,0,0,1,1,1
32,mixed_conflict,11,11,2,COC/OH,4501,4501,compensate_neighbor,compensate_neighbor,-0.000115408596959731,-0.000115408596959731,-0.000928571428571385,-0.000928571428571385,1,1,0,0,0,safe_best_predicted,0,-1,0,0,0,,4454,-0.000928571428571385,0,0,0,0,1
39,outage_sector,13,13,2,COC/OH,5435,5435,compensate_neighbor,compensate_neighbor,0.160636248543767,0.160636248543767,0.16095,0.16095,1,1,0,0,0,safe_best_predicted,3,-2,2,0,0,,5435,0.16095,0,0,1,1,1
45,outage_sector,15,15,17,COC/OH,6287,6287,compensate_neighbor,compensate_neighbor,0.160636248543767,0.160636248543767,0.16095,0.16095,1,1,0,0,0,safe_best_predicted,3,-2,2,0,0,,6287,0.16095,0,0,1,1,1
47,mixed_conflict,16,16,3,COC/OH,6584,6584,compensate_neighbor,compensate_neighbor,-0.00500786867453692,-0.00500786867453692,-0.00499999999999993,-0.00499999999999993,1,1,0,0,0,safe_best_predicted,0,-1,0,0,0,,6584,-0.00499999999999993,0,0,1,1,1
50,mixed_conflict,17,17,12,COC/OH,7057,7057,compensate_neighbor,compensate_neighbor,-0.00182095972863442,-0.00182095972863442,-0.00199999999999993,-0.00199999999999993,1,1,0,0,0,safe_best_predicted,0,-1,0,0,0,,7057,-0.00199999999999993,0,0,1,1,1
52,degraded_sector,18,18,0,COC/OH,7243,7243,no_op,no_op,-0.000272820003060427,-0.000272820003060427,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,7243,0,0,0,1,1,1
53,mixed_conflict,18,18,15,COC/OH,7385,7483,no_op,compensate_neighbor,-0.00192065847326194,-0.00332555271297396,0,-0.00499999999999993,0,1,1,0,0,safe_best_predicted,0,-1,0,0,0,,7483,-0.00499999999999993,-0.00499999999999993,0,0,1,1
54,outage_sector,18,18,16,COC/OH,7565,7565,compensate_neighbor,compensate_neighbor,0.160636248543767,0.160636248543767,0.16095,0.16095,1,1,0,0,0,safe_best_predicted,3,-2,2,0,0,,7565,0.16095,0,0,1,1,1
