coordinator_group_id,oracle_group_id,scenario_name,realization_id,module_name,module_priority,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,selected_action_id_safe,safe_action_type,safe_selected_safety_valid,fallback_used,noop_selected,safety_enforced_regret,predicted_reward,true_reward,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,affected_parameter,action_scope,affected_sector_id
1,6,outage_sector,2,COC/OH,2,2,12,2,12,749,compensate_neighbor,1,0,0,0,0.160636248543767,0.16095,3,-2,2,0,0,,12,12,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,RS_power|tilt|CIO,source_neighbor,12
2,7,degraded_sector,3,COC/OH,2,3,0,3,0,853,no_op,1,0,1,0,-4.35471737441059e-05,0,0,0,0,0,0,,0,0,none,none,no_op,0
3,25,degraded_sector,9,COC/OH,2,9,0,9,0,3409,no_op,1,0,1,0,-0.00035749637135149,0,0,0,0,0,0,,0,0,none,none,no_op,0
4,27,outage_sector,9,COC/OH,2,9,1,9,1,3731,compensate_neighbor,1,0,0,0,0.160636248543767,0.16095,3,-2,2,0,0,,1,1,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,RS_power|tilt|CIO,source_neighbor,1
5,29,mixed_conflict,10,COC/OH,2,10,0,10,0,3977,no_op,1,0,1,0,-0.00512197126769105,0,0,0,0,0,0,,0,0,none,none,no_op,0
6,32,mixed_conflict,11,COC/OH,2,11,2,11,2,4501,compensate_neighbor,1,0,0,0,-0.000115408596959731,-0.000928571428571385,0,-1,0,0,0,,2,2,sectors.electricalTilt_deg,tilt,source_neighbor,2
7,39,outage_sector,13,COC/OH,2,13,2,13,2,5435,compensate_neighbor,1,0,0,0,0.160636248543767,0.16095,3,-2,2,0,0,,2,2,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,RS_power|tilt|CIO,source_neighbor,2
8,45,outage_sector,15,COC/OH,2,15,17,15,17,6287,compensate_neighbor,1,0,0,0,0.160636248543767,0.16095,3,-2,2,0,0,,17,17,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,RS_power|tilt|CIO,source_neighbor,17
9,47,mixed_conflict,16,COC/OH,2,16,3,16,3,6584,compensate_neighbor,1,0,0,0,-0.00500786867453692,-0.00499999999999993,0,-1,0,0,0,,3,3,sectors.electricalTilt_deg,tilt,source_neighbor,3
10,50,mixed_conflict,17,COC/OH,2,17,12,17,12,7057,compensate_neighbor,1,0,0,0,-0.00182095972863442,-0.00199999999999993,0,-1,0,0,0,,12,12,sectors.electricalTilt_deg,tilt,source_neighbor,12
11,52,degraded_sector,18,COC/OH,2,18,0,18,0,7243,no_op,1,0,1,0,-0.000272820003060427,0,0,0,0,0,0,,0,0,none,none,no_op,0
12,53,mixed_conflict,18,COC/OH,2,18,15,18,15,7483,compensate_neighbor,1,0,0,0,-0.00332555271297396,-0.00499999999999993,0,-1,0,0,0,,15,15,sectors.electricalTilt_deg,tilt,source_neighbor,15
13,54,outage_sector,18,COC/OH,2,18,16,18,16,7565,compensate_neighbor,1,0,0,0,0.160636248543767,0.16095,3,-2,2,0,0,,16,16,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,RS_power|tilt|CIO,source_neighbor,16
14,58,degraded_sector,20,COC/OH,2,20,0,20,0,8095,no_op,1,0,1,0.00395,0.0014523418097884,0,0,0,0,0,0,,0,0,none,none,no_op,0
15,61,degraded_sector,21,COC/OH,2,21,0,21,0,8521,no_op,1,0,1,0.00395000000000002,0.00145365761464079,0,0,0,0,0,0,,0,0,none,none,no_op,0
16,67,mixed_conflict,1,LB/MLB,3,2,1,2,1,8997,cio_bias_to_neighbor,1,0,0,0,0.260020551083948,0.26125,0,0,3,0,0,,2,1,sectors.cio_dB,CIO_bias,source_neighbor,2
16,68,mixed_conflict,1,LB/MLB,3,3,20,3,20,9005,cio_bias_to_neighbor,1,0,0,0,-0.127130150921156,-0.1275,0,0,-3,0,0,,3,20,sectors.cio_dB,CIO_bias,source_neighbor,3
16,69,mixed_conflict,1,LB/MLB,3,6,20,6,20,9022,cio_bias_to_neighbor,1,0,0,0,-0.127474682015444,-0.1275,0,0,-3,0,0,,6,20,sectors.cio_dB,CIO_bias,source_neighbor,6
16,70,mixed_conflict,1,LB/MLB,3,8,7,8,7,9031,cio_bias_to_neighbor,1,0,0,0,-0.127429719843049,-0.1275,0,0,-3,0,0,,8,7,sectors.cio_dB,CIO_bias,source_neighbor,8
16,71,mixed_conflict,1,LB/MLB,3,10,5,10,5,9048,cio_bias_to_neighbor,1,0,0,0,-0.133789913469233,-0.1338,0,0,-3,0,0,,10,5,sectors.cio_dB,CIO_bias,source_neighbor,10
16,72,mixed_conflict,1,LB/MLB,3,11,0,11,0,9051,no_op,0,1,1,0,-0.176937769321464,0,0,0,0,0,0,,0,0,none,none,no_op,0
16,73,mixed_conflict,1,LB/MLB,3,12,0,12,0,9064,no_op,0,1,1,0,-0.0859570034824891,0,0,0,0,0,0,,0,0,none,none,no_op,0
16,74,mixed_conflict,1,LB/MLB,3,13,15,13,15,9088,cio_bias_to_neighbor,1,0,0,0,0.25902965655893,0.26125,0,0,3,0,0,,13,15,sectors.cio_dB,CIO_bias,source_neighbor,13
16,75,mixed_conflict,1,LB/MLB,3,14,17,14,17,9097,cio_bias_to_neighbor,1,0,0,0,0.257872381918437,0.26125,0,0,3,0,0,,14,17,sectors.cio_dB,CIO_bias,source_neighbor,14
16,76,mixed_conflict,1,LB/MLB,3,16,20,16,20,9105,cio_bias_to_neighbor,1,0,0,0,-0.127634990048632,-0.1275,0,0,-3,0,0,,16,20,sectors.cio_dB,CIO_bias,source_neighbor,16
16,77,mixed_conflict,1,LB/MLB,3,19,20,19,20,9126,cio_bias_to_neighbor,1,0,0,0,-0.133758686848612,-0.1338,0,0,-3,0,0,,19,20,sectors.cio_dB,CIO_bias,source_neighbor,19
16,78,mixed_conflict,1,LB/MLB,3,20,0,20,0,9129,no_op,1,0,1,0,-0.000527324133679849,0,0,0,0,0,0,,0,0,none,none,no_op,0
16,79,mixed_conflict,1,LB/MLB,3,21,20,21,20,9152,cio_bias_to_neighbor,1,0,0,0,-0.133916477732956,-0.1338,0,0,-3,0,0,,21,20,sectors.cio_dB,CIO_bias,source_neighbor,21
17,81,overload,1,LB/MLB,3,2,1,2,1,9179,cio_bias_to_neighbor,1,0,0,0,0.19260091246556,0.184543373614499,0,0,3,0,0,,2,1,sectors.cio_dB,CIO_bias,source_neighbor,2
17,82,overload,1,LB/MLB,3,4,1,4,1,9188,cio_bias_to_neighbor,1,0,0,0,0.192136433857955,0.184543373614499,0,0,3,0,0,,4,1,sectors.cio_dB,CIO_bias,source_neighbor,4
17,83,overload,1,LB/MLB,3,5,1,5,1,9197,cio_bias_to_neighbor,1,0,0,0,0.192213061331476,0.184543373614499,0,0,3,0,0,,5,1,sectors.cio_dB,CIO_bias,source_neighbor,5
17,84,overload,1,LB/MLB,3,6,0,6,0,9207,no_op,0,1,1,0,-0.191956845995175,0,0,0,0,0,0,,0,0,none,none,no_op,0
17,85,overload,1,LB/MLB,3,8,7,8,7,9227,cio_bias_to_neighbor,1,0,0,0,-0.0754510912684237,-0.0675551058668644,0,0,3,0,0,,8,7,sectors.cio_dB,CIO_bias,source_neighbor,8
