action_id,scenario_name,realization_id,module_name,outcome_class,tradeoff_flag
749,outage_sector,2,COC/OH,mixed,1
3731,outage_sector,9,COC/OH,improved_with_tradeoff,1
4501,mixed_conflict,11,COC/OH,mixed,1
5435,outage_sector,13,COC/OH,mixed,1
6287,outage_sector,15,COC/OH,improved_with_tradeoff,1
6584,mixed_conflict,16,COC/OH,mixed,1
7057,mixed_conflict,17,COC/OH,improved_with_tradeoff,1
7483,mixed_conflict,18,COC/OH,improved_with_tradeoff,1
7565,outage_sector,18,COC/OH,mixed,1
17534,outage_sector,18,LB/MLB,mixed,1
8997,mixed_conflict,1,LB/MLB,improved_with_tradeoff,1
9005,mixed_conflict,1,LB/MLB,improved_with_tradeoff,1
9031,mixed_conflict,1,LB/MLB,improved_with_tradeoff,1
9048,mixed_conflict,1,LB/MLB,improved_with_tradeoff,1
9088,mixed_conflict,1,LB/MLB,improved_with_tradeoff,1
9097,mixed_conflict,1,LB/MLB,improved_with_tradeoff,1
9227,overload,1,LB/MLB,mixed,1
9236,overload,1,LB/MLB,mixed,1
9314,overload,1,LB/MLB,mixed,1
9366,overload,1,LB/MLB,mixed,1
9438,mixed_conflict,2,LB/MLB,mixed,1
9529,mixed_conflict,2,LB/MLB,mixed,1
9568,mixed_conflict,2,LB/MLB,mixed,1
9582,mixed_conflict,2,LB/MLB,mixed,1
9913,degraded_sector,3,LB/MLB,mixed,1
10028,mixed_conflict,3,LB/MLB,improved_with_tradeoff,1
10045,mixed_conflict,3,LB/MLB,improved_with_tradeoff,1
10068,mixed_conflict,3,LB/MLB,improved_with_tradeoff,1
10089,mixed_conflict,3,LB/MLB,improved_with_tradeoff,1
10111,mixed_conflict,3,LB/MLB,improved_with_tradeoff,1
10160,normal,3,LB/MLB,mixed,1
10433,degraded_sector,4,LB/MLB,mixed,1
10471,handover_stress,4,LB/MLB,mixed,1
10939,handover_stress,5,LB/MLB,mixed,1
10952,handover_stress,5,LB/MLB,mixed,1
11199,outage_sector,5,LB/MLB,unchanged,0
11446,degraded_sector,6,LB/MLB,mixed,1
11740,outage_sector,6,LB/MLB,mixed,1
12537,mixed_conflict,8,LB/MLB,mixed,1
12571,mixed_conflict,8,LB/MLB,mixed,1
12633,mixed_conflict,8,LB/MLB,mixed,1
12663,mixed_conflict,8,LB/MLB,mixed,1
14670,overload,12,LB/MLB,improved_with_tradeoff,1
14739,overload,12,LB/MLB,improved_with_tradeoff,1
14747,overload,12,LB/MLB,improved_with_tradeoff,1
14833,overload,12,LB/MLB,improved_with_tradeoff,1
14859,overload,12,LB/MLB,improved_with_tradeoff,1
15237,overload,13,LB/MLB,mixed,1
15675,normal,14,LB/MLB,improved_with_tradeoff,1
15718,overload,14,LB/MLB,improved_with_tradeoff,1
15818,overload,14,LB/MLB,improved_with_tradeoff,1
15873,overload,14,LB/MLB,improved_with_tradeoff,1
15879,overload,14,LB/MLB,improved_with_tradeoff,1
16247,overload,15,LB/MLB,mixed,1
16285,overload,15,LB/MLB,mixed,1
16295,overload,15,LB/MLB,mixed,1
16312,overload,15,LB/MLB,mixed,1
16451,handover_stress,16,LB/MLB,mixed,1
16888,handover_stress,17,LB/MLB,unchanged,0
17790,mixed_conflict,19,LB/MLB,improved_with_tradeoff,1
17816,mixed_conflict,19,LB/MLB,improved_with_tradeoff,1
17889,mixed_conflict,19,LB/MLB,improved_with_tradeoff,1
17893,mixed_conflict,19,LB/MLB,improved_with_tradeoff,1
17949,mixed_conflict,19,LB/MLB,improved_with_tradeoff,1
