feature_name,table_name,feature_role,intended_module,reason
realization_id,phase4b_sector_features_clustering,metadata,clustering,Traceability metadata excluded from input matrix.
scenario_id,phase4b_sector_features_clustering,metadata,clustering,Traceability metadata only; forbidden as ML input.
scenario_name,phase4b_sector_features_clustering,metadata,clustering,Traceability metadata only; forbidden as ML input.
site_id,phase4b_sector_features_clustering,metadata,clustering,Traceability metadata excluded from input matrix.
sector_id,phase4b_sector_features_clustering,metadata,clustering,Traceability metadata excluded from input matrix.
traffic_mode,phase4b_sector_features_clustering,metadata,clustering,Traceability metadata only; forbidden as ML input.
attached_ue_count,phase4b_sector_features_clustering,input_feature,clustering,Allowed KPI-derived input feature for this later module.
active_ue_count,phase4b_sector_features_clustering,input_feature,clustering,Allowed KPI-derived input feature for this later module.
offered_traffic_Mbps,phase4b_sector_features_clustering,input_feature,clustering,Allowed KPI-derived input feature for this later module.
served_traffic_Mbps,phase4b_sector_features_clustering,input_feature,clustering,Allowed KPI-derived input feature for this later module.
unserved_traffic_Mbps,phase4b_sector_features_clustering,input_feature,clustering,Allowed KPI-derived input feature for this later module.
sector_capacity_Mbps,phase4b_sector_features_clustering,input_feature,clustering,Allowed KPI-derived input feature for this later module.
sector_load_ratio,phase4b_sector_features_clustering,input_feature,clustering,Allowed KPI-derived input feature for this later module.
mean_RSRP_dBm,phase4b_sector_features_clustering,input_feature,clustering,Allowed KPI-derived input feature for this later module.
median_RSRP_dBm,phase4b_sector_features_clustering,input_feature,clustering,Allowed KPI-derived input feature for this later module.
mean_SINR_dB,phase4b_sector_features_clustering,input_feature,clustering,Allowed KPI-derived input feature for this later module.
median_SINR_dB,phase4b_sector_features_clustering,input_feature,clustering,Allowed KPI-derived input feature for this later module.
mean_UE_throughput_Mbps,phase4b_sector_features_clustering,input_feature,clustering,Allowed KPI-derived input feature for this later module.
median_UE_throughput_Mbps,phase4b_sector_features_clustering,input_feature,clustering,Allowed KPI-derived input feature for this later module.
qos_satisfaction_ratio,phase4b_sector_features_clustering,input_feature,clustering,Allowed KPI-derived input feature for this later module.
boundary_ue_ratio,phase4b_sector_features_clustering,input_feature,clustering,Allowed KPI-derived input feature for this later module.
handover_risk_score,phase4b_sector_features_clustering,input_feature,clustering,Allowed KPI-derived input feature for this later module.
attach_rate_sector,phase4b_sector_features_clustering,input_feature,clustering,Allowed KPI-derived input feature for this later module.
realization_id,phase4b_sector_features_cod,metadata,COD,Traceability metadata excluded from input matrix.
sector_id,phase4b_sector_features_cod,metadata,COD,Traceability metadata excluded from input matrix.
