feature_name,role,allowed_as_input,reason
row_id,metadata,0,"Traceability metadata only; excluded from COD input matrix."
realization_id,metadata,0,"Traceability metadata only; excluded from COD input matrix."
scenario_name,metadata,0,"Traceability metadata only; excluded from COD input matrix."
site_id,metadata,0,"Traceability metadata only; excluded from COD input matrix."
sector_id,metadata,0,"Traceability metadata only; excluded from COD input matrix."
impaired_sector_id,metadata,0,"Traceability metadata only; excluded from COD input matrix."
attached_ue_count,input_feature,1,"Allowed KPI-derived COD input feature."
active_ue_count,input_feature,1,"Allowed KPI-derived COD input feature."
offered_traffic_Mbps,input_feature,1,"Allowed KPI-derived COD input feature."
served_traffic_Mbps,input_feature,1,"Allowed KPI-derived COD input feature."
unserved_traffic_Mbps,input_feature,1,"Allowed KPI-derived COD input feature."
sector_load_ratio,input_feature,1,"Allowed KPI-derived COD input feature."
mean_RSRP_dBm,input_feature,1,"Allowed KPI-derived COD input feature."
median_RSRP_dBm,input_feature,1,"Allowed KPI-derived COD input feature."
mean_SINR_dB,input_feature,1,"Allowed KPI-derived COD input feature."
median_SINR_dB,input_feature,1,"Allowed KPI-derived COD input feature."
mean_UE_throughput_Mbps,input_feature,1,"Allowed KPI-derived COD input feature."
median_UE_throughput_Mbps,input_feature,1,"Allowed KPI-derived COD input feature."
qos_satisfaction_ratio,input_feature,1,"Allowed KPI-derived COD input feature."
boundary_ue_ratio,input_feature,1,"Allowed KPI-derived COD input feature."
handover_risk_score,input_feature,1,"Allowed KPI-derived COD input feature."
attach_rate_sector,input_feature,1,"Allowed KPI-derived COD input feature."
cod_label,target_label,0,"COD target label, not an input feature."
