model_name,split,metric_scope,scenario_name,metric_name,metric_value
TP,validation,overall,ALL,MAE,0.305444752791112
TP,validation,overall,ALL,RMSE,0.517154499648262
TP,validation,overall,ALL,R2,0.688397319160068
TP,validation,overall,ALL,MAPE,74.8469620249108
TP,validation,overall,ALL,mean_error,0.00917415420268729
TP,validation,overall,ALL,median_absolute_error,0.152007802546025
TP,validation,scenario,normal,MAE,0.222893427513162
TP,validation,scenario,normal,RMSE,0.331682962265764
TP,validation,scenario,normal,R2,0.393213673130443
TP,validation,scenario,normal,MAPE,90.5299346822807
TP,validation,scenario,normal,mean_error,0.0120875999829087
TP,validation,scenario,normal,median_absolute_error,0.139486409385915
TP,validation,scenario,low_load,MAE,0.0573130803840922
TP,validation,scenario,low_load,RMSE,0.0842003069031103
TP,validation,scenario,low_load,R2,-0.381508289550393
TP,validation,scenario,low_load,MAPE,95.9584606008221
TP,validation,scenario,low_load,mean_error,0.0163553224748935
TP,validation,scenario,low_load,median_absolute_error,0.0373007338936323
TP,validation,scenario,overload,MAE,0.481410738251478
TP,validation,scenario,overload,RMSE,0.701351519413002
TP,validation,scenario,overload,R2,0.538161255688437
TP,validation,scenario,overload,MAPE,57.5133646404714
TP,validation,scenario,overload,mean_error,0.0369903650157001
TP,validation,scenario,overload,median_absolute_error,0.299296809922054
TP,validation,scenario,handover_stress,MAE,0.250764499284369
TP,validation,scenario,handover_stress,RMSE,0.379228842703847
TP,validation,scenario,handover_stress,R2,0.418186419877617
TP,validation,scenario,handover_stress,MAPE,84.9742735020945
TP,validation,scenario,handover_stress,mean_error,0.00425201995602125
TP,validation,scenario,handover_stress,median_absolute_error,0.151696003017125
TP,validation,scenario,mixed_conflict,MAE,0.514842018522458
TP,validation,scenario,mixed_conflict,RMSE,0.764481611597576
TP,validation,scenario,mixed_conflict,R2,0.5914514754781
TP,validation,scenario,mixed_conflict,MAPE,54.2001687938205
TP,validation,scenario,mixed_conflict,mean_error,-0.0238145364160872
TP,validation,scenario,mixed_conflict,median_absolute_error,0.325756735936394
TP,test,overall,ALL,MAE,0.382575368438888
TP,test,overall,ALL,RMSE,0.616766918838168
TP,test,overall,ALL,R2,0.644502721759775
TP,test,overall,ALL,MAPE,72.4198162955759
TP,test,overall,ALL,mean_error,0.0019833686065825
TP,test,overall,ALL,median_absolute_error,0.208102061381204
TP,test,scenario,normal,MAE,0.277381266297925
TP,test,scenario,normal,RMSE,0.384605223740552
TP,test,scenario,normal,R2,0.239089646491751
TP,test,scenario,normal,MAPE,80.3141142057784
TP,test,scenario,normal,mean_error,0.00668754161867638
TP,test,scenario,normal,median_absolute_error,0.201714477892114
TP,test,scenario,low_load,MAE,0.0669141216906941
TP,test,scenario,low_load,RMSE,0.0911631293908377
TP,test,scenario,low_load,R2,-0.484559160265983
TP,test,scenario,low_load,MAPE,102.44547607051
TP,test,scenario,low_load,mean_error,0.0170836987064011
TP,test,scenario,low_load,median_absolute_error,0.0508613545642441
TP,test,scenario,overload,MAE,0.632374965285201
TP,test,scenario,overload,RMSE,0.886048685253439
TP,test,scenario,overload,R2,0.372920111743082
TP,test,scenario,overload,MAPE,48.654163217358
TP,test,scenario,overload,mean_error,-0.0578496749160885
TP,test,scenario,overload,median_absolute_error,0.446224764497904
TP,test,scenario,handover_stress,MAE,0.301478856605915
TP,test,scenario,handover_stress,RMSE,0.429941118082704
TP,test,scenario,handover_stress,R2,0.200268050750738
TP,test,scenario,handover_stress,MAPE,87.0001746145584
TP,test,scenario,handover_stress,mean_error,0.00260131002510792
TP,test,scenario,handover_stress,median_absolute_error,0.214032776983532
TP,test,scenario,mixed_conflict,MAE,0.634727632314708
TP,test,scenario,mixed_conflict,RMSE,0.880819861787434
TP,test,scenario,mixed_conflict,R2,0.387270673334088
TP,test,scenario,mixed_conflict,MAPE,52.7226838717946
TP,test,scenario,mixed_conflict,mean_error,0.0413939675988155
TP,test,scenario,mixed_conflict,median_absolute_error,0.455124760338288
