model_name,split,metric_scope,scenario_name,metric_name,metric_value
QP_throughput,validation,overall,ALL,MAE,1.14502816330732
QP_throughput,validation,overall,ALL,RMSE,1.51166237543054
QP_throughput,validation,overall,ALL,R2,0.530165018687009
QP_throughput,validation,overall,ALL,MAPE,31.5302895734896
QP_throughput,validation,overall,ALL,mean_error,-0.0176681250334907
QP_throughput,validation,overall,ALL,median_absolute_error,0.879809467416772
QP_throughput,validation,scenario,normal,MAE,1.26602695466298
QP_throughput,validation,scenario,normal,RMSE,1.65321042776158
QP_throughput,validation,scenario,normal,R2,0.392825519449282
QP_throughput,validation,scenario,normal,MAPE,34.6270598660728
QP_throughput,validation,scenario,normal,mean_error,-0.0295940348410159
QP_throughput,validation,scenario,normal,median_absolute_error,1.01050469874933
QP_throughput,validation,scenario,low_load,MAE,0.867855473948309
QP_throughput,validation,scenario,low_load,RMSE,1.08743066992082
QP_throughput,validation,scenario,low_load,R2,0.166942656225285
QP_throughput,validation,scenario,low_load,MAPE,45.1790454285243
QP_throughput,validation,scenario,low_load,mean_error,0.0329498535646847
QP_throughput,validation,scenario,low_load,median_absolute_error,0.702025227125962
QP_throughput,validation,scenario,overload,MAE,1.16452599472909
QP_throughput,validation,scenario,overload,RMSE,1.55508597463846
QP_throughput,validation,scenario,overload,R2,0.0991757336742444
QP_throughput,validation,scenario,overload,MAPE,23.6974721197635
QP_throughput,validation,scenario,overload,mean_error,-0.0714063888009814
QP_throughput,validation,scenario,overload,median_absolute_error,0.879568471211427
QP_throughput,validation,scenario,handover_stress,MAE,1.32981593845372
QP_throughput,validation,scenario,handover_stress,RMSE,1.73417131260445
QP_throughput,validation,scenario,handover_stress,R2,0.304687912418415
QP_throughput,validation,scenario,handover_stress,MAPE,35.6397674925604
QP_throughput,validation,scenario,handover_stress,mean_error,0.0284905728118565
QP_throughput,validation,scenario,handover_stress,median_absolute_error,1.05418273868517
QP_throughput,validation,scenario,mixed_conflict,MAE,1.09691645474251
QP_throughput,validation,scenario,mixed_conflict,RMSE,1.44373230764568
QP_throughput,validation,scenario,mixed_conflict,R2,0.0892730333882463
QP_throughput,validation,scenario,mixed_conflict,MAPE,23.7408561162863
QP_throughput,validation,scenario,mixed_conflict,mean_error,-0.0487806279019976
QP_throughput,validation,scenario,mixed_conflict,median_absolute_error,0.837175257812805
QP_throughput,test,overall,ALL,MAE,1.24154351761061
QP_throughput,test,overall,ALL,RMSE,1.61940690890568
QP_throughput,test,overall,ALL,R2,0.471874796108108
QP_throughput,test,overall,ALL,MAPE,30.3816432719922
QP_throughput,test,overall,ALL,mean_error,-0.00816379100817054
QP_throughput,test,overall,ALL,median_absolute_error,1.00565511983312
QP_throughput,test,scenario,normal,MAE,1.43424850699107
QP_throughput,test,scenario,normal,RMSE,1.88347443022982
QP_throughput,test,scenario,normal,R2,0.113811005550665
QP_throughput,test,scenario,normal,MAPE,30.932443485
QP_throughput,test,scenario,normal,mean_error,-0.109191815495612
QP_throughput,test,scenario,normal,median_absolute_error,1.11045856510555
QP_throughput,test,scenario,low_load,MAE,0.972232125775346
QP_throughput,test,scenario,low_load,RMSE,1.18421744726077
QP_throughput,test,scenario,low_load,R2,-0.0210810950178848
QP_throughput,test,scenario,low_load,MAPE,43.1007697840455
QP_throughput,test,scenario,low_load,mean_error,0.0801056123048162
QP_throughput,test,scenario,low_load,median_absolute_error,0.849576537789697
QP_throughput,test,scenario,overload,MAE,1.2557556007111
QP_throughput,test,scenario,overload,RMSE,1.59608379618851
QP_throughput,test,scenario,overload,R2,0.145598001697694
QP_throughput,test,scenario,overload,MAPE,25.63224909395
QP_throughput,test,scenario,overload,mean_error,0.0207146577877859
QP_throughput,test,scenario,overload,median_absolute_error,1.06596897168895
QP_throughput,test,scenario,handover_stress,MAE,1.34044623783362
QP_throughput,test,scenario,handover_stress,RMSE,1.75001461226317
QP_throughput,test,scenario,handover_stress,R2,0.126921707152884
QP_throughput,test,scenario,handover_stress,MAPE,31.170154113599
QP_throughput,test,scenario,handover_stress,mean_error,0.0872563360606773
QP_throughput,test,scenario,handover_stress,median_absolute_error,1.03571354445935
QP_throughput,test,scenario,mixed_conflict,MAE,1.20503511674189
QP_throughput,test,scenario,mixed_conflict,RMSE,1.59765833761188
QP_throughput,test,scenario,mixed_conflict,R2,0.151890081623669
QP_throughput,test,scenario,mixed_conflict,MAPE,24.6081411761535
QP_throughput,test,scenario,mixed_conflict,mean_error,-0.11970374569852
QP_throughput,test,scenario,mixed_conflict,median_absolute_error,0.972379023014342
