module_name,feature_name,importance
COC/OH,source_mean_RSRP_dBm,2.10505578561961e-06
COC/OH,delta_prs_dB,9.21261865133939e-07
COC/OH,source_mean_SINR_dB,7.98407893874599e-07
COC/OH,source_attach_rate_sector,6.82741773338488e-07
COC/OH,delta_tilt_deg,3.60823369311786e-07
COC/OH,target_sector_load,8.90761589553925e-08
COC/OH,delta_cio_dB,7.46178446808585e-08
COC/OH,source_sector_load,2.00593410054044e-09
COC/OH,source_qos_satisfaction_ratio,4.33360576795601e-10
COC/OH,source_handover_risk_score,3.00776728285113e-10
COC/OH,is_no_op,1.78524259291594e-10
LB/MLB,delta_cio_dB,2.17914338432259e-05
LB/MLB,source_sector_load,6.13669700463794e-06
LB/MLB,target_sector_load,3.38944248276465e-06
LB/MLB,source_qos_satisfaction_ratio,3.44733966525682e-07
LB/MLB,is_no_op,8.94086335123282e-08
LB/MLB,source_mean_RSRP_dBm,9.83425755779423e-09
LB/MLB,source_handover_risk_score,5.22725306421373e-09
LB/MLB,source_mean_SINR_dB,3.75591476164063e-09
LB/MLB,source_attach_rate_sector,1.74460764965846e-09
ES,es_action_code,0.000151222828260019
ES,sleep_flag,2.43662803421155e-05
ES,source_sector_load,1.01597933993177e-05
ES,source_qos_satisfaction_ratio,8.08773210684868e-06
ES,source_attach_rate_sector,6.41446550415765e-07
ES,source_handover_risk_score,1.19296099802058e-10
ES,source_mean_SINR_dB,6.48472962628515e-11
ES,source_mean_RSRP_dBm,6.19783063607666e-13
ES,target_sector_load,0
HO/MRO,delta_hom_dB,5.41245887749689e-07
HO/MRO,delta_ttt_ms,2.84775543671756e-07
HO/MRO,delta_cio_dB,1.68514913957921e-07
HO/MRO,source_qos_satisfaction_ratio,3.02442245300165e-08
HO/MRO,is_no_op,6.05395227159251e-09
HO/MRO,source_sector_load,6.89384718983713e-14
HO/MRO,target_sector_load,0
HO/MRO,source_mean_RSRP_dBm,0
HO/MRO,source_mean_SINR_dB,0
HO/MRO,source_handover_risk_score,0
HO/MRO,source_attach_rate_sector,0
