module_name,oracle_group_id,scenario_name,realization_id,source_sector_id,top1_predicted_action_id,oracle_reward,predicted_selected_true_reward,regret
COC/OH,6,outage_sector,2,2,749,0.16095,0.16095,0
COC/OH,7,degraded_sector,3,3,853,0,0,0
COC/OH,25,degraded_sector,9,9,3409,0,0,0
COC/OH,27,outage_sector,9,9,3731,0.16095,0.16095,0
COC/OH,29,mixed_conflict,10,10,3977,0,0,0
COC/OH,32,mixed_conflict,11,11,4501,-0.000928571428571385,-0.000928571428571385,0
COC/OH,39,outage_sector,13,13,5435,0.16095,0.16095,0
COC/OH,45,outage_sector,15,15,6287,0.16095,0.16095,0
COC/OH,47,mixed_conflict,16,16,6584,-0.00499999999999993,-0.00499999999999993,0
COC/OH,50,mixed_conflict,17,17,7057,-0.00199999999999993,-0.00199999999999993,0
COC/OH,52,degraded_sector,18,18,7243,0,0,0
COC/OH,53,mixed_conflict,18,18,7385,-0.00499999999999993,0,-0.00499999999999993
COC/OH,54,outage_sector,18,18,7565,0.16095,0.16095,0
COC/OH,58,degraded_sector,20,20,8095,0.00395,0,0.00395
COC/OH,61,degraded_sector,21,21,8521,0.00395000000000002,0,0.00395000000000002
LB/MLB,67,mixed_conflict,1,2,8997,0.26125,0.26125,0
LB/MLB,68,mixed_conflict,1,3,8999,-0.1275,0,-0.1275
LB/MLB,69,mixed_conflict,1,6,9012,-0.1275,0,-0.1275
LB/MLB,70,mixed_conflict,1,8,9025,-0.1275,0,-0.1275
LB/MLB,71,mixed_conflict,1,10,9048,-0.1338,-0.1338,0
LB/MLB,72,mixed_conflict,1,11,9053,0,-0.1338,0.1338
LB/MLB,73,mixed_conflict,1,12,9064,0,0,0
LB/MLB,74,mixed_conflict,1,13,9088,0.26125,0.26125,0
LB/MLB,75,mixed_conflict,1,14,9097,0.26125,0.26125,0
LB/MLB,76,mixed_conflict,1,16,9114,-0.1275,-0.0947502984267834,-0.0327497015732166
LB/MLB,77,mixed_conflict,1,19,9118,-0.1338,-0.1338,0
LB/MLB,78,mixed_conflict,1,20,9129,0,0,0
LB/MLB,79,mixed_conflict,1,21,9144,-0.1338,-0.1338,0
LB/MLB,81,overload,1,2,9179,0.184543373614499,0.184543373614499,0
LB/MLB,82,overload,1,4,9188,0.184543373614499,0.184543373614499,0
LB/MLB,83,overload,1,5,9197,0.184543373614499,0.184543373614499,0
LB/MLB,84,overload,1,6,9209,0,-0.1338,0.1338
LB/MLB,85,overload,1,8,9227,-0.0675551058668644,-0.0675551058668644,0
LB/MLB,86,overload,1,9,9236,0.184543373614499,0.184543373614499,0
LB/MLB,87,overload,1,10,9246,0,0,0
LB/MLB,88,overload,1,11,9261,0,-0.1338,0.1338
LB/MLB,89,overload,1,12,9272,0,0,0
LB/MLB,90,overload,1,13,9285,0,0,0
LB/MLB,91,overload,1,14,9305,-0.0294387501523238,-0.0294387501523238,0
LB/MLB,92,overload,1,15,9314,0.26125,0.26125,0
LB/MLB,93,overload,1,16,9332,0.0428336777262986,0.0428336777262986,0
LB/MLB,94,overload,1,18,9337,0,0,0
LB/MLB,95,overload,1,19,9350,0,0,0
LB/MLB,96,overload,1,20,9366,0.26125,0.26125,0
LB/MLB,97,overload,1,21,9378,0,-0.1338,0.1338
LB/MLB,99,mixed_conflict,2,1,9402,0,0,0
LB/MLB,100,mixed_conflict,2,3,9415,-0.1275,0,-0.1275
LB/MLB,101,mixed_conflict,2,4,9428,-0.1275,0,-0.1275
LB/MLB,102,mixed_conflict,2,5,9443,0,-0.1338,0.1338
LB/MLB,103,mixed_conflict,2,6,9454,-0.1275,0,-0.1275
LB/MLB,104,mixed_conflict,2,7,9469,0,-0.1338,0.1338
LB/MLB,105,mixed_conflict,2,8,9480,0,0,0
LB/MLB,106,mixed_conflict,2,9,9493,0,0,0
LB/MLB,107,mixed_conflict,2,10,9506,0,0,0
LB/MLB,108,mixed_conflict,2,11,9530,-0.1275,-0.475332966049175,0.347832966049175
LB/MLB,109,mixed_conflict,2,12,9538,-0.1338,-0.1338,0
LB/MLB,110,mixed_conflict,2,13,9545,-0.1275,0,-0.1275
LB/MLB,111,mixed_conflict,2,15,9560,-0.1338,-0.1338,0
LB/MLB,112,mixed_conflict,2,16,9582,0.26125,0.26125,0
LB/MLB,113,mixed_conflict,2,17,9584,0,0,0
LB/MLB,114,mixed_conflict,2,19,9597,0,0,0
LB/MLB,115,mixed_conflict,2,20,9610,0,0,0
LB/MLB,116,mixed_conflict,2,21,9623,-0.1275,0,-0.1275
LB/MLB,118,outage_sector,2,17,9649,0,0,0
LB/MLB,119,outage_sector,2,20,9662,0,0,0
LB/MLB,138,degraded_sector,3,1,9913,0.06625,0.06625,0
LB/MLB,142,mixed_conflict,3,4,9961,0,0,0
LB/MLB,143,mixed_conflict,3,5,9977,-0.1275,-0.421319950151505,0.293819950151505
LB/MLB,144,mixed_conflict,3,6,9987,0,0,0
LB/MLB,145,mixed_conflict,3,7,10000,0,0,0
LB/MLB,146,mixed_conflict,3,8,10013,0,0,0
LB/MLB,147,mixed_conflict,3,9,10026,-0.1275,0,-0.1275
LB/MLB,148,mixed_conflict,3,10,10039,-0.1275,0,-0.1275
LB/MLB,149,mixed_conflict,3,11,10052,0,0,0
LB/MLB,150,mixed_conflict,3,12,10068,0.0928114796445559,0.0928114796445559,0
LB/MLB,151,mixed_conflict,3,13,10089,0.24652193582895,0.24652193582895,0
LB/MLB,152,mixed_conflict,3,14,10102,0.0278065049344035,0.0278065049344035,0
LB/MLB,153,mixed_conflict,3,16,10111,0.26125,0.26125,0
LB/MLB,154,mixed_conflict,3,19,10117,0,0,0
LB/MLB,155,mixed_conflict,3,20,10133,0.26125,0.26125,0
LB/MLB,156,mixed_conflict,3,21,10143,0,0,0
LB/MLB,157,normal,3,3,10160,0.06625,0.06625,0
LB/MLB,176,degraded_sector,4,6,10403,0,0,0
LB/MLB,177,degraded_sector,4,12,10419,-0.0238668566292451,-0.0238668566292451,0
LB/MLB,178,degraded_sector,4,13,10433,0.05540156711438,0.05540156711438,0
LB/MLB,179,degraded_sector,4,17,10442,0,0,0
LB/MLB,180,handover_stress,4,2,10455,0,0,0
LB/MLB,181,handover_stress,4,16,10471,0.0697161126571549,0.0697161126571549,0
LB/MLB,217,handover_stress,5,3,10939,0.111482705411398,0.111482705411398,0
LB/MLB,218,handover_stress,5,4,10952,-0.0310552605818644,-0.0310552605818644,0
LB/MLB,219,handover_stress,5,20,10962,0,0,0
LB/MLB,237,outage_sector,5,1,11199,0.26125,0.26125,0
LB/MLB,256,degraded_sector,6,2,11446,-0.0300447383259831,-0.0300447383259831,0
LB/MLB,257,degraded_sector,6,16,11456,0,0,0
LB/MLB,258,degraded_sector,6,20,11469,0,0,0
LB/MLB,278,outage_sector,6,9,11740,-0.0229697407911832,-0.0229697407911832,0
LB/MLB,279,outage_sector,6,18,11742,0,0,0
LB/MLB,338,mixed_conflict,8,1,12511,0,-0.1338,0.1338
LB/MLB,339,mixed_conflict,8,2,12522,0,0,0
LB/MLB,340,mixed_conflict,8,3,12535,-0.1275,0,-0.1275
LB/MLB,341,mixed_conflict,8,4,12548,0,0,0
LB/MLB,342,mixed_conflict,8,5,12561,-0.127500000000001,0,-0.127500000000001
LB/MLB,343,mixed_conflict,8,6,12574,-0.1275,0,-0.1275
LB/MLB,344,mixed_conflict,8,7,12590,0.0549706298324548,0.0549706298324548,0
LB/MLB,345,mixed_conflict,8,9,12600,0,0,0
LB/MLB,346,mixed_conflict,8,10,12616,-0.0226783824449851,-0.0226783824449851,0
LB/MLB,347,mixed_conflict,8,11,12633,0.0549706298324548,0.0549706298324548,0
LB/MLB,348,mixed_conflict,8,12,12639,0,0,0
LB/MLB,349,mixed_conflict,8,13,12652,-0.0391649553756275,0,-0.0391649553756275
LB/MLB,350,mixed_conflict,8,16,12665,0,0,0
LB/MLB,351,mixed_conflict,8,19,12680,0,-0.1338,0.1338
LB/MLB,352,mixed_conflict,8,20,12693,-0.1338,-0.1338,0
LB/MLB,353,mixed_conflict,8,21,12706,0,-0.1338,0.1338
LB/MLB,445,degraded_sector,11,8,13900,0,0,0
LB/MLB,503,overload,12,3,14654,-0.1275,0,-0.1275
LB/MLB,504,overload,12,5,14670,0.26125,0.26125,0
LB/MLB,505,overload,12,6,14680,0,0,0
LB/MLB,506,overload,12,7,14705,0.06625,0.06625,0
LB/MLB,507,overload,12,8,14708,0,-0.1338,0.1338
LB/MLB,508,overload,12,9,14719,0,0,0
LB/MLB,509,overload,12,10,14739,0.00152607602945076,0.00152607602945076,0
LB/MLB,510,overload,12,12,14745,-0.1275,0,-0.1275
LB/MLB,511,overload,12,13,14760,-0.1338,-0.1338,0
LB/MLB,512,overload,12,14,14771,-0.1275,0,-0.1275
LB/MLB,513,overload,12,15,14784,0,0,0
LB/MLB,514,overload,12,16,14797,0,0,0
LB/MLB,515,overload,12,17,14816,-0.1338,-0.1338,0
LB/MLB,516,overload,12,18,14823,-0.1275,0,-0.1275
LB/MLB,517,overload,12,19,14842,-0.1338,-0.1338,0
LB/MLB,518,overload,12,20,14860,-0.1275,-0.288002582994867,0.160502582994867
LB/MLB,541,overload,13,1,15151,-0.1275,-0.129005393957205,0.001505393957205
LB/MLB,542,overload,13,2,15161,0,0,0
LB/MLB,543,overload,13,3,15174,0,0,0
LB/MLB,544,overload,13,6,15187,0,0,0
LB/MLB,545,overload,13,7,15202,0,-0.1338,0.1338
LB/MLB,546,overload,13,8,15213,0,0,0
LB/MLB,547,overload,13,9,15237,-0.1338,-0.152114420971201,0.018314420971201
LB/MLB,548,overload,13,10,15250,-0.1275,-0.129005393957205,0.001505393957205
LB/MLB,549,overload,13,11,15254,0,-0.1338,0.1338
LB/MLB,550,overload,13,12,15267,0,-0.1338,0.1338
LB/MLB,551,overload,13,13,15278,0,0,0
LB/MLB,552,overload,13,14,15293,0,-0.1338,0.1338
LB/MLB,553,overload,13,15,15304,0,0,0
LB/MLB,554,overload,13,16,15319,0,-0.1338,0.1338
LB/MLB,555,overload,13,17,15332,0,-0.1338,0.1338
LB/MLB,556,overload,13,18,15343,0,0,0
LB/MLB,557,overload,13,19,15356,0,0,0
LB/MLB,558,overload,13,20,15369,0,0,0
LB/MLB,559,overload,13,21,15384,0,-0.1338,0.1338
LB/MLB,581,normal,14,12,15675,0.253336968086199,0.253336968086199,0
LB/MLB,582,normal,14,15,15689,0.0496621311874375,0.0496621311874375,0
LB/MLB,584,overload,14,1,15718,-0.1338,-0.138640725292252,0.00484072529225199
LB/MLB,585,overload,14,2,15722,0,-0.1338,0.1338
LB/MLB,586,overload,14,4,15735,0,-0.1338,0.1338
LB/MLB,587,overload,14,5,15746,0,0,0
LB/MLB,588,overload,14,6,15771,-0.00140430236559004,-0.00280860473118,0.00140430236558996
LB/MLB,589,overload,14,7,15775,-0.1275,-0.145278750027144,0.017778750027144
LB/MLB,590,overload,14,9,15787,0,-0.1338,0.1338
LB/MLB,591,overload,14,10,15801,-0.1275,-0.145278750027144,0.017778750027144
LB/MLB,592,overload,14,11,15818,0.0319825215707537,0.0319825215707537,0
LB/MLB,593,overload,14,12,15826,0,-0.1338,0.1338
LB/MLB,594,overload,14,13,15837,0,0,0
LB/MLB,595,overload,14,14,15850,0,0,0
LB/MLB,596,overload,14,15,15863,-0.1275,0,-0.1275
LB/MLB,597,overload,14,16,15879,0.255353264755623,0.255353264755623,0
LB/MLB,598,overload,14,17,15889,0,0,0
LB/MLB,599,overload,14,18,15909,-0.1275,-0.141863030004856,0.014363030004856
LB/MLB,600,overload,14,19,15926,0.0710095313072528,0.0710095313072528,0
LB/MLB,601,overload,14,21,15939,0.242606461354412,0.242606461354412,0
LB/MLB,624,overload,15,1,16233,-0.1338,-0.1338,0
LB/MLB,625,overload,15,2,16247,-0.076381129789331,-0.076381129789331,0
LB/MLB,626,overload,15,3,16253,0,0,0
LB/MLB,627,overload,15,4,16277,0.0315120684507848,0.0241143715659886,0.0073976968847962
LB/MLB,628,overload,15,5,16286,-0.1275,-0.436694502130781,0.309194502130781
LB/MLB,629,overload,15,6,16295,0.180498402437508,0.180498402437508,0
LB/MLB,630,overload,15,7,16312,0.26125,0.26125,0
LB/MLB,631,overload,15,11,16322,-0.0109514471547328,-0.0219028943094653,0.0109514471547325
LB/MLB,632,overload,15,12,16343,0.06625,0.06625,0
LB/MLB,633,overload,15,15,16351,-0.0763811297893309,-0.0763811297893309,0
LB/MLB,634,overload,15,16,16357,0,0,0
LB/MLB,635,overload,15,17,16372,0,-0.1338,0.1338
LB/MLB,636,overload,15,18,16385,0,-0.1338,0.1338
LB/MLB,637,overload,15,20,16396,0,0,0
LB/MLB,638,overload,15,21,16412,0.180498402437508,0.180498402437508,0
LB/MLB,640,handover_stress,16,12,16435,0,0,0
LB/MLB,641,handover_stress,16,16,16451,-0.0376068534224859,-0.0376068534224859,0
LB/MLB,674,handover_stress,17,12,16888,0.119854897805275,0.119854897805275,0
LB/MLB,724,outage_sector,18,14,17534,-0.0265677932647433,-0.0265677932647433,0
LB/MLB,744,mixed_conflict,19,3,17790,-0.0253822742620194,-0.0253822742620194,0
LB/MLB,745,mixed_conflict,19,4,17807,0.0828676368966002,0.0828676368966002,0
LB/MLB,746,mixed_conflict,19,5,17816,0.26125,0.26125,0
LB/MLB,747,mixed_conflict,19,6,17833,-0.1275,-0.260824974586504,0.133324974586504
LB/MLB,748,mixed_conflict,19,7,17850,0.084969746098823,0.084969746098823,0
LB/MLB,749,mixed_conflict,19,8,17855,0.26125,0.26125,0
LB/MLB,750,mixed_conflict,19,11,17865,-0.0386537230535165,0,-0.0386537230535165
LB/MLB,751,mixed_conflict,19,12,17889,0.26125,0.26125,0
LB/MLB,752,mixed_conflict,19,13,17891,-0.1275,0,-0.1275
LB/MLB,753,mixed_conflict,19,14,17904,-0.1275,0,-0.1275
LB/MLB,754,mixed_conflict,19,15,17917,0,0,0
LB/MLB,755,mixed_conflict,19,17,17937,-0.1275,-0.241198701578211,0.113698701578211
LB/MLB,756,mixed_conflict,19,19,17943,-0.1275,0,-0.1275
LB/MLB,757,mixed_conflict,19,20,17963,-0.127499999999999,-0.260824974586504,0.133324974586505
LB/MLB,839,normal,21,13,19022,0,0,0
LB/MLB,840,normal,21,18,19035,0,0,0
ES,860,handover_stress,1,3,19296,0,-0.0262096920558899,0.0262096920558899
ES,861,low_load,1,2,19299,0.25,0.25,0
ES,862,low_load,1,3,19301,0,0,0
ES,863,low_load,1,4,19304,0,-0.0588774350486629,0.0588774350486629
ES,864,low_load,1,5,19307,0,-0.0769567119327216,0.0769567119327216
ES,865,low_load,1,7,19310,0,0.00907889032969367,-0.00907889032969367
ES,866,low_load,1,8,19313,0.25,0.25,0
ES,867,low_load,1,9,19316,0.25,0.25,0
ES,868,low_load,1,10,19319,0,-0.0808307865689945,0.0808307865689945
ES,869,low_load,1,11,19322,0,-0.0955416977560341,0.0955416977560341
ES,870,low_load,1,14,19325,0,-0.000601592040371801,0.000601592040371801
ES,871,low_load,1,15,19327,0,0,0
ES,872,low_load,1,16,19330,0.25,0.25,0
ES,873,low_load,1,17,19333,0,-0.0314669725371616,0.0314669725371616
ES,874,low_load,1,18,19336,0.25,0.25,0
ES,875,low_load,1,19,19339,0.25,0.25,0
ES,876,low_load,1,20,19342,0,-0.0141667662915572,0.0141667662915572
ES,900,handover_stress,2,6,19411,0,-0.17327682028623,0.17327682028623
ES,901,handover_stress,2,7,19414,0,-0.0300694652541914,0.0300694652541914
ES,902,low_load,2,1,19417,0.25,0.25,0
ES,903,low_load,2,2,19420,0.25,0.25,0
ES,904,low_load,2,4,19423,0,-0.0452379210940299,0.0452379210940299
ES,905,low_load,2,5,19426,0,-0.16252364066685,0.16252364066685
ES,906,low_load,2,6,19429,0,-0.0766730742886838,0.0766730742886838
ES,907,low_load,2,7,19432,0,0.00596265663078305,-0.00596265663078305
ES,908,low_load,2,8,19435,0,-0.0857584773101933,0.0857584773101933
ES,909,low_load,2,10,19438,0,-0.0449008715096541,0.0449008715096541
ES,910,low_load,2,11,19441,0,-0.0844550822062276,0.0844550822062276
ES,911,low_load,2,12,19444,0,-0.065240954576316,0.065240954576316
ES,912,low_load,2,13,19447,0.25,0.25,0
ES,913,low_load,2,14,19450,0.25,0.25,0
ES,914,low_load,2,15,19453,0,-0.0935026502541457,0.0935026502541457
ES,915,low_load,2,16,19456,0.25,0.25,0
ES,916,low_load,2,17,19459,0.25,0.25,0
ES,917,low_load,2,18,19462,0,-0.152070183779282,0.152070183779282
ES,918,low_load,2,19,19465,0,-0.107591944769029,0.107591944769029
ES,919,low_load,2,20,19468,0,-0.125586016917318,0.125586016917318
ES,920,low_load,2,21,19471,0.25,0.25,0
ES,940,normal,2,2,19529,0.25,0.25,0
ES,941,normal,2,7,19532,0,-0.0850965625122857,0.0850965625122857
ES,942,normal,2,21,19535,0.25,0.25,0
ES,947,degraded_sector,3,10,19549,0.25,0.25,0
ES,949,low_load,3,1,19554,0,0,0
ES,950,low_load,3,2,19557,0.25,0.25,0
ES,951,low_load,3,3,19560,0,-0.094800801266851,0.094800801266851
ES,952,low_load,3,4,19563,0,-0.0142318432876484,0.0142318432876484
ES,953,low_load,3,5,19566,0,-0.0312942160800185,0.0312942160800185
ES,954,low_load,3,6,19569,0,-0.0702978958375201,0.0702978958375201
ES,955,low_load,3,7,19572,0,-0.0478906560625791,0.0478906560625791
ES,956,low_load,3,8,19575,0,-0.128836201351317,0.128836201351317
ES,957,low_load,3,9,19578,0.25,0.25,0
ES,958,low_load,3,10,19581,0,-0.123027649486507,0.123027649486507
ES,959,low_load,3,11,19584,0,-0.0170761529261658,0.0170761529261658
ES,960,low_load,3,12,19587,0.25,0.25,0
ES,961,low_load,3,14,19590,0,-0.0165608701966439,0.0165608701966439
ES,962,low_load,3,15,19593,0,0.000276866006738929,-0.000276866006738929
ES,963,low_load,3,17,19596,0.25,0.25,0
ES,964,low_load,3,18,19599,0.25,0.25,0
ES,965,low_load,3,20,19602,0,-0.162147811915926,0.162147811915926
ES,966,low_load,3,21,19605,0.25,0.25,0
ES,987,outage_sector,3,3,19665,0,0,0
ES,988,outage_sector,3,13,19668,0,-0.0280383565140799,0.0280383565140799
ES,989,overload,3,7,19670,0,0,0
ES,990,degraded_sector,4,3,19673,0,-0.103942361920929,0.103942361920929
ES,991,degraded_sector,4,9,19676,0,-0.183605652301054,0.183605652301054
ES,1034,normal,4,12,19802,0.25,0.25,0
ES,1082,outage_sector,5,5,19939,0,0,0
ES,1083,outage_sector,5,11,19942,0,-0.112106931957408,0.112106931957408
ES,1084,outage_sector,5,13,19945,0.25,0.25,0
ES,1172,low_load,8,1,20200,0,0,0
ES,1173,low_load,8,3,20203,0,-0.169472799451129,0.169472799451129
ES,1174,low_load,8,4,20206,0,-0.00340777685450144,0.00340777685450144
ES,1175,low_load,8,5,20209,0.25,0.25,0
ES,1176,low_load,8,6,20212,0,-0.116955379421269,0.116955379421269
ES,1177,low_load,8,7,20215,0,-0.0469251680021001,0.0469251680021001
ES,1178,low_load,8,8,20218,0.25,0.25,0
ES,1179,low_load,8,10,20221,0.25,0.25,0
ES,1180,low_load,8,11,20223,0,0,0
ES,1181,low_load,8,13,20225,0,0,0
ES,1182,low_load,8,14,20228,0,-0.125586802338815,0.125586802338815
ES,1183,low_load,8,15,20231,0.25,0.25,0
ES,1184,low_load,8,16,20234,0.25,0.25,0
ES,1185,low_load,8,17,20237,0,-0.131727546561077,0.131727546561077
ES,1186,low_load,8,18,20240,0.25,0.25,0
ES,1187,low_load,8,20,20243,0,-0.184278326554016,0.184278326554016
ES,1188,low_load,8,21,20246,0.25,0.25,0
ES,1206,normal,8,3,20297,0,0,0
ES,1207,normal,8,14,20299,0,0,0
ES,1234,low_load_energy_saving_candidate,9,2,20375,0,-0.16640859894043,0.16640859894043
ES,1235,low_load_energy_saving_candidate,9,3,20378,0.25,0.25,0
ES,1236,low_load_energy_saving_candidate,9,4,20381,0,-0.0725716677361685,0.0725716677361685
ES,1237,low_load_energy_saving_candidate,9,5,20384,0.25,0.25,0
ES,1238,low_load_energy_saving_candidate,9,7,20387,0,-0.00860712131362229,0.00860712131362229
ES,1239,low_load_energy_saving_candidate,9,8,20390,0,-0.115722528296712,0.115722528296712
ES,1240,low_load_energy_saving_candidate,9,9,20393,0,-0.0949713053280697,0.0949713053280697
ES,1241,low_load_energy_saving_candidate,9,10,20396,0.25,0.25,0
ES,1242,low_load_energy_saving_candidate,9,11,20399,0,-0.0430591963119774,0.0430591963119774
ES,1243,low_load_energy_saving_candidate,9,12,20402,0.25,0.25,0
ES,1244,low_load_energy_saving_candidate,9,13,20405,0,-0.048763694794961,0.048763694794961
ES,1245,low_load_energy_saving_candidate,9,14,20407,0,0,0
ES,1246,low_load_energy_saving_candidate,9,15,20410,0,-0.123921624252962,0.123921624252962
ES,1247,low_load_energy_saving_candidate,9,16,20413,0,-0.176576520481573,0.176576520481573
ES,1248,low_load_energy_saving_candidate,9,17,20416,0.25,0.25,0
ES,1249,low_load_energy_saving_candidate,9,18,20419,0,-0.101052855169648,0.101052855169648
ES,1250,low_load_energy_saving_candidate,9,20,20422,0.25,0.25,0
ES,1251,low_load_energy_saving_candidate,9,21,20425,0.25,0.25,0
ES,1257,degraded_sector,10,5,20442,0,-0.0732099943842824,0.0732099943842824
ES,1258,degraded_sector,10,10,20444,0,0,0
ES,1339,mixed_conflict,11,2,20678,0.25,0.25,0
ES,1423,normal,13,19,20920,0.25,0.25,0
ES,1447,low_load_energy_saving_candidate,14,1,20988,0,-0.155612114135543,0.155612114135543
ES,1448,low_load_energy_saving_candidate,14,2,20991,0,-0.0477192891853813,0.0477192891853813
ES,1449,low_load_energy_saving_candidate,14,3,20994,0,-0.0318234701820656,0.0318234701820656
ES,1450,low_load_energy_saving_candidate,14,4,20997,0,-0.0426089281782982,0.0426089281782982
ES,1451,low_load_energy_saving_candidate,14,5,21000,0,-0.108482684566407,0.108482684566407
ES,1452,low_load_energy_saving_candidate,14,6,21003,0.25,0.25,0
ES,1453,low_load_energy_saving_candidate,14,7,21005,0,0,0
ES,1454,low_load_energy_saving_candidate,14,8,21008,0,-0.130171122061664,0.130171122061664
ES,1455,low_load_energy_saving_candidate,14,9,21010,0,0,0
ES,1456,low_load_energy_saving_candidate,14,10,21013,0,-0.00694388349663233,0.00694388349663233
ES,1457,low_load_energy_saving_candidate,14,11,21016,0,-0.0301794378181946,0.0301794378181946
ES,1458,low_load_energy_saving_candidate,14,13,21019,0,-0.124830504351044,0.124830504351044
ES,1459,low_load_energy_saving_candidate,14,14,21022,0.25,0.25,0
ES,1460,low_load_energy_saving_candidate,14,15,21025,0,-0.0413015177092059,0.0413015177092059
ES,1461,low_load_energy_saving_candidate,14,16,21028,0,-0.051763096294112,0.051763096294112
ES,1462,low_load_energy_saving_candidate,14,17,21031,0.25,0.25,0
ES,1463,low_load_energy_saving_candidate,14,18,21034,0.25,0.25,0
ES,1464,low_load_energy_saving_candidate,14,21,21037,0,-0.0623733592877302,0.0623733592877302
ES,1470,handover_stress,15,13,21054,0,-0.0358850711017396,0.0358850711017396
ES,1471,handover_stress,15,21,21057,0,-0.0100889196787874,0.0100889196787874
ES,1492,low_load_energy_saving_candidate,15,1,21119,0,-0.144356935848118,0.144356935848118
ES,1493,low_load_energy_saving_candidate,15,3,21122,0,-0.0814035169965422,0.0814035169965422
ES,1494,low_load_energy_saving_candidate,15,4,21125,0,0.0128037392732393,-0.0128037392732393
ES,1495,low_load_energy_saving_candidate,15,5,21128,0,-0.0441939266506188,0.0441939266506188
ES,1496,low_load_energy_saving_candidate,15,6,21131,0,-0.0425064503133116,0.0425064503133116
ES,1497,low_load_energy_saving_candidate,15,7,21134,0.25,0.25,0
ES,1498,low_load_energy_saving_candidate,15,8,21137,0,-0.0407728298679302,0.0407728298679302
ES,1499,low_load_energy_saving_candidate,15,9,21140,0,-0.168209999481508,0.168209999481508
ES,1500,low_load_energy_saving_candidate,15,10,21143,0.25,0.25,0
ES,1501,low_load_energy_saving_candidate,15,11,21146,0,-0.0807931673082495,0.0807931673082495
ES,1502,low_load_energy_saving_candidate,15,12,21149,0.25,0.25,0
ES,1503,low_load_energy_saving_candidate,15,13,21152,0.25,0.25,0
ES,1504,low_load_energy_saving_candidate,15,14,21155,0,-0.137130643700292,0.137130643700292
ES,1505,low_load_energy_saving_candidate,15,15,21158,0.25,0.25,0
ES,1506,low_load_energy_saving_candidate,15,16,21161,0.25,0.25,0
ES,1507,low_load_energy_saving_candidate,15,17,21164,0,-0.129769815238694,0.129769815238694
ES,1508,low_load_energy_saving_candidate,15,18,21167,0.25,0.25,0
ES,1509,low_load_energy_saving_candidate,15,19,21170,0.25,0.25,0
ES,1510,low_load_energy_saving_candidate,15,20,21173,0,-0.0706649403593719,0.0706649403593719
ES,1511,low_load_energy_saving_candidate,15,21,21176,0,-0.0637237054836939,0.0637237054836939
