oracle_group_id,module_name,scenario_name,realization_id,source_sector_id,selected_action_id_raw,selected_action_id_safe,oracle_action_id,raw_predicted_reward,safe_predicted_reward,raw_true_reward,safe_true_reward,oracle_reward,raw_selected_safety_valid,safe_selected_safety_valid,safety_filter_changed_action,fallback_used,noop_selected,selection_reason,raw_regret,safety_enforced_regret,raw_top1_oracle_match,safe_top1_oracle_match,safe_top2_oracle_match
6,COC/OH,outage_sector,2,2,749,749,749,0.160636248543767,0.160636248543767,0.16095,0.16095,0.16095,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
7,COC/OH,degraded_sector,3,3,853,853,853,-4.35471737441059e-05,-4.35471737441059e-05,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
25,COC/OH,degraded_sector,9,9,3409,3409,3409,-0.00035749637135149,-0.00035749637135149,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
27,COC/OH,outage_sector,9,9,3731,3731,3731,0.160636248543767,0.160636248543767,0.16095,0.16095,0.16095,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
29,COC/OH,mixed_conflict,10,10,3977,3977,3977,-0.00512197126769105,-0.00512197126769105,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
32,COC/OH,mixed_conflict,11,11,4501,4501,4454,-0.000115408596959731,-0.000115408596959731,-0.000928571428571385,-0.000928571428571385,-0.000928571428571385,1,1,0,0,0,safe_best_predicted,0,0,0,0,1
39,COC/OH,outage_sector,13,13,5435,5435,5435,0.160636248543767,0.160636248543767,0.16095,0.16095,0.16095,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
45,COC/OH,outage_sector,15,15,6287,6287,6287,0.160636248543767,0.160636248543767,0.16095,0.16095,0.16095,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
47,COC/OH,mixed_conflict,16,16,6584,6584,6584,-0.00500786867453692,-0.00500786867453692,-0.00499999999999993,-0.00499999999999993,-0.00499999999999993,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
50,COC/OH,mixed_conflict,17,17,7057,7057,7057,-0.00182095972863442,-0.00182095972863442,-0.00199999999999993,-0.00199999999999993,-0.00199999999999993,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
52,COC/OH,degraded_sector,18,18,7243,7243,7243,-0.000272820003060427,-0.000272820003060427,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
53,COC/OH,mixed_conflict,18,18,7385,7483,7483,-0.00192065847326194,-0.00332555271297396,0,-0.00499999999999993,-0.00499999999999993,0,1,1,0,0,safe_best_predicted,-0.00499999999999993,0,0,1,1
54,COC/OH,outage_sector,18,18,7565,7565,7565,0.160636248543767,0.160636248543767,0.16095,0.16095,0.16095,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
58,COC/OH,degraded_sector,20,20,8095,8095,8131,0.0014523418097884,0.0014523418097884,0,0,0.00395,1,1,0,0,1,safe_best_predicted,0.00395,0.00395,0,0,0
61,COC/OH,degraded_sector,21,21,8521,8521,8557,0.00145365761464079,0.00145365761464079,0,0,0.00395000000000002,1,1,0,0,1,safe_best_predicted,0.00395000000000002,0.00395000000000002,0,0,0
67,LB/MLB,mixed_conflict,1,2,8997,8997,8997,0.260020551083948,0.260020551083948,0.26125,0.26125,0.26125,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
68,LB/MLB,mixed_conflict,1,3,8999,9005,9005,-0.0821929431139403,-0.127130150921156,0,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,-0.1275,0,0,1,1
69,LB/MLB,mixed_conflict,1,6,9012,9022,9022,-0.0826804213081285,-0.127474682015444,0,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,-0.1275,0,0,1,1
70,LB/MLB,mixed_conflict,1,8,9025,9031,9031,-0.0863256684458326,-0.127429719843049,0,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,-0.1275,0,0,1,1
71,LB/MLB,mixed_conflict,1,10,9048,9048,9048,-0.133789913469233,-0.133789913469233,-0.1338,-0.1338,-0.1338,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
72,LB/MLB,mixed_conflict,1,11,9053,9051,9051,-0.13387002387157,-0.176937769321464,-0.1338,0,0,0,0,1,1,1,no_safe_action_fallback_noop,0.1338,0,0,1,1
73,LB/MLB,mixed_conflict,1,12,9064,9064,9064,-0.0859570034824891,-0.0859570034824891,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
74,LB/MLB,mixed_conflict,1,13,9088,9088,9088,0.25902965655893,0.25902965655893,0.26125,0.26125,0.26125,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
75,LB/MLB,mixed_conflict,1,14,9097,9097,9097,0.257872381918437,0.257872381918437,0.26125,0.26125,0.26125,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
76,LB/MLB,mixed_conflict,1,16,9114,9105,9105,-0.0799656308882922,-0.127634990048632,-0.0947502984267834,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,-0.0327497015732166,0,0,1,1
77,LB/MLB,mixed_conflict,1,19,9118,9126,9126,-0.133758686848612,-0.133758686848612,-0.1338,-0.1338,-0.1338,0,1,1,0,0,safe_best_predicted,0,0,0,1,1
78,LB/MLB,mixed_conflict,1,20,9129,9129,9129,-0.000527324133679849,-0.000527324133679849,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
79,LB/MLB,mixed_conflict,1,21,9144,9152,9152,-0.133916477732956,-0.133916477732956,-0.1338,-0.1338,-0.1338,0,1,1,0,0,safe_best_predicted,0,0,0,1,1
81,LB/MLB,overload,1,2,9179,9179,9179,0.19260091246556,0.19260091246556,0.184543373614499,0.184543373614499,0.184543373614499,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
82,LB/MLB,overload,1,4,9188,9188,9188,0.192136433857955,0.192136433857955,0.184543373614499,0.184543373614499,0.184543373614499,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
83,LB/MLB,overload,1,5,9197,9197,9197,0.192213061331476,0.192213061331476,0.184543373614499,0.184543373614499,0.184543373614499,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
84,LB/MLB,overload,1,6,9209,9207,9207,-0.133700236665076,-0.191956845995175,-0.1338,0,0,0,0,1,1,1,no_safe_action_fallback_noop,0.1338,0,0,1,1
85,LB/MLB,overload,1,8,9227,9227,9227,-0.0754510912684237,-0.0754510912684237,-0.0675551058668644,-0.0675551058668644,-0.0675551058668644,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
86,LB/MLB,overload,1,9,9236,9236,9236,0.193613343713998,0.193613343713998,0.184543373614499,0.184543373614499,0.184543373614499,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
87,LB/MLB,overload,1,10,9246,9246,9246,-0.0892107496732443,-0.0892107496732443,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
88,LB/MLB,overload,1,11,9261,9259,9259,-0.133789008722088,-0.271557650908882,-0.1338,0,0,0,0,1,1,1,no_safe_action_fallback_noop,0.1338,0,0,1,1
89,LB/MLB,overload,1,12,9272,9272,9272,-0.0851192821054908,-0.0851192821054908,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
90,LB/MLB,overload,1,13,9285,9285,9285,-0.0873060046283928,-0.0873060046283928,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
91,LB/MLB,overload,1,14,9305,9305,9305,-0.0300884997729989,-0.0300884997729989,-0.0294387501523238,-0.0294387501523238,-0.0294387501523238,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
92,LB/MLB,overload,1,15,9314,9314,9314,0.260402700543997,0.260402700543997,0.26125,0.26125,0.26125,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
93,LB/MLB,overload,1,16,9332,9332,9332,0.0302179721162964,0.0302179721162964,0.0428336777262986,0.0428336777262986,0.0428336777262986,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
94,LB/MLB,overload,1,18,9337,9337,9337,-0.00140181645276361,-0.00140181645276361,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
95,LB/MLB,overload,1,19,9350,9350,9350,-0.0828531508490118,-0.0828531508490118,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
96,LB/MLB,overload,1,20,9366,9366,9366,0.258837036692868,0.258837036692868,0.26125,0.26125,0.26125,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
97,LB/MLB,overload,1,21,9378,9376,9376,-0.133805856388831,-0.186008102632537,-0.1338,0,0,0,0,1,1,1,no_safe_action_fallback_noop,0.1338,0,0,1,1
99,LB/MLB,mixed_conflict,2,1,9402,9402,9402,-0.0900057319360035,-0.0900057319360035,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
100,LB/MLB,mixed_conflict,2,3,9415,9425,9425,-0.0745822714707552,-0.127660944711165,0,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,-0.1275,0,0,1,1
101,LB/MLB,mixed_conflict,2,4,9428,9438,9438,-0.0785931692877713,-0.12748666789774,0,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,-0.1275,0,0,1,1
102,LB/MLB,mixed_conflict,2,5,9443,9441,9441,-0.128734622696948,-0.236711859668221,-0.1338,0,0,0,0,1,1,1,no_safe_action_fallback_noop,0.1338,0,0,1,1
103,LB/MLB,mixed_conflict,2,6,9454,9456,9456,-0.0875542999337249,-0.127514451695031,0,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,-0.1275,0,0,1,1
104,LB/MLB,mixed_conflict,2,7,9469,9467,9467,-0.133824615005311,-0.139263480492008,-0.1338,0,0,0,0,1,1,1,no_safe_action_fallback_noop,0.1338,0,0,1,1
105,LB/MLB,mixed_conflict,2,8,9480,9480,9480,-0.0877738358492946,-0.0877738358492946,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
106,LB/MLB,mixed_conflict,2,9,9493,9493,9493,-0.0831754340818798,-0.0831754340818798,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
107,LB/MLB,mixed_conflict,2,10,9506,9506,9506,-0.0872465833634093,-0.0872465833634093,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
108,LB/MLB,mixed_conflict,2,11,9530,9529,9529,-0.0760511306848844,-0.127523543170048,-0.475332966049175,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,0.347832966049175,0,0,1,1
109,LB/MLB,mixed_conflict,2,12,9538,9534,9534,-0.133795332778057,-0.133890524556515,-0.1338,-0.1338,-0.1338,0,1,1,0,0,safe_best_predicted,0,0,0,1,1
110,LB/MLB,mixed_conflict,2,13,9545,9547,9547,-0.08235893219021,-0.127633022004223,0,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,-0.1275,0,0,1,1
111,LB/MLB,mixed_conflict,2,15,9560,9568,9568,-0.133768626310556,-0.13379173981548,-0.1338,-0.1338,-0.1338,0,1,1,0,0,safe_best_predicted,0,0,0,1,1
112,LB/MLB,mixed_conflict,2,16,9582,9582,9582,0.259682175745716,0.259682175745716,0.26125,0.26125,0.26125,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
113,LB/MLB,mixed_conflict,2,17,9584,9584,9584,-0.0861540053658843,-0.0861540053658843,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
