coordinator_group_id,scenario_name,realization_id,conflict_id,conflict_type,module_a,module_b,action_id_a,action_id_b,affected_sector_id,affected_parameter,application_affected_sector_id,application_state_variable,conflict_reason,severity
6,mixed_conflict,11,1,same_sector_orthogonal_param,COC/OH,ES,4501,20678,2,sectors.electricalTilt_deg|sectors.is_sleeping,2,sectors.electricalTilt_deg|sectors.is_sleeping,Different simulator state variables on same application sector; both can coexist if safe.,info
6,mixed_conflict,11,2,es_sleep_overlap,ES,COC/OH,20678,4501,2,ES_state,2,ES_state,ES sleep on a sector also touched by COC/LB/HO-MRO action.,error
16,mixed_conflict,1,3,duplicate_application_target_parameter,LB/MLB,LB/MLB,9005,9022,20,sectors.cio_dB,20,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
16,mixed_conflict,1,4,duplicate_application_target_parameter,LB/MLB,LB/MLB,9005,9105,20,sectors.cio_dB,20,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
16,mixed_conflict,1,5,duplicate_application_target_parameter,LB/MLB,LB/MLB,9005,9126,20,sectors.cio_dB,20,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
16,mixed_conflict,1,6,duplicate_application_target_parameter,LB/MLB,LB/MLB,9005,9152,20,sectors.cio_dB,20,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
16,mixed_conflict,1,7,duplicate_application_target_parameter,LB/MLB,LB/MLB,9022,9105,20,sectors.cio_dB,20,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
16,mixed_conflict,1,8,duplicate_application_target_parameter,LB/MLB,LB/MLB,9022,9126,20,sectors.cio_dB,20,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
16,mixed_conflict,1,9,duplicate_application_target_parameter,LB/MLB,LB/MLB,9022,9152,20,sectors.cio_dB,20,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
16,mixed_conflict,1,10,duplicate_application_target_parameter,LB/MLB,LB/MLB,9105,9126,20,sectors.cio_dB,20,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
16,mixed_conflict,1,11,duplicate_application_target_parameter,LB/MLB,LB/MLB,9105,9152,20,sectors.cio_dB,20,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
16,mixed_conflict,1,12,duplicate_application_target_parameter,LB/MLB,LB/MLB,9126,9152,20,sectors.cio_dB,20,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
17,overload,1,13,duplicate_application_target_parameter,LB/MLB,LB/MLB,9179,9188,1,sectors.cio_dB,1,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
17,overload,1,14,duplicate_application_target_parameter,LB/MLB,LB/MLB,9179,9197,1,sectors.cio_dB,1,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
17,overload,1,15,duplicate_application_target_parameter,LB/MLB,LB/MLB,9179,9236,1,sectors.cio_dB,1,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
17,overload,1,16,duplicate_application_target_parameter,LB/MLB,LB/MLB,9188,9197,1,sectors.cio_dB,1,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
17,overload,1,17,duplicate_application_target_parameter,LB/MLB,LB/MLB,9188,9236,1,sectors.cio_dB,1,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
17,overload,1,18,duplicate_application_target_parameter,LB/MLB,LB/MLB,9197,9236,1,sectors.cio_dB,1,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
17,overload,1,19,duplicate_application_target_parameter,LB/MLB,LB/MLB,9332,9366,3,sectors.cio_dB,3,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
17,overload,1,20,duplicate_application_target_parameter,LB/MLB,LB/MLB,9305,9314,17,sectors.cio_dB,17,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
18,mixed_conflict,2,21,duplicate_application_target_parameter,LB/MLB,LB/MLB,9425,9529,2,sectors.cio_dB,2,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
18,mixed_conflict,2,22,duplicate_application_target_parameter,LB/MLB,LB/MLB,9425,9534,2,sectors.cio_dB,2,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
18,mixed_conflict,2,23,duplicate_application_target_parameter,LB/MLB,LB/MLB,9425,9547,2,sectors.cio_dB,2,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
18,mixed_conflict,2,24,duplicate_application_target_parameter,LB/MLB,LB/MLB,9529,9534,2,sectors.cio_dB,2,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
18,mixed_conflict,2,25,duplicate_application_target_parameter,LB/MLB,LB/MLB,9529,9547,2,sectors.cio_dB,2,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
18,mixed_conflict,2,26,duplicate_application_target_parameter,LB/MLB,LB/MLB,9534,9547,2,sectors.cio_dB,2,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
18,mixed_conflict,2,27,duplicate_application_target_parameter,LB/MLB,LB/MLB,9438,9456,19,sectors.cio_dB,19,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
18,mixed_conflict,2,28,duplicate_application_target_parameter,LB/MLB,LB/MLB,9438,9625,19,sectors.cio_dB,19,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
18,mixed_conflict,2,29,duplicate_application_target_parameter,LB/MLB,LB/MLB,9456,9625,19,sectors.cio_dB,19,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
19,mixed_conflict,3,30,duplicate_application_target_parameter,LB/MLB,LB/MLB,9976,10028,1,sectors.cio_dB,1,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
19,mixed_conflict,3,31,duplicate_application_target_parameter,LB/MLB,LB/MLB,10068,10102,2,sectors.cio_dB,2,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
19,mixed_conflict,3,32,duplicate_application_target_parameter,LB/MLB,LB/MLB,10111,10133,3,sectors.cio_dB,3,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
21,degraded_sector,4,33,duplicate_application_target_parameter,LB/MLB,LB/MLB,10419,10433,2,sectors.cio_dB,2,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
26,outage_sector,6,34,duplicate_application_target_parameter,HO/MRO,HO/MRO,49917,50095,1,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,1,sectors.cio_dB|sectors.hom_offset_dB|sectors.ttt_offset_ms,Both actions write the same simulator state variable on the same application sector.,error
27,mixed_conflict,8,35,duplicate_application_target_parameter,LB/MLB,LB/MLB,12590,12616,8,sectors.cio_dB,8,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
27,mixed_conflict,8,36,duplicate_application_target_parameter,LB/MLB,LB/MLB,12590,12633,8,sectors.cio_dB,8,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
27,mixed_conflict,8,37,duplicate_application_target_parameter,LB/MLB,LB/MLB,12616,12633,8,sectors.cio_dB,8,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
27,mixed_conflict,8,38,duplicate_application_target_parameter,LB/MLB,LB/MLB,12537,12580,16,sectors.cio_dB,16,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
27,mixed_conflict,8,39,duplicate_application_target_parameter,LB/MLB,LB/MLB,12537,12697,16,sectors.cio_dB,16,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
27,mixed_conflict,8,40,duplicate_application_target_parameter,LB/MLB,LB/MLB,12580,12697,16,sectors.cio_dB,16,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
29,overload,12,41,duplicate_application_target_parameter,LB/MLB,LB/MLB,14670,14705,1,sectors.cio_dB,1,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
29,overload,12,42,duplicate_application_target_parameter,LB/MLB,LB/MLB,14664,14747,2,sectors.cio_dB,2,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
29,overload,12,43,duplicate_application_target_parameter,LB/MLB,LB/MLB,14664,14760,2,sectors.cio_dB,2,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
29,overload,12,44,duplicate_application_target_parameter,LB/MLB,LB/MLB,14664,14781,2,sectors.cio_dB,2,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
29,overload,12,45,duplicate_application_target_parameter,LB/MLB,LB/MLB,14747,14760,2,sectors.cio_dB,2,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
29,overload,12,46,duplicate_application_target_parameter,LB/MLB,LB/MLB,14747,14781,2,sectors.cio_dB,2,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
29,overload,12,47,duplicate_application_target_parameter,LB/MLB,LB/MLB,14760,14781,2,sectors.cio_dB,2,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
29,overload,12,48,duplicate_application_target_parameter,LB/MLB,LB/MLB,14812,14833,15,sectors.cio_dB,15,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
29,overload,12,49,duplicate_application_target_parameter,LB/MLB,LB/MLB,14842,14859,21,sectors.cio_dB,21,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
30,overload,13,50,duplicate_application_target_parameter,LB/MLB,LB/MLB,15150,15237,5,sectors.cio_dB,5,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
30,overload,13,51,duplicate_application_target_parameter,LB/MLB,LB/MLB,15150,15249,5,sectors.cio_dB,5,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
30,overload,13,52,duplicate_application_target_parameter,LB/MLB,LB/MLB,15237,15249,5,sectors.cio_dB,5,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
31,normal,14,53,duplicate_application_target_parameter,LB/MLB,LB/MLB,15675,15689,13,sectors.cio_dB,13,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
32,overload,14,54,duplicate_application_target_parameter,LB/MLB,LB/MLB,15718,15908,3,sectors.cio_dB,3,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
32,overload,14,55,duplicate_application_target_parameter,LB/MLB,LB/MLB,15774,15800,8,sectors.cio_dB,8,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
32,overload,14,56,duplicate_application_target_parameter,LB/MLB,LB/MLB,15774,15818,8,sectors.cio_dB,8,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
32,overload,14,57,duplicate_application_target_parameter,LB/MLB,LB/MLB,15800,15818,8,sectors.cio_dB,8,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
32,overload,14,58,duplicate_application_target_parameter,LB/MLB,LB/MLB,15771,15879,20,sectors.cio_dB,20,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
32,overload,14,59,duplicate_application_target_parameter,LB/MLB,LB/MLB,15771,15926,20,sectors.cio_dB,20,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
32,overload,14,60,duplicate_application_target_parameter,LB/MLB,LB/MLB,15771,15939,20,sectors.cio_dB,20,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
32,overload,14,61,duplicate_application_target_parameter,LB/MLB,LB/MLB,15879,15926,20,sectors.cio_dB,20,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
32,overload,14,62,duplicate_application_target_parameter,LB/MLB,LB/MLB,15879,15939,20,sectors.cio_dB,20,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
32,overload,14,63,duplicate_application_target_parameter,LB/MLB,LB/MLB,15926,15939,20,sectors.cio_dB,20,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
33,overload,15,64,duplicate_application_target_parameter,LB/MLB,LB/MLB,16233,16285,9,sectors.cio_dB,9,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
33,overload,15,65,duplicate_application_target_parameter,LB/MLB,LB/MLB,16312,16322,10,sectors.cio_dB,10,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
33,overload,15,66,duplicate_application_target_parameter,LB/MLB,LB/MLB,16312,16343,10,sectors.cio_dB,10,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
33,overload,15,67,duplicate_application_target_parameter,LB/MLB,LB/MLB,16322,16343,10,sectors.cio_dB,10,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
33,overload,15,68,duplicate_application_target_parameter,LB/MLB,LB/MLB,16247,16351,13,sectors.cio_dB,13,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
33,overload,15,69,duplicate_application_target_parameter,LB/MLB,LB/MLB,16277,16295,19,sectors.cio_dB,19,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
33,overload,15,70,duplicate_application_target_parameter,LB/MLB,LB/MLB,16277,16412,19,sectors.cio_dB,19,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
33,overload,15,71,duplicate_application_target_parameter,LB/MLB,LB/MLB,16295,16412,19,sectors.cio_dB,19,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
36,mixed_conflict,19,72,duplicate_application_target_parameter,LB/MLB,LB/MLB,17807,17816,1,sectors.cio_dB,1,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
36,mixed_conflict,19,73,duplicate_application_target_parameter,LB/MLB,LB/MLB,17807,17850,1,sectors.cio_dB,1,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
36,mixed_conflict,19,74,duplicate_application_target_parameter,LB/MLB,LB/MLB,17816,17850,1,sectors.cio_dB,1,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
36,mixed_conflict,19,75,duplicate_application_target_parameter,LB/MLB,LB/MLB,17893,17914,2,sectors.cio_dB,2,sectors.cio_dB,Both actions write the same simulator state variable on the same application sector.,error
