coordinator_group_id,conflict_id,winning_module,rejected_module,winning_action_id,rejected_action_id,resolution_rule,resolution_reason,safety_valid_after_resolution
6,2,COC/OH,ES,4501,20678,reject_es_sleep_overlap,ES sleep on a sector also touched by COC/LB/HO-MRO action.,1
16,3,LB/MLB,LB/MLB,9005,9022,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
16,4,LB/MLB,LB/MLB,9005,9105,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
16,5,LB/MLB,LB/MLB,9005,9126,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
16,6,LB/MLB,LB/MLB,9005,9152,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
17,13,LB/MLB,LB/MLB,9179,9188,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
17,14,LB/MLB,LB/MLB,9179,9197,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
17,15,LB/MLB,LB/MLB,9236,9179,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
17,19,LB/MLB,LB/MLB,9366,9332,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
17,20,LB/MLB,LB/MLB,9314,9305,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
18,21,LB/MLB,LB/MLB,9529,9425,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
18,22,LB/MLB,LB/MLB,9425,9534,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
18,25,LB/MLB,LB/MLB,9529,9547,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
18,27,LB/MLB,LB/MLB,9438,9456,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
