coordinator_group_id,scenario_name,realization_id,module_name,accepted_action_id,accepted_action_type,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,affected_parameter,accepted_flag,rejected_flag,rejection_reason,module_priority,final_candidate_rank,not_applied_flag,rejection_type
1,outage_sector,2,COC/OH,749,compensate_neighbor,2,12,2,12,12,12,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,RS_power|tilt|CIO,1,0,,2,1,1,
2,degraded_sector,3,COC/OH,853,no_op,3,0,3,0,0,0,none,none,1,0,,2,1,1,
3,degraded_sector,9,COC/OH,3409,no_op,9,0,9,0,0,0,none,none,1,0,,2,1,1,
4,outage_sector,9,COC/OH,3731,compensate_neighbor,9,1,9,1,1,1,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,RS_power|tilt|CIO,1,0,,2,1,1,
5,mixed_conflict,10,COC/OH,3977,no_op,10,0,10,0,0,0,none,none,1,0,,2,1,1,
6,mixed_conflict,11,COC/OH,4501,compensate_neighbor,11,2,11,2,2,2,sectors.electricalTilt_deg,tilt,1,0,,2,1,1,
7,outage_sector,13,COC/OH,5435,compensate_neighbor,13,2,13,2,2,2,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,RS_power|tilt|CIO,1,0,,2,1,1,
8,outage_sector,15,COC/OH,6287,compensate_neighbor,15,17,15,17,17,17,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,RS_power|tilt|CIO,1,0,,2,1,1,
9,mixed_conflict,16,COC/OH,6584,compensate_neighbor,16,3,16,3,3,3,sectors.electricalTilt_deg,tilt,1,0,,2,1,1,
10,mixed_conflict,17,COC/OH,7057,compensate_neighbor,17,12,17,12,12,12,sectors.electricalTilt_deg,tilt,1,0,,2,1,1,
11,degraded_sector,18,COC/OH,7243,no_op,18,0,18,0,0,0,none,none,1,0,,2,1,1,
12,mixed_conflict,18,COC/OH,7483,compensate_neighbor,18,15,18,15,15,15,sectors.electricalTilt_deg,tilt,1,0,,2,1,1,
13,outage_sector,18,COC/OH,7565,compensate_neighbor,18,16,18,16,16,16,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,RS_power|tilt|CIO,1,0,,2,1,1,
14,degraded_sector,20,COC/OH,8095,no_op,20,0,20,0,0,0,none,none,1,0,,2,1,1,
15,degraded_sector,21,COC/OH,8521,no_op,21,0,21,0,0,0,none,none,1,0,,2,1,1,
16,mixed_conflict,1,LB/MLB,8997,cio_bias_to_neighbor,2,1,2,1,2,1,sectors.cio_dB,CIO_bias,1,0,,3,1,1,
16,mixed_conflict,1,LB/MLB,9005,cio_bias_to_neighbor,3,20,3,20,3,20,sectors.cio_dB,CIO_bias,1,0,,3,2,1,
16,mixed_conflict,1,LB/MLB,9022,cio_bias_to_neighbor,6,20,6,20,6,20,sectors.cio_dB,CIO_bias,0,1,Both actions write the same simulator state variable on the same application sector.,3,0,1,duplicate_application_target_parameter
16,mixed_conflict,1,LB/MLB,9031,cio_bias_to_neighbor,8,7,8,7,8,7,sectors.cio_dB,CIO_bias,1,0,,3,3,1,
16,mixed_conflict,1,LB/MLB,9048,cio_bias_to_neighbor,10,5,10,5,10,5,sectors.cio_dB,CIO_bias,1,0,,3,4,1,
16,mixed_conflict,1,LB/MLB,9051,no_op,11,0,11,0,0,0,none,none,1,0,,3,5,1,
16,mixed_conflict,1,LB/MLB,9064,no_op,12,0,12,0,0,0,none,none,1,0,,3,6,1,
16,mixed_conflict,1,LB/MLB,9088,cio_bias_to_neighbor,13,15,13,15,13,15,sectors.cio_dB,CIO_bias,1,0,,3,7,1,
16,mixed_conflict,1,LB/MLB,9097,cio_bias_to_neighbor,14,17,14,17,14,17,sectors.cio_dB,CIO_bias,1,0,,3,8,1,
16,mixed_conflict,1,LB/MLB,9105,cio_bias_to_neighbor,16,20,16,20,16,20,sectors.cio_dB,CIO_bias,0,1,Both actions write the same simulator state variable on the same application sector.,3,0,1,duplicate_application_target_parameter
16,mixed_conflict,1,LB/MLB,9126,cio_bias_to_neighbor,19,20,19,20,19,20,sectors.cio_dB,CIO_bias,0,1,Both actions write the same simulator state variable on the same application sector.,3,0,1,duplicate_application_target_parameter
16,mixed_conflict,1,LB/MLB,9129,no_op,20,0,20,0,0,0,none,none,1,0,,3,9,1,
16,mixed_conflict,1,LB/MLB,9152,cio_bias_to_neighbor,21,20,21,20,21,20,sectors.cio_dB,CIO_bias,0,1,Both actions write the same simulator state variable on the same application sector.,3,0,1,duplicate_application_target_parameter
17,overload,1,LB/MLB,9179,cio_bias_to_neighbor,2,1,2,1,2,1,sectors.cio_dB,CIO_bias,0,1,Both actions write the same simulator state variable on the same application sector.,3,0,1,duplicate_application_target_parameter
17,overload,1,LB/MLB,9188,cio_bias_to_neighbor,4,1,4,1,4,1,sectors.cio_dB,CIO_bias,0,1,Both actions write the same simulator state variable on the same application sector.,3,0,1,duplicate_application_target_parameter
