rejected_action_id,module_name,scenario_name,realization_id,rejection_reason,rejection_type,conflict_id,rejected_by_module,safety_related_flag
9022,LB/MLB,mixed_conflict,1,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,3,LB/MLB,0
9105,LB/MLB,mixed_conflict,1,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,4,LB/MLB,0
9126,LB/MLB,mixed_conflict,1,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,5,LB/MLB,0
9152,LB/MLB,mixed_conflict,1,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,6,LB/MLB,0
9179,LB/MLB,overload,1,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,15,LB/MLB,0
9188,LB/MLB,overload,1,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,13,LB/MLB,0
9197,LB/MLB,overload,1,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,14,LB/MLB,0
9305,LB/MLB,overload,1,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,20,LB/MLB,0
9332,LB/MLB,overload,1,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,19,LB/MLB,0
9425,LB/MLB,mixed_conflict,2,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,21,LB/MLB,0
9456,LB/MLB,mixed_conflict,2,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,27,LB/MLB,0
9534,LB/MLB,mixed_conflict,2,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,22,LB/MLB,0
9547,LB/MLB,mixed_conflict,2,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,25,LB/MLB,0
9625,LB/MLB,mixed_conflict,2,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,28,LB/MLB,0
9976,LB/MLB,mixed_conflict,3,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,30,LB/MLB,0
10102,LB/MLB,mixed_conflict,3,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,31,LB/MLB,0
10133,LB/MLB,mixed_conflict,3,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,32,LB/MLB,0
10419,LB/MLB,degraded_sector,4,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,33,LB/MLB,0
12580,LB/MLB,mixed_conflict,8,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,38,LB/MLB,0
12590,LB/MLB,mixed_conflict,8,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,36,LB/MLB,0
12616,LB/MLB,mixed_conflict,8,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,35,LB/MLB,0
12697,LB/MLB,mixed_conflict,8,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,39,LB/MLB,0
14664,LB/MLB,overload,12,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,42,LB/MLB,0
14705,LB/MLB,overload,12,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,41,LB/MLB,0
14760,LB/MLB,overload,12,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,43,LB/MLB,0
14781,LB/MLB,overload,12,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,44,LB/MLB,0
14812,LB/MLB,overload,12,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,48,LB/MLB,0
14842,LB/MLB,overload,12,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,49,LB/MLB,0
15150,LB/MLB,overload,13,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,50,LB/MLB,0
15249,LB/MLB,overload,13,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,51,LB/MLB,0
15689,LB/MLB,normal,14,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,53,LB/MLB,0
15771,LB/MLB,overload,14,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,58,LB/MLB,0
15774,LB/MLB,overload,14,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,56,LB/MLB,0
15800,LB/MLB,overload,14,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,55,LB/MLB,0
15908,LB/MLB,overload,14,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,54,LB/MLB,0
