final_decision_id,coordinator_group_id,scenario_name,realization_id,module_name,module_priority,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,affected_sector_id,affected_parameter,selected_action_id_safe,accepted_action_type,final_decision_status,executable_flag,not_applied_flag,safety_valid,fallback_used,noop_selected,unresolved_fallback_flag,rejection_reason,conflict_id,conflict_type,final_candidate_rank,predicted_reward,true_reward,safety_enforced_regret,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action
1,1,outage_sector,2,COC/OH,2,2,12,2,12,12,12,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,12,RS_power|tilt|CIO,749,compensate_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.160636248543767,0.16095,0,3,-2,2,0,0,
2,2,degraded_sector,3,COC/OH,2,3,0,3,0,0,0,none,0,none,853,no_op,final_noop,0,1,1,0,1,0,,NaN,,0,-4.35471737441059e-05,0,0,0,0,0,0,0,
3,3,degraded_sector,9,COC/OH,2,9,0,9,0,0,0,none,0,none,3409,no_op,final_noop,0,1,1,0,1,0,,NaN,,0,-0.00035749637135149,0,0,0,0,0,0,0,
4,4,outage_sector,9,COC/OH,2,9,1,9,1,1,1,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,1,RS_power|tilt|CIO,3731,compensate_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.160636248543767,0.16095,0,3,-2,2,0,0,
5,5,mixed_conflict,10,COC/OH,2,10,0,10,0,0,0,none,0,none,3977,no_op,final_noop,0,1,1,0,1,0,,NaN,,0,-0.00512197126769105,0,0,0,0,0,0,0,
6,6,mixed_conflict,11,COC/OH,2,11,2,11,2,2,2,sectors.electricalTilt_deg,2,tilt,4501,compensate_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.000115408596959731,-0.000928571428571385,0,0,-1,0,0,0,
7,7,outage_sector,13,COC/OH,2,13,2,13,2,2,2,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,2,RS_power|tilt|CIO,5435,compensate_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.160636248543767,0.16095,0,3,-2,2,0,0,
8,8,outage_sector,15,COC/OH,2,15,17,15,17,17,17,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,17,RS_power|tilt|CIO,6287,compensate_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.160636248543767,0.16095,0,3,-2,2,0,0,
9,9,mixed_conflict,16,COC/OH,2,16,3,16,3,3,3,sectors.electricalTilt_deg,3,tilt,6584,compensate_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.00500786867453692,-0.00499999999999993,0,0,-1,0,0,0,
10,10,mixed_conflict,17,COC/OH,2,17,12,17,12,12,12,sectors.electricalTilt_deg,12,tilt,7057,compensate_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.00182095972863442,-0.00199999999999993,0,0,-1,0,0,0,
