final_decision_id,coordinator_group_id,scenario_name,realization_id,module_name,module_priority,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,affected_sector_id,affected_parameter,selected_action_id_safe,accepted_action_type,final_decision_status,executable_flag,not_applied_flag,safety_valid,fallback_used,noop_selected,unresolved_fallback_flag,rejection_reason,conflict_id,conflict_type,final_candidate_rank,predicted_reward,true_reward,safety_enforced_regret,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action
18,16,mixed_conflict,1,LB/MLB,3,6,20,6,20,6,20,sectors.cio_dB,6,CIO_bias,9022,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,3,duplicate_application_target_parameter,0,-0.127474682015444,-0.1275,0,0,0,-3,0,0,
25,16,mixed_conflict,1,LB/MLB,3,16,20,16,20,16,20,sectors.cio_dB,16,CIO_bias,9105,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,4,duplicate_application_target_parameter,0,-0.127634990048632,-0.1275,0,0,0,-3,0,0,
26,16,mixed_conflict,1,LB/MLB,3,19,20,19,20,19,20,sectors.cio_dB,19,CIO_bias,9126,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,5,duplicate_application_target_parameter,0,-0.133758686848612,-0.1338,0,0,0,-3,0,0,
28,16,mixed_conflict,1,LB/MLB,3,21,20,21,20,21,20,sectors.cio_dB,21,CIO_bias,9152,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,6,duplicate_application_target_parameter,0,-0.133916477732956,-0.1338,0,0,0,-3,0,0,
29,17,overload,1,LB/MLB,3,2,1,2,1,2,1,sectors.cio_dB,2,CIO_bias,9179,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,15,duplicate_application_target_parameter,0,0.19260091246556,0.184543373614499,0,0,0,3,0,0,
30,17,overload,1,LB/MLB,3,4,1,4,1,4,1,sectors.cio_dB,4,CIO_bias,9188,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,13,duplicate_application_target_parameter,0,0.192136433857955,0.184543373614499,0,0,0,3,0,0,
31,17,overload,1,LB/MLB,3,5,1,5,1,5,1,sectors.cio_dB,5,CIO_bias,9197,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,14,duplicate_application_target_parameter,0,0.192213061331476,0.184543373614499,0,0,0,3,0,0,
39,17,overload,1,LB/MLB,3,14,17,14,17,14,17,sectors.cio_dB,14,CIO_bias,9305,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,20,duplicate_application_target_parameter,0,-0.0300884997729989,-0.0294387501523238,0,0,0,3,0,0,
41,17,overload,1,LB/MLB,3,16,3,16,3,16,3,sectors.cio_dB,16,CIO_bias,9332,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,19,duplicate_application_target_parameter,0,0.0302179721162964,0.0428336777262986,0,0,0,6,0,0,
47,18,mixed_conflict,2,LB/MLB,3,3,2,3,2,3,2,sectors.cio_dB,3,CIO_bias,9425,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,21,duplicate_application_target_parameter,0,-0.127660944711165,-0.1275,0,0,0,-3,0,0,
