final_decision_id,coordinator_group_id,scenario_name,realization_id,module_name,module_priority,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,affected_sector_id,affected_parameter,selected_action_id_safe,accepted_action_type,final_decision_status,executable_flag,not_applied_flag,safety_valid,fallback_used,noop_selected,unresolved_fallback_flag,rejection_reason,conflict_id,conflict_type,final_candidate_rank,predicted_reward,true_reward,safety_enforced_regret,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action
21,16,mixed_conflict,1,LB/MLB,3,11,0,11,0,0,0,none,0,none,9051,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.176937769321464,0,0,0,0,0,0,0,
22,16,mixed_conflict,1,LB/MLB,3,12,0,12,0,0,0,none,0,none,9064,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0859570034824891,0,0,0,0,0,0,0,
32,17,overload,1,LB/MLB,3,6,0,6,0,0,0,none,0,none,9207,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.191956845995175,0,0,0,0,0,0,0,
35,17,overload,1,LB/MLB,3,10,0,10,0,0,0,none,0,none,9246,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0892107496732443,0,0,0,0,0,0,0,
36,17,overload,1,LB/MLB,3,11,0,11,0,0,0,none,0,none,9259,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.271557650908882,0,0,0,0,0,0,0,
37,17,overload,1,LB/MLB,3,12,0,12,0,0,0,none,0,none,9272,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0851192821054908,0,0,0,0,0,0,0,
38,17,overload,1,LB/MLB,3,13,0,13,0,0,0,none,0,none,9285,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0873060046283928,0,0,0,0,0,0,0,
43,17,overload,1,LB/MLB,3,19,0,19,0,0,0,none,0,none,9350,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0828531508490118,0,0,0,0,0,0,0,
45,17,overload,1,LB/MLB,3,21,0,21,0,0,0,none,0,none,9376,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.186008102632537,0,0,0,0,0,0,0,
46,18,mixed_conflict,2,LB/MLB,3,1,0,1,0,0,0,none,0,none,9402,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0900057319360035,0,0,0,0,0,0,0,
49,18,mixed_conflict,2,LB/MLB,3,5,0,5,0,0,0,none,0,none,9441,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.236711859668221,0,0,0,0,0,0,0,
51,18,mixed_conflict,2,LB/MLB,3,7,0,7,0,0,0,none,0,none,9467,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.139263480492008,0,0,0,0,0,0,0,
52,18,mixed_conflict,2,LB/MLB,3,8,0,8,0,0,0,none,0,none,9480,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0877738358492946,0,0,0,0,0,0,0,
53,18,mixed_conflict,2,LB/MLB,3,9,0,9,0,0,0,none,0,none,9493,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0831754340818798,0,0,0,0,0,0,0,
54,18,mixed_conflict,2,LB/MLB,3,10,0,10,0,0,0,none,0,none,9506,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0872465833634093,0,0,0,0,0,0,0,
60,18,mixed_conflict,2,LB/MLB,3,17,0,17,0,0,0,none,0,none,9584,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0861540053658843,0,0,0,0,0,0,0,
62,18,mixed_conflict,2,LB/MLB,3,20,0,20,0,0,0,none,0,none,9610,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0735336001714354,0,0,0,0,0,0,0,
69,19,mixed_conflict,3,LB/MLB,3,6,0,6,0,0,0,none,0,none,9987,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0792161022490405,0,0,0,0,0,0,0,
79,19,mixed_conflict,3,LB/MLB,3,19,0,19,0,0,0,none,0,none,10117,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0760510587951398,0,0,0,0,0,0,0,
81,19,mixed_conflict,3,LB/MLB,3,21,0,21,0,0,0,none,0,none,10143,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0806027829413368,0,0,0,0,0,0,0,
98,27,mixed_conflict,8,LB/MLB,3,1,0,1,0,0,0,none,0,none,12509,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.190747564872329,0,0,0,0,0,0,0,
99,27,mixed_conflict,8,LB/MLB,3,2,0,2,0,0,0,none,0,none,12522,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0829446688053345,0,0,0,0,0,0,0,
105,27,mixed_conflict,8,LB/MLB,3,9,0,9,0,0,0,none,0,none,12600,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0869497109117206,0,0,0,0,0,0,0,
108,27,mixed_conflict,8,LB/MLB,3,12,0,12,0,0,0,none,0,none,12639,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0825298667944155,0,0,0,0,0,0,0,
111,27,mixed_conflict,8,LB/MLB,3,19,0,19,0,0,0,none,0,none,12678,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.263983167167778,0,0,0,0,0,0,0,
113,27,mixed_conflict,8,LB/MLB,3,21,0,21,0,0,0,none,0,none,12704,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.188197093242108,0,0,0,0,0,0,0,
117,29,overload,12,LB/MLB,3,6,0,6,0,0,0,none,0,none,14680,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0913246105001162,0,0,0,0,0,0,0,
119,29,overload,12,LB/MLB,3,8,0,8,0,0,0,none,0,none,14706,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.227134815685069,0,0,0,0,0,0,0,
126,29,overload,12,LB/MLB,3,16,0,16,0,0,0,none,0,none,14797,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0910970828485203,0,0,0,0,0,0,0,
132,30,overload,13,LB/MLB,3,2,0,2,0,0,0,none,0,none,15161,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0806549643632576,0,0,0,0,0,0,0,
133,30,overload,13,LB/MLB,3,3,0,3,0,0,0,none,0,none,15174,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0833804908944839,0,0,0,0,0,0,0,
134,30,overload,13,LB/MLB,3,6,0,6,0,0,0,none,0,none,15187,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0841296911849262,0,0,0,0,0,0,0,
135,30,overload,13,LB/MLB,3,7,0,7,0,0,0,none,0,none,15200,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.185539353689419,0,0,0,0,0,0,0,
136,30,overload,13,LB/MLB,3,8,0,8,0,0,0,none,0,none,15213,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0848085082418589,0,0,0,0,0,0,0,
