final_decision_id,coordinator_group_id,scenario_name,realization_id,module_name,module_priority,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,affected_sector_id,affected_parameter,selected_action_id_safe,accepted_action_type,final_decision_status,executable_flag,not_applied_flag,safety_valid,fallback_used,noop_selected,unresolved_fallback_flag,rejection_reason,conflict_id,conflict_type,final_candidate_rank,predicted_reward,true_reward,safety_enforced_regret,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action,implementability_status,simulator_state_variable,required_simulator_function,implementation_gap_reason,can_apply_in_phase12b,dry_run_only_flag
1,1,outage_sector,2,COC/OH,2,2,12,2,12,12,12,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,12,RS_power|tilt|CIO,749,compensate_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.160636248543767,0.16095,0,3,-2,2,0,0,,not_implemented_in_simulator,"sectors.electricalTilt_deg; sectors.referencePowerOffset_dB",NEW helper required (apply_tilt_offset); apply_scenario_to_network,"Simulator has no CIO/bias state. Association in calc_rsrp_sinr is pure max-RSRP; would require new CIO column and biased best-server logic.",0,1
4,4,outage_sector,9,COC/OH,2,9,1,9,1,1,1,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,1,RS_power|tilt|CIO,3731,compensate_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.160636248543767,0.16095,0,3,-2,2,0,0,,not_implemented_in_simulator,"sectors.electricalTilt_deg; sectors.referencePowerOffset_dB",NEW helper required (apply_tilt_offset); apply_scenario_to_network,"Simulator has no CIO/bias state. Association in calc_rsrp_sinr is pure max-RSRP; would require new CIO column and biased best-server logic.",0,1
6,6,mixed_conflict,11,COC/OH,2,11,2,11,2,2,2,sectors.electricalTilt_deg,2,tilt,4501,compensate_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.000115408596959731,-0.000928571428571385,0,0,-1,0,0,0,,partially_implementable,"sectors.electricalTilt_deg",NEW helper required (apply_tilt_offset),"electricalTilt_deg column exists and feeds calc_antenna_gain, but no current code mutates it after topology build.",0,1
7,7,outage_sector,13,COC/OH,2,13,2,13,2,2,2,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,2,RS_power|tilt|CIO,5435,compensate_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.160636248543767,0.16095,0,3,-2,2,0,0,,not_implemented_in_simulator,"sectors.electricalTilt_deg; sectors.referencePowerOffset_dB",NEW helper required (apply_tilt_offset); apply_scenario_to_network,"Simulator has no CIO/bias state. Association in calc_rsrp_sinr is pure max-RSRP; would require new CIO column and biased best-server logic.",0,1
8,8,outage_sector,15,COC/OH,2,15,17,15,17,17,17,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,17,RS_power|tilt|CIO,6287,compensate_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.160636248543767,0.16095,0,3,-2,2,0,0,,not_implemented_in_simulator,"sectors.electricalTilt_deg; sectors.referencePowerOffset_dB",NEW helper required (apply_tilt_offset); apply_scenario_to_network,"Simulator has no CIO/bias state. Association in calc_rsrp_sinr is pure max-RSRP; would require new CIO column and biased best-server logic.",0,1
9,9,mixed_conflict,16,COC/OH,2,16,3,16,3,3,3,sectors.electricalTilt_deg,3,tilt,6584,compensate_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.00500786867453692,-0.00499999999999993,0,0,-1,0,0,0,,partially_implementable,"sectors.electricalTilt_deg",NEW helper required (apply_tilt_offset),"electricalTilt_deg column exists and feeds calc_antenna_gain, but no current code mutates it after topology build.",0,1
10,10,mixed_conflict,17,COC/OH,2,17,12,17,12,12,12,sectors.electricalTilt_deg,12,tilt,7057,compensate_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.00182095972863442,-0.00199999999999993,0,0,-1,0,0,0,,partially_implementable,"sectors.electricalTilt_deg",NEW helper required (apply_tilt_offset),"electricalTilt_deg column exists and feeds calc_antenna_gain, but no current code mutates it after topology build.",0,1
12,12,mixed_conflict,18,COC/OH,2,18,15,18,15,15,15,sectors.electricalTilt_deg,15,tilt,7483,compensate_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.00332555271297396,-0.00499999999999993,0,0,-1,0,0,0,,partially_implementable,"sectors.electricalTilt_deg",NEW helper required (apply_tilt_offset),"electricalTilt_deg column exists and feeds calc_antenna_gain, but no current code mutates it after topology build.",0,1
13,13,outage_sector,18,COC/OH,2,18,16,18,16,16,16,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,16,RS_power|tilt|CIO,7565,compensate_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.160636248543767,0.16095,0,3,-2,2,0,0,,not_implemented_in_simulator,"sectors.electricalTilt_deg; sectors.referencePowerOffset_dB",NEW helper required (apply_tilt_offset); apply_scenario_to_network,"Simulator has no CIO/bias state. Association in calc_rsrp_sinr is pure max-RSRP; would require new CIO column and biased best-server logic.",0,1
16,16,mixed_conflict,1,LB/MLB,3,2,1,2,1,2,1,sectors.cio_dB,2,CIO_bias,8997,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.260020551083948,0.26125,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
17,16,mixed_conflict,1,LB/MLB,3,3,20,3,20,3,20,sectors.cio_dB,3,CIO_bias,9005,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,2,-0.127130150921156,-0.1275,0,0,0,-3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
19,16,mixed_conflict,1,LB/MLB,3,8,7,8,7,8,7,sectors.cio_dB,8,CIO_bias,9031,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,3,-0.127429719843049,-0.1275,0,0,0,-3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
20,16,mixed_conflict,1,LB/MLB,3,10,5,10,5,10,5,sectors.cio_dB,10,CIO_bias,9048,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,4,-0.133789913469233,-0.1338,0,0,0,-3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
23,16,mixed_conflict,1,LB/MLB,3,13,15,13,15,13,15,sectors.cio_dB,13,CIO_bias,9088,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,5,0.25902965655893,0.26125,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
24,16,mixed_conflict,1,LB/MLB,3,14,17,14,17,14,17,sectors.cio_dB,14,CIO_bias,9097,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,6,0.257872381918437,0.26125,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
33,17,overload,1,LB/MLB,3,8,7,8,7,8,7,sectors.cio_dB,8,CIO_bias,9227,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.0754510912684237,-0.0675551058668644,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
34,17,overload,1,LB/MLB,3,9,1,9,1,9,1,sectors.cio_dB,9,CIO_bias,9236,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,2,0.193613343713998,0.184543373614499,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
40,17,overload,1,LB/MLB,3,15,17,15,17,15,17,sectors.cio_dB,15,CIO_bias,9314,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,3,0.260402700543997,0.26125,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
44,17,overload,1,LB/MLB,3,20,3,20,3,20,3,sectors.cio_dB,20,CIO_bias,9366,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,4,0.258837036692868,0.26125,0,0,0,3,0,0,,not_implemented_in_simulator,"",,"Same CIO/bias gap as COC/OH. LB load balancing depends on biased UE-to-sector association, which the simulator does not model.",0,1
