final_decision_id,scenario_name,realization_id,selected_action_id_safe,module_name,final_decision_status,reason_not_applied
2,degraded_sector,3,853,COC/OH,final_noop,no-op decision; no parameter change to apply
3,degraded_sector,9,3409,COC/OH,final_noop,no-op decision; no parameter change to apply
5,mixed_conflict,10,3977,COC/OH,final_noop,no-op decision; no parameter change to apply
11,degraded_sector,18,7243,COC/OH,final_noop,no-op decision; no parameter change to apply
14,degraded_sector,20,8095,COC/OH,final_noop,no-op decision; no parameter change to apply
15,degraded_sector,21,8521,COC/OH,final_noop,no-op decision; no parameter change to apply
18,mixed_conflict,1,9022,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
21,mixed_conflict,1,9051,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
22,mixed_conflict,1,9064,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
25,mixed_conflict,1,9105,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
26,mixed_conflict,1,9126,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
27,mixed_conflict,1,9129,LB/MLB,final_noop,no-op decision; no parameter change to apply
28,mixed_conflict,1,9152,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
29,overload,1,9179,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
30,overload,1,9188,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
31,overload,1,9197,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
32,overload,1,9207,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
35,overload,1,9246,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
36,overload,1,9259,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
37,overload,1,9272,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
38,overload,1,9285,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
39,overload,1,9305,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
41,overload,1,9332,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
42,overload,1,9337,LB/MLB,final_noop,no-op decision; no parameter change to apply
43,overload,1,9350,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
45,overload,1,9376,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
46,mixed_conflict,2,9402,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
47,mixed_conflict,2,9425,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
49,mixed_conflict,2,9441,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
50,mixed_conflict,2,9456,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
51,mixed_conflict,2,9467,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
52,mixed_conflict,2,9480,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
53,mixed_conflict,2,9493,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
54,mixed_conflict,2,9506,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
56,mixed_conflict,2,9534,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
57,mixed_conflict,2,9547,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
60,mixed_conflict,2,9584,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
61,mixed_conflict,2,9597,LB/MLB,final_noop,no-op decision; no parameter change to apply
62,mixed_conflict,2,9610,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
63,mixed_conflict,2,9625,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
64,outage_sector,2,9649,LB/MLB,final_noop,no-op decision; no parameter change to apply
65,outage_sector,2,9662,LB/MLB,final_noop,no-op decision; no parameter change to apply
67,mixed_conflict,3,9961,LB/MLB,final_noop,no-op decision; no parameter change to apply
68,mixed_conflict,3,9976,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
69,mixed_conflict,3,9987,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
70,mixed_conflict,3,10000,LB/MLB,final_noop,no-op decision; no parameter change to apply
71,mixed_conflict,3,10013,LB/MLB,final_noop,no-op decision; no parameter change to apply
74,mixed_conflict,3,10052,LB/MLB,final_noop,no-op decision; no parameter change to apply
77,mixed_conflict,3,10102,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
79,mixed_conflict,3,10117,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
80,mixed_conflict,3,10133,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
81,mixed_conflict,3,10143,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
83,degraded_sector,4,10403,LB/MLB,final_noop,no-op decision; no parameter change to apply
84,degraded_sector,4,10419,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
86,degraded_sector,4,10442,LB/MLB,final_noop,no-op decision; no parameter change to apply
87,handover_stress,4,10455,LB/MLB,final_noop,no-op decision; no parameter change to apply
91,handover_stress,5,10962,LB/MLB,final_noop,no-op decision; no parameter change to apply
94,degraded_sector,6,11456,LB/MLB,final_noop,no-op decision; no parameter change to apply
95,degraded_sector,6,11469,LB/MLB,final_noop,no-op decision; no parameter change to apply
97,outage_sector,6,11742,LB/MLB,final_noop,no-op decision; no parameter change to apply
98,mixed_conflict,8,12509,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
99,mixed_conflict,8,12522,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
101,mixed_conflict,8,12548,LB/MLB,final_noop,no-op decision; no parameter change to apply
103,mixed_conflict,8,12580,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
104,mixed_conflict,8,12590,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
105,mixed_conflict,8,12600,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
106,mixed_conflict,8,12616,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
108,mixed_conflict,8,12639,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
110,mixed_conflict,8,12665,LB/MLB,final_noop,no-op decision; no parameter change to apply
111,mixed_conflict,8,12678,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
112,mixed_conflict,8,12697,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
113,mixed_conflict,8,12704,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
114,degraded_sector,11,13900,LB/MLB,final_noop,no-op decision; no parameter change to apply
115,overload,12,14664,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
117,overload,12,14680,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
118,overload,12,14705,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
119,overload,12,14706,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
120,overload,12,14719,LB/MLB,final_noop,no-op decision; no parameter change to apply
123,overload,12,14760,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
124,overload,12,14781,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
125,overload,12,14784,LB/MLB,final_noop,no-op decision; no parameter change to apply
126,overload,12,14797,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
127,overload,12,14812,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
129,overload,12,14842,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
131,overload,13,15150,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
132,overload,13,15161,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
133,overload,13,15174,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
134,overload,13,15187,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
135,overload,13,15200,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
136,overload,13,15213,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
138,overload,13,15249,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
139,overload,13,15252,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
140,overload,13,15265,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
141,overload,13,15278,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
142,overload,13,15291,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
143,overload,13,15304,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
144,overload,13,15317,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
145,overload,13,15330,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
146,overload,13,15343,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
147,overload,13,15356,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
148,overload,13,15369,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
149,overload,13,15382,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
151,normal,14,15689,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
153,overload,14,15720,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
154,overload,14,15733,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
155,overload,14,15746,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
156,overload,14,15771,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
157,overload,14,15774,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
158,overload,14,15785,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
159,overload,14,15800,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
161,overload,14,15824,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
162,overload,14,15837,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
163,overload,14,15850,LB/MLB,final_noop,no-op decision; no parameter change to apply
166,overload,14,15889,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
167,overload,14,15908,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
168,overload,14,15926,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
169,overload,14,15939,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
