final_decision_id,coordinator_group_id,selected_action_id_safe,scenario_name,realization_id,module_name,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,action_type,affected_parameter,delta_prs_dB,delta_tilt_deg,delta_cio_dB,implementability_status,simulator_state_variables,can_apply_in_phase12d,kpi_t_plus_1_not_generated_flag
1,1,749,outage_sector,2,COC/OH,2,12,2,12,12,12,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,compensate_neighbor,RS_power|tilt|CIO,3,-2,2,implementable_now,sectors.cio_dB; sectors.electricalTilt_deg; sectors.referencePowerOffset_dB,1,1
4,4,3731,outage_sector,9,COC/OH,9,1,9,1,1,1,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,compensate_neighbor,RS_power|tilt|CIO,3,-2,2,implementable_now,sectors.cio_dB; sectors.electricalTilt_deg; sectors.referencePowerOffset_dB,1,1
6,6,4501,mixed_conflict,11,COC/OH,11,2,11,2,2,2,sectors.electricalTilt_deg,compensate_neighbor,tilt,0,-1,0,implementable_now,sectors.electricalTilt_deg,1,1
7,7,5435,outage_sector,13,COC/OH,13,2,13,2,2,2,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,compensate_neighbor,RS_power|tilt|CIO,3,-2,2,implementable_now,sectors.cio_dB; sectors.electricalTilt_deg; sectors.referencePowerOffset_dB,1,1
8,8,6287,outage_sector,15,COC/OH,15,17,15,17,17,17,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,compensate_neighbor,RS_power|tilt|CIO,3,-2,2,implementable_now,sectors.cio_dB; sectors.electricalTilt_deg; sectors.referencePowerOffset_dB,1,1
9,9,6584,mixed_conflict,16,COC/OH,16,3,16,3,3,3,sectors.electricalTilt_deg,compensate_neighbor,tilt,0,-1,0,implementable_now,sectors.electricalTilt_deg,1,1
10,10,7057,mixed_conflict,17,COC/OH,17,12,17,12,12,12,sectors.electricalTilt_deg,compensate_neighbor,tilt,0,-1,0,implementable_now,sectors.electricalTilt_deg,1,1
12,12,7483,mixed_conflict,18,COC/OH,18,15,18,15,15,15,sectors.electricalTilt_deg,compensate_neighbor,tilt,0,-1,0,implementable_now,sectors.electricalTilt_deg,1,1
13,13,7565,outage_sector,18,COC/OH,18,16,18,16,16,16,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,compensate_neighbor,RS_power|tilt|CIO,3,-2,2,implementable_now,sectors.cio_dB; sectors.electricalTilt_deg; sectors.referencePowerOffset_dB,1,1
16,16,8997,mixed_conflict,1,LB/MLB,2,1,2,1,2,1,sectors.cio_dB,cio_bias_to_neighbor,CIO_bias,0,0,3,implementable_now,sectors.cio_dB,1,1
