final_decision_id,coordinator_group_id,selected_action_id_safe,scenario_name,realization_id,module_name,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,action_type,implementability_status,exclusion_reason
206,39,19299,low_load,1,ES,2,2,2,2,2,2,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
211,39,19313,low_load,1,ES,8,8,8,8,8,8,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
212,39,19316,low_load,1,ES,9,9,9,9,9,9,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
217,39,19330,low_load,1,ES,16,16,16,16,16,16,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
219,39,19336,low_load,1,ES,18,18,18,18,18,18,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
220,39,19339,low_load,1,ES,19,19,19,19,19,19,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
224,41,19417,low_load,2,ES,1,1,1,1,1,1,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
225,41,19420,low_load,2,ES,2,2,2,2,2,2,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
234,41,19447,low_load,2,ES,13,13,13,13,13,13,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
235,41,19450,low_load,2,ES,14,14,14,14,14,14,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
237,41,19456,low_load,2,ES,16,16,16,16,16,16,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
238,41,19459,low_load,2,ES,17,17,17,17,17,17,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
242,41,19471,low_load,2,ES,21,21,21,21,21,21,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
243,42,19529,normal,2,ES,2,2,2,2,2,2,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
245,42,19535,normal,2,ES,21,21,21,21,21,21,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
246,2,19549,degraded_sector,3,ES,10,10,10,10,10,10,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
248,43,19557,low_load,3,ES,2,2,2,2,2,2,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
255,43,19578,low_load,3,ES,9,9,9,9,9,9,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
258,43,19587,low_load,3,ES,12,12,12,12,12,12,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
261,43,19596,low_load,3,ES,17,17,17,17,17,17,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
262,43,19599,low_load,3,ES,18,18,18,18,18,18,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
264,43,19605,low_load,3,ES,21,21,21,21,21,21,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
270,46,19802,normal,4,ES,12,12,12,12,12,12,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
273,24,19945,outage_sector,5,ES,13,13,13,13,13,13,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
277,47,20209,low_load,8,ES,5,5,5,5,5,5,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
280,47,20218,low_load,8,ES,8,8,8,8,8,8,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
281,47,20221,low_load,8,ES,10,10,10,10,10,10,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
285,47,20231,low_load,8,ES,15,15,15,15,15,15,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
286,47,20234,low_load,8,ES,16,16,16,16,16,16,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
288,47,20240,low_load,8,ES,18,18,18,18,18,18,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
290,47,20246,low_load,8,ES,21,21,21,21,21,21,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
294,49,20378,low_load_energy_saving_candidate,9,ES,3,3,3,3,3,3,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
296,49,20384,low_load_energy_saving_candidate,9,ES,5,5,5,5,5,5,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
300,49,20396,low_load_energy_saving_candidate,9,ES,10,10,10,10,10,10,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
302,49,20402,low_load_energy_saving_candidate,9,ES,12,12,12,12,12,12,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
307,49,20416,low_load_energy_saving_candidate,9,ES,17,17,17,17,17,17,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
309,49,20422,low_load_energy_saving_candidate,9,ES,20,20,20,20,20,20,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
310,49,20425,low_load_energy_saving_candidate,9,ES,21,21,21,21,21,21,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
314,51,20920,normal,13,ES,19,19,19,19,19,19,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
320,52,21003,low_load_energy_saving_candidate,14,ES,6,6,6,6,6,6,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
327,52,21022,low_load_energy_saving_candidate,14,ES,14,14,14,14,14,14,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
330,52,21031,low_load_energy_saving_candidate,14,ES,17,17,17,17,17,17,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
331,52,21034,low_load_energy_saving_candidate,14,ES,18,18,18,18,18,18,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
340,54,21134,low_load_energy_saving_candidate,15,ES,7,7,7,7,7,7,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
343,54,21143,low_load_energy_saving_candidate,15,ES,10,10,10,10,10,10,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
345,54,21149,low_load_energy_saving_candidate,15,ES,12,12,12,12,12,12,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
