action_id,module_name,action_type,source_sector_id,target_sector_id,decision_source_sector_id,decision_target_sector_id,coordinator_group_id,application_affected_sector_id,application_state_variable,applied_to_clone
749,COC/OH,compensate_neighbor,2,12,2,12,1,12,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,1
3731,COC/OH,compensate_neighbor,9,1,9,1,4,1,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,1
4501,COC/OH,compensate_neighbor,11,2,11,2,6,2,sectors.electricalTilt_deg,1
5435,COC/OH,compensate_neighbor,13,2,13,2,7,2,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,1
6287,COC/OH,compensate_neighbor,15,17,15,17,8,17,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,1
6584,COC/OH,compensate_neighbor,16,3,16,3,9,3,sectors.electricalTilt_deg,1
7057,COC/OH,compensate_neighbor,17,12,17,12,10,12,sectors.electricalTilt_deg,1
7483,COC/OH,compensate_neighbor,18,15,18,15,12,15,sectors.electricalTilt_deg,1
7565,COC/OH,compensate_neighbor,18,16,18,16,13,16,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,1
17534,LB/MLB,cio_bias_to_neighbor,14,17,14,17,13,17,sectors.cio_dB,1
8997,LB/MLB,cio_bias_to_neighbor,2,1,2,1,16,1,sectors.cio_dB,1
9005,LB/MLB,cio_bias_to_neighbor,3,20,3,20,16,20,sectors.cio_dB,1
9031,LB/MLB,cio_bias_to_neighbor,8,7,8,7,16,7,sectors.cio_dB,1
9048,LB/MLB,cio_bias_to_neighbor,10,5,10,5,16,5,sectors.cio_dB,1
9088,LB/MLB,cio_bias_to_neighbor,13,15,13,15,16,15,sectors.cio_dB,1
9097,LB/MLB,cio_bias_to_neighbor,14,17,14,17,16,17,sectors.cio_dB,1
9227,LB/MLB,cio_bias_to_neighbor,8,7,8,7,17,7,sectors.cio_dB,1
9236,LB/MLB,cio_bias_to_neighbor,9,1,9,1,17,1,sectors.cio_dB,1
9314,LB/MLB,cio_bias_to_neighbor,15,17,15,17,17,17,sectors.cio_dB,1
9366,LB/MLB,cio_bias_to_neighbor,20,3,20,3,17,3,sectors.cio_dB,1
9438,LB/MLB,cio_bias_to_neighbor,4,19,4,19,18,19,sectors.cio_dB,1
9529,LB/MLB,cio_bias_to_neighbor,11,2,11,2,18,2,sectors.cio_dB,1
9568,LB/MLB,cio_bias_to_neighbor,15,14,15,14,18,14,sectors.cio_dB,1
9582,LB/MLB,cio_bias_to_neighbor,16,18,16,18,18,18,sectors.cio_dB,1
9913,LB/MLB,cio_bias_to_neighbor,1,5,1,5,2,5,sectors.cio_dB,1
10028,LB/MLB,cio_bias_to_neighbor,9,1,9,1,19,1,sectors.cio_dB,1
10045,LB/MLB,cio_bias_to_neighbor,10,11,10,11,19,11,sectors.cio_dB,1
10068,LB/MLB,cio_bias_to_neighbor,12,2,12,2,19,2,sectors.cio_dB,1
10089,LB/MLB,cio_bias_to_neighbor,13,15,13,15,19,15,sectors.cio_dB,1
10111,LB/MLB,cio_bias_to_neighbor,16,3,16,3,19,3,sectors.cio_dB,1
10160,LB/MLB,cio_bias_to_neighbor,3,16,3,16,20,16,sectors.cio_dB,1
10433,LB/MLB,cio_bias_to_neighbor,13,2,13,2,21,2,sectors.cio_dB,1
10471,LB/MLB,cio_bias_to_neighbor,16,20,16,20,22,20,sectors.cio_dB,1
10939,LB/MLB,cio_bias_to_neighbor,3,16,3,16,23,16,sectors.cio_dB,1
10952,LB/MLB,cio_bias_to_neighbor,4,5,4,5,23,5,sectors.cio_dB,1
11199,LB/MLB,cio_bias_to_neighbor,1,5,1,5,24,5,sectors.cio_dB,1
11446,LB/MLB,cio_bias_to_neighbor,2,12,2,12,25,12,sectors.cio_dB,1
11740,LB/MLB,cio_bias_to_neighbor,9,5,9,5,26,5,sectors.cio_dB,1
12537,LB/MLB,cio_bias_to_neighbor,3,16,3,16,27,16,sectors.cio_dB,1
12571,LB/MLB,cio_bias_to_neighbor,5,4,5,4,27,4,sectors.cio_dB,1
12633,LB/MLB,cio_bias_to_neighbor,11,8,11,8,27,8,sectors.cio_dB,1
12663,LB/MLB,cio_bias_to_neighbor,13,15,13,15,27,15,sectors.cio_dB,1
14670,LB/MLB,cio_bias_to_neighbor,5,1,5,1,29,1,sectors.cio_dB,1
14739,LB/MLB,cio_bias_to_neighbor,10,11,10,11,29,11,sectors.cio_dB,1
14747,LB/MLB,cio_bias_to_neighbor,12,2,12,2,29,2,sectors.cio_dB,1
14833,LB/MLB,cio_bias_to_neighbor,18,15,18,15,29,15,sectors.cio_dB,1
14859,LB/MLB,cio_bias_to_neighbor,20,21,20,21,29,21,sectors.cio_dB,1
15237,LB/MLB,cio_bias_to_neighbor,9,5,9,5,30,5,sectors.cio_dB,1
15675,LB/MLB,cio_bias_to_neighbor,12,13,12,13,31,13,sectors.cio_dB,1
15718,LB/MLB,cio_bias_to_neighbor,1,3,1,3,32,3,sectors.cio_dB,1
15818,LB/MLB,cio_bias_to_neighbor,11,8,11,8,32,8,sectors.cio_dB,1
15873,LB/MLB,cio_bias_to_neighbor,15,14,15,14,32,14,sectors.cio_dB,1
