sector_id,site_id,azimuth_deg,attached_ue_count,active_ue_count,active_attached_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_capacity_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,overload_flag,scenario_name,realization_id,phase_tag
1,1,30,31,1,1,4.36802888699255,4.36802888699255,0,44.3300268396472,0.0985343163177591,-85.4519821492148,-86.6825413616682,8.7257837890727,8.39501529440604,4.36802888699255,4.36802888699255,1,0,outage_sector,2,pre
2,1,150,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,outage_sector,2,pre
3,1,270,21,1,1,6.50798147418231,6.50798147418231,0,34.0277951757653,0.191254867985608,-87.9776392792487,-87.7498514494982,5.89098961507618,5.39770827701624,6.50798147418231,6.50798147418231,1,0,outage_sector,2,pre
4,2,30,35,4,4,17.0880219297267,17.0880219297267,0,58.2760528109249,0.293225452059498,-86.6975493742883,-86.5462361349094,12.5200471594138,12.7301004265487,4.27200548243166,4.43001326427781,1,0,outage_sector,2,pre
5,2,150,23,1,1,4.37392715866295,4.37392715866295,0,38.0078115342124,0.115079689729723,-86.8399438911685,-88.2242505852628,6.94516737991248,7.8104992291232,4.37392715866295,4.37392715866295,1,0,outage_sector,2,pre
6,2,270,16,4,4,12.3345738426156,12.3345738426156,0,34.1225857812829,0.361478286601052,-90.3834037435736,-89.0803525418398,6.26842684916856,4.94495797368672,3.0836434606539,3.01739293756893,1,0,outage_sector,2,pre
7,3,30,25,4,4,17.7088855481848,17.7088855481848,0,56.3523367960525,0.314252905115113,-88.5178133508884,-89.9675605146985,12.3027570262261,12.198803130729,4.4272213870462,4.07643202942456,1,0,outage_sector,2,pre
8,3,150,22,7,7,36.3236152240205,36.3236152240205,0,50.1159418891754,0.724791630262987,-85.4672043991127,-86.5592771999441,10.108167935343,11.0391662080919,5.18908788914579,4.60767079377648,1,0,outage_sector,2,pre
9,3,270,22,3,3,9.50766537870981,9.50766537870981,0,38.2121234502743,0.248812798667999,-87.9090095632448,-89.3728985475605,6.77424939828269,3.12284097381028,3.16922179290327,3.01927853888335,1,0,outage_sector,2,pre
10,4,30,27,1,1,1.85482063634306,1.85482063634306,0,49.6423025913909,0.0373637107772823,-86.5897052903765,-86.446489041304,9.86201763576957,9.08881426115521,1.85482063634306,1.85482063634306,1,0,outage_sector,2,pre
11,4,150,21,0,0,0,0,0,64.4708674241566,0,-86.0013422632773,-84.5918024556584,15.0215782629248,13.7466945558058,NaN,NaN,NaN,0,outage_sector,2,pre
12,4,270,27,4,4,19.6812908078936,19.6812908078936,0,35.3969795802508,0.556016107625027,-91.4480100488595,-92.2530207366024,6.47346196617875,5.39332544051324,4.9203227019734,4.89351599612804,1,0,outage_sector,2,pre
13,5,30,24,5,5,25.2922785670718,25.2922785670718,0,46.0590866018808,0.549126794147911,-88.3283157929412,-91.108155463189,9.22975932770616,8.50893267070064,5.05845571341436,4.73520841886738,1,0,outage_sector,2,pre
14,5,150,24,3,3,10.7377394965502,10.7377394965502,0,53.9135811396872,0.199165762495527,-88.9839431891152,-88.9036665665468,11.2159958466552,11.9315193053266,3.57924649885008,3.8276346661497,1,0,outage_sector,2,pre
15,5,270,30,5,5,14.4865345062331,14.4865345062331,0,45.810699544394,0.316226005066667,-87.2096053670531,-87.2496252035358,9.3651825754951,7.78218940335273,2.89730690124662,2.86938685785181,1,0,outage_sector,2,pre
16,6,30,20,4,4,18.8268936280923,18.8268936280923,0,44.2910195106792,0.425072482776173,-84.9974204337228,-85.8173173214392,8.45513778043318,8.8160517670261,4.70672340702308,4.53013140581587,1,0,outage_sector,2,pre
17,6,150,20,5,5,24.785330695571,24.785330695571,0,29.9392078442,0.827855260050664,-90.0447216376618,-93.7798349271644,4.61336349914962,2.41710420131958,4.95706613911421,5.5782750837791,1,1,outage_sector,2,pre
18,6,270,20,5,5,22.9068092643436,22.9068092643436,0,46.2477958933145,0.495305966952146,-91.2548416267321,-92.8643557718358,9.23888237720138,9.21887119226958,4.58136185286872,4.90534713994607,1,0,outage_sector,2,pre
