scenario_name,realization_id,coordinator_group_id,module_name,action_type,action_id,pre_attach_rate,ai_post_attach_rate,delta_attach_rate,pre_mean_rsrp_dBm,ai_post_mean_rsrp_dBm,delta_mean_rsrp_dB,pre_mean_sinr_dB,ai_post_mean_sinr_dB,delta_mean_sinr_dB,pre_mean_sector_load,ai_post_mean_sector_load,delta_mean_sector_load,pre_qos_satisfaction_ratio,ai_post_qos_satisfaction_ratio,delta_qos_satisfaction_ratio,pre_served_traffic_Mbps,ai_post_served_traffic_Mbps,delta_served_traffic_Mbps,outcome_class,tradeoff_flag
outage_sector,2,1,COC/OH,compensate_neighbor,749,0.964,0.952,-0.012,-87.8247589480429,-87.5079032606855,0.316855687357346,9.18718185418029,9.26270083739584,0.0755189832155487,0.349370852007098,0.340177843187092,-0.00919300882000657,0.96,0.933333333333333,-0.0266666666666666,321.562054757459,313.638639400685,-7.92341535677389,mixed,1
outage_sector,9,4,COC/OH,compensate_neighbor,3731,0.976,0.95,-0.026,-88.7064841441221,-88.1808343325589,0.525649811563241,8.7249207942676,8.88818103273175,0.163260238464154,0.3249794499372,0.329147944930533,0.00416849499333216,0.96,0.973333333333333,0.0133333333333334,303.906511247101,308.482287413759,4.57577616665748,improved_with_tradeoff,1
mixed_conflict,11,6,COC/OH,compensate_neighbor,4501,0.962,0.962,0,-88.3307837987581,-88.3247766213146,0.00600717744347889,8.05513043801938,8.02222024391313,-0.0329101941062557,1.32072917138196,1.3155329173357,-0.00519625404625823,0.386666666666667,0.386666666666667,0,725.963330706469,732.86744679852,6.90411609205023,mixed,1
outage_sector,13,7,COC/OH,compensate_neighbor,5435,0.976,0.956,-0.02,-88.9206055958198,-88.6373580282536,0.283247567566164,7.95659068076909,7.99207963951773,0.0354889587486396,0.405401791269386,0.398830555037358,-0.00657123623202804,1,1,0,330.929201789309,333.832439072637,2.90323728332748,mixed,1
outage_sector,15,8,COC/OH,compensate_neighbor,6287,0.974,0.966,-0.00800000000000001,-88.4339037148126,-88.1016537707961,0.332249944016496,8.78064370373552,8.82992499183312,0.0492812880975997,0.358525515675378,0.348398870600426,-0.0101266450749521,0.826666666666667,0.946666666666667,0.12,307.341891782696,314.396086643782,7.0541948610869,improved_with_tradeoff,1
mixed_conflict,16,9,COC/OH,compensate_neighbor,6584,0.982,0.982,0,-88.6124684041213,-88.6196431633131,-0.0071747591917557,8.59686668550554,8.54652365575312,-0.050343029752419,1.24459962746284,1.25521090348689,0.0106112760240518,0.413333333333333,0.386666666666667,-0.0266666666666667,779.594778326702,787.390082310894,7.79530398419206,mixed,1
mixed_conflict,17,10,COC/OH,compensate_neighbor,7057,0.97,0.97,0,-87.8767655695861,-87.878139208501,-0.00137363891488462,8.96812993238302,8.92298795265967,-0.0451419797233488,1.1931901701496,1.1978466916344,0.00465652148480977,0.393333333333333,0.4,0.00666666666666671,804.078683784481,812.39279899865,8.31411521416908,improved_with_tradeoff,1
mixed_conflict,18,12,COC/OH,compensate_neighbor,7483,0.974,0.976,0.002,-89.014402838882,-89.0453967063319,-0.030993867449908,7.75206379808238,7.70738444975089,-0.0446793483314929,1.27850187050975,1.28169451560973,0.00319264509997885,0.393333333333333,0.4,0.00666666666666671,729.820320722096,732.6850973596,2.86477663750384,improved_with_tradeoff,1
outage_sector,18,13,COC/OH,compensate_neighbor,7565,0.958,0.95,-0.00800000000000001,-88.0270730383112,-87.880787577495,0.146285460816188,8.38234263299313,8.35933407204152,-0.0230085609516131,0.393795099186558,0.397352211623631,0.00355711243707296,0.973333333333333,0.973333333333333,0,347.638575305078,347.638575305078,0,mixed,1
outage_sector,18,13,LB/MLB,cio_bias_to_neighbor,17534,0.958,0.95,-0.00800000000000001,-88.0270730383112,-87.880787577495,0.146285460816188,8.38234263299313,8.35933407204152,-0.0230085609516131,0.393795099186558,0.397352211623631,0.00355711243707296,0.973333333333333,0.973333333333333,0,347.638575305078,347.638575305078,0,mixed,1
mixed_conflict,1,16,LB/MLB,cio_bias_to_neighbor,8997,0.97,0.962,-0.00800000000000001,-88.0978544700089,-88.0427621157203,0.0550923542886181,8.41685268626481,8.47205458626706,0.0552019000022561,1.25043717430527,1.23171274433354,-0.0187244299717233,0.453333333333333,0.46,0.00666666666666671,759.785259836507,768.106700745717,8.32144090921008,improved_with_tradeoff,1
mixed_conflict,1,16,LB/MLB,cio_bias_to_neighbor,9005,0.97,0.962,-0.00800000000000001,-88.0978544700089,-88.0427621157203,0.0550923542886181,8.41685268626481,8.47205458626706,0.0552019000022561,1.25043717430527,1.23171274433354,-0.0187244299717233,0.453333333333333,0.46,0.00666666666666671,759.785259836507,768.106700745717,8.32144090921008,improved_with_tradeoff,1
mixed_conflict,1,16,LB/MLB,cio_bias_to_neighbor,9031,0.97,0.962,-0.00800000000000001,-88.0978544700089,-88.0427621157203,0.0550923542886181,8.41685268626481,8.47205458626706,0.0552019000022561,1.25043717430527,1.23171274433354,-0.0187244299717233,0.453333333333333,0.46,0.00666666666666671,759.785259836507,768.106700745717,8.32144090921008,improved_with_tradeoff,1
mixed_conflict,1,16,LB/MLB,cio_bias_to_neighbor,9048,0.97,0.962,-0.00800000000000001,-88.0978544700089,-88.0427621157203,0.0550923542886181,8.41685268626481,8.47205458626706,0.0552019000022561,1.25043717430527,1.23171274433354,-0.0187244299717233,0.453333333333333,0.46,0.00666666666666671,759.785259836507,768.106700745717,8.32144090921008,improved_with_tradeoff,1
mixed_conflict,1,16,LB/MLB,cio_bias_to_neighbor,9088,0.97,0.962,-0.00800000000000001,-88.0978544700089,-88.0427621157203,0.0550923542886181,8.41685268626481,8.47205458626706,0.0552019000022561,1.25043717430527,1.23171274433354,-0.0187244299717233,0.453333333333333,0.46,0.00666666666666671,759.785259836507,768.106700745717,8.32144090921008,improved_with_tradeoff,1
mixed_conflict,1,16,LB/MLB,cio_bias_to_neighbor,9097,0.97,0.962,-0.00800000000000001,-88.0978544700089,-88.0427621157203,0.0550923542886181,8.41685268626481,8.47205458626706,0.0552019000022561,1.25043717430527,1.23171274433354,-0.0187244299717233,0.453333333333333,0.46,0.00666666666666671,759.785259836507,768.106700745717,8.32144090921008,improved_with_tradeoff,1
overload,1,17,LB/MLB,cio_bias_to_neighbor,9227,0.974,0.964,-0.01,-88.1465804498253,-88.0852459512855,0.0613344985398641,8.29285972359662,8.33446315875276,0.0416034351561407,1.25567136463091,1.22319458849971,-0.0324767761311968,0.346666666666667,0.333333333333333,-0.0133333333333334,793.54622421941,784.22726321051,-9.31896100890003,mixed,1
overload,1,17,LB/MLB,cio_bias_to_neighbor,9236,0.974,0.964,-0.01,-88.1465804498253,-88.0852459512855,0.0613344985398641,8.29285972359662,8.33446315875276,0.0416034351561407,1.25567136463091,1.22319458849971,-0.0324767761311968,0.346666666666667,0.333333333333333,-0.0133333333333334,793.54622421941,784.22726321051,-9.31896100890003,mixed,1
overload,1,17,LB/MLB,cio_bias_to_neighbor,9314,0.974,0.964,-0.01,-88.1465804498253,-88.0852459512855,0.0613344985398641,8.29285972359662,8.33446315875276,0.0416034351561407,1.25567136463091,1.22319458849971,-0.0324767761311968,0.346666666666667,0.333333333333333,-0.0133333333333334,793.54622421941,784.22726321051,-9.31896100890003,mixed,1
overload,1,17,LB/MLB,cio_bias_to_neighbor,9366,0.974,0.964,-0.01,-88.1465804498253,-88.0852459512855,0.0613344985398641,8.29285972359662,8.33446315875276,0.0416034351561407,1.25567136463091,1.22319458849971,-0.0324767761311968,0.346666666666667,0.333333333333333,-0.0133333333333334,793.54622421941,784.22726321051,-9.31896100890003,mixed,1
mixed_conflict,2,18,LB/MLB,cio_bias_to_neighbor,9438,0.984,0.972,-0.012,-89.1735172929891,-89.0883755929226,0.0851417000665435,8.09582066192095,8.18998317279019,0.094162510869241,1.28239274389068,1.25114546230004,-0.0312472815906355,0.326666666666667,0.313333333333333,-0.0133333333333333,803.916679406105,797.35681493995,-6.55986446615532,mixed,1
mixed_conflict,2,18,LB/MLB,cio_bias_to_neighbor,9529,0.984,0.972,-0.012,-89.1735172929891,-89.0883755929226,0.0851417000665435,8.09582066192095,8.18998317279019,0.094162510869241,1.28239274389068,1.25114546230004,-0.0312472815906355,0.326666666666667,0.313333333333333,-0.0133333333333333,803.916679406105,797.35681493995,-6.55986446615532,mixed,1
mixed_conflict,2,18,LB/MLB,cio_bias_to_neighbor,9568,0.984,0.972,-0.012,-89.1735172929891,-89.0883755929226,0.0851417000665435,8.09582066192095,8.18998317279019,0.094162510869241,1.28239274389068,1.25114546230004,-0.0312472815906355,0.326666666666667,0.313333333333333,-0.0133333333333333,803.916679406105,797.35681493995,-6.55986446615532,mixed,1
mixed_conflict,2,18,LB/MLB,cio_bias_to_neighbor,9582,0.984,0.972,-0.012,-89.1735172929891,-89.0883755929226,0.0851417000665435,8.09582066192095,8.18998317279019,0.094162510869241,1.28239274389068,1.25114546230004,-0.0312472815906355,0.326666666666667,0.313333333333333,-0.0133333333333333,803.916679406105,797.35681493995,-6.55986446615532,mixed,1
degraded_sector,3,2,LB/MLB,cio_bias_to_neighbor,9913,0.976,0.946,-0.03,-88.201020363015,-87.9797217335533,0.221298629461685,9.00624397138462,9.2918356357073,0.285591664322684,0.379172430971411,0.340153490459581,-0.0390189405118301,1,0.946666666666667,-0.0533333333333333,333.251276843591,312.910473657786,-20.3408031858053,mixed,1
mixed_conflict,3,19,LB/MLB,cio_bias_to_neighbor,10028,0.964,0.954,-0.01,-88.2838757213929,-88.2065743155716,0.0773014058213732,8.88090503922193,8.96163280230473,0.0807277630827947,1.21597362278,1.2086355108092,-0.00733811197080603,0.366666666666667,0.393333333333333,0.0266666666666667,783.435521739152,771.777603827037,-11.6579179121152,improved_with_tradeoff,1
mixed_conflict,3,19,LB/MLB,cio_bias_to_neighbor,10045,0.964,0.954,-0.01,-88.2838757213929,-88.2065743155716,0.0773014058213732,8.88090503922193,8.96163280230473,0.0807277630827947,1.21597362278,1.2086355108092,-0.00733811197080603,0.366666666666667,0.393333333333333,0.0266666666666667,783.435521739152,771.777603827037,-11.6579179121152,improved_with_tradeoff,1
mixed_conflict,3,19,LB/MLB,cio_bias_to_neighbor,10068,0.964,0.954,-0.01,-88.2838757213929,-88.2065743155716,0.0773014058213732,8.88090503922193,8.96163280230473,0.0807277630827947,1.21597362278,1.2086355108092,-0.00733811197080603,0.366666666666667,0.393333333333333,0.0266666666666667,783.435521739152,771.777603827037,-11.6579179121152,improved_with_tradeoff,1
