scenario_name,realization_id,source_sector_id,module_name,ai_action_id,oracle_action_id,oracle_kpi_comparison_status,oracle_implementable_flag,oracle_attach_rate,oracle_mean_rsrp_dBm,oracle_mean_sinr_dB,oracle_mean_sector_load,oracle_qos_satisfaction_ratio,oracle_served_traffic_Mbps,oracle_action_type,oracle_es_action
outage_sector,2,2,COC/OH,749,749,comparable_oracle_action,1,0.952,-87.5079032606855,9.26270083739584,0.340177843187092,0.933333333333333,313.638639400685,compensate_neighbor,
outage_sector,9,9,COC/OH,3731,3731,comparable_oracle_action,1,0.95,-88.1808343325589,8.88818103273175,0.329147944930533,0.973333333333333,308.482287413759,compensate_neighbor,
mixed_conflict,11,11,COC/OH,4501,4454,comparable_oracle_action,1,0.964,-88.3685993385738,8.01331813141911,1.32475626134171,0.386666666666667,725.479783230011,compensate_neighbor,
outage_sector,13,13,COC/OH,5435,5435,comparable_oracle_action,1,0.956,-88.6373580282536,7.99207963951773,0.398830555037358,1,333.832439072637,compensate_neighbor,
outage_sector,15,15,COC/OH,6287,6287,comparable_oracle_action,1,0.966,-88.1016537707961,8.82992499183312,0.348398870600426,0.946666666666667,314.396086643782,compensate_neighbor,
mixed_conflict,16,16,COC/OH,6584,6584,comparable_oracle_action,1,0.982,-88.6196431633131,8.54652365575312,1.25521090348689,0.386666666666667,787.390082310894,compensate_neighbor,
mixed_conflict,17,17,COC/OH,7057,7057,comparable_oracle_action,1,0.97,-87.878139208501,8.92298795265967,1.1978466916344,0.4,812.39279899865,compensate_neighbor,
mixed_conflict,18,18,COC/OH,7483,7483,comparable_oracle_action,1,0.976,-89.0453967063319,7.70738444975089,1.28169451560973,0.4,732.6850973596,compensate_neighbor,
outage_sector,18,18,COC/OH,7565,7565,comparable_oracle_action,1,0.95,-87.868206054574,8.37216462221824,0.39809154771251,0.973333333333333,347.638575305078,compensate_neighbor,
outage_sector,18,14,LB/MLB,17534,17530,comparable_oracle_action,1,0.954,-88.0223107158954,8.4087853082197,0.392429020923408,0.973333333333333,347.638575305078,cio_bias_to_neighbor,
mixed_conflict,1,2,LB/MLB,8997,8997,comparable_oracle_action,1,0.968,-88.0826916534019,8.43450811370429,1.23196066906249,0.453333333333333,760.64623589088,cio_bias_to_neighbor,
mixed_conflict,1,3,LB/MLB,9005,9005,comparable_oracle_action,1,0.968,-88.0816302651034,8.43303054253256,1.25108271285301,0.453333333333333,757.356174803088,cio_bias_to_neighbor,
mixed_conflict,1,8,LB/MLB,9031,9031,comparable_oracle_action,1,0.97,-88.1007012943134,8.41122908030028,1.25045528836617,0.453333333333333,758.991138776793,cio_bias_to_neighbor,
