sectorId,siteId,azimuth_deg,attachedUE,loadRatio
1,1,30,13,0.0264765784114053
2,1,150,22,0.044806517311609
3,1,270,23,0.0468431771894094
4,2,30,24,0.0488798370672098
5,2,150,26,0.0529531568228106
6,2,270,26,0.0529531568228106
7,3,30,23,0.0468431771894094
8,3,150,33,0.0672097759674134
9,3,270,22,0.044806517311609
10,4,30,25,0.0509164969450102
11,4,150,22,0.044806517311609
12,4,270,27,0.054989816700611
13,5,30,17,0.0346232179226069
14,5,150,28,0.0570264765784114
15,5,270,25,0.0509164969450102
16,6,30,19,0.0386965376782077
17,6,150,24,0.0488798370672098
18,6,270,27,0.054989816700611
19,7,30,24,0.0488798370672098
20,7,150,16,0.0325865580448065
21,7,270,25,0.0509164969450102
