sectorId,siteId,x_m,y_m,azimuth_deg,txPower_dBm,refSignalPower_dBm,antennaGain_dBi,electricalTilt_deg,status
1,1,0,0,30,46,15,17,6,normal
2,1,0,0,150,46,15,17,6,normal
3,1,0,0,270,46,15,17,6,normal
4,2,0,800.415329707782,30,46,15,17,6,normal
5,2,0,800.415329707782,150,46,15,17,6,normal
6,2,0,800.415329707782,270,46,15,17,6,normal
7,3,693.180009105437,400.207664853891,30,46,15,17,6,normal
8,3,693.180009105437,400.207664853891,150,46,15,17,6,normal
9,3,693.180009105437,400.207664853891,270,46,15,17,6,normal
10,4,693.180009105437,-400.207664853891,30,46,15,17,6,normal
11,4,693.180009105437,-400.207664853891,150,46,15,17,6,normal
12,4,693.180009105437,-400.207664853891,270,46,15,17,6,normal
13,5,0,-800.415329707782,30,46,15,17,6,normal
14,5,0,-800.415329707782,150,46,15,17,6,normal
15,5,0,-800.415329707782,270,46,15,17,6,normal
16,6,-693.180009105437,-400.207664853891,30,46,15,17,6,normal
17,6,-693.180009105437,-400.207664853891,150,46,15,17,6,normal
18,6,-693.180009105437,-400.207664853891,270,46,15,17,6,normal
19,7,-693.180009105437,400.207664853891,30,46,15,17,6,normal
20,7,-693.180009105437,400.207664853891,150,46,15,17,6,normal
21,7,-693.180009105437,400.207664853891,270,46,15,17,6,normal
