scenario_id,scenario_name,sector_id,site_id,azimuth_deg,attached_ue_count,active_ue_count,active_attached_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_capacity_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,overload_flag,es_candidate
1,normal,1,1,30,21,4,4,17.8634324057948,17.8634324057948,0,30.6914485004302,0.582032887940899,-88.2497921678464,-88.4461990504893,4.99114545242917,2.50833267041591,4.46585810144869,4.71220284679173,1,0,0
1,normal,2,1,150,17,1,1,4.93363130501094,4.93363130501094,0,43.8794057991377,0.112436146642348,-85.7738826235953,-85.4713986764819,8.40526609031103,7.5410429707005,4.93363130501094,4.93363130501094,1,0,0
1,normal,3,1,270,20,4,4,23.0048090485235,23.0048090485235,0,30.0537449455309,0.765455655866421,-90.0265626219289,-91.4235192852555,4.72742942619943,3.35937240233636,5.75120226213088,6.61619729410082,1,0,0
1,normal,4,2,30,23,1,1,7.47964408141439,7.47964408141439,0,55.0643779293484,0.135834533371308,-88.491645087168,-86.6260977325075,11.5907647881925,10.5947228618514,7.47964408141439,7.47964408141439,1,0,0
1,normal,5,2,150,23,4,4,14.105533668272,14.105533668272,0,38.4543662450083,0.366812277659184,-87.2730569036018,-87.0215314744135,6.79970717894558,4.49732554190668,3.52638341706799,3.24389359036349,1,0,0
1,normal,6,2,270,27,1,1,5.57627390663465,5.57627390663465,0,40.2110765845342,0.138675071156373,-89.7325094452535,-89.9596281990182,7.46090728026113,5.16271476429945,5.57627390663465,5.57627390663465,1,0,0
1,normal,7,3,30,28,5,5,25.6467860198803,25.6467860198803,0,54.0742180226306,0.474288615863975,-88.4382814116212,-87.3230920990358,11.593458818009,11.428067478927,5.12935720397606,5.32045424100845,1,0,0
1,normal,8,3,150,28,3,3,9.38583691978573,9.38583691978573,0,46.8441639515116,0.200362993552431,-88.6556389581001,-87.9632900728738,9.41575567626503,8.68714290164495,3.12861230659524,2.72894408628813,1,0,0
1,normal,9,3,270,21,4,4,17.0358072171663,17.0358072171663,0,40.5572754001725,0.420043187050329,-86.4410847710782,-86.4319682162405,7.60833592778007,5.12542926287039,4.25895180429158,3.9930831160879,1,0,0
1,normal,10,4,30,27,7,7,32.2302203798421,32.2302203798421,0,41.0771283381852,0.784626912438788,-87.8958253938024,-89.0990790177218,7.77815221090477,7.59429354719235,4.6043171971203,4.37644155559147,1,0,0
