dataset_id,scenario_id,realization_id,scenario_name,traffic_mode,impaired_sector_id,impaired_sector_status,referencePowerOffset_dB,txPowerOffset_dB,enable_es_candidate_flag,enable_handover_stress_metrics,ue_seed,shadowing_seed,traffic_seed
1,1,1,normal,normal,0,normal,0,0,0,0,11101,11201,11301
2,1,2,normal,normal,0,normal,0,0,0,0,11102,11202,11302
3,1,3,normal,normal,0,normal,0,0,0,0,11103,11203,11303
4,1,4,normal,normal,0,normal,0,0,0,0,11104,11204,11304
5,1,5,normal,normal,0,normal,0,0,0,0,11105,11205,11305
6,1,6,normal,normal,0,normal,0,0,0,0,11106,11206,11306
7,1,7,normal,normal,0,normal,0,0,0,0,11107,11207,11307
8,1,8,normal,normal,0,normal,0,0,0,0,11108,11208,11308
9,1,9,normal,normal,0,normal,0,0,0,0,11109,11209,11309
10,1,10,normal,normal,0,normal,0,0,0,0,11110,11210,11310
11,1,11,normal,normal,0,normal,0,0,0,0,11111,11211,11311
12,1,12,normal,normal,0,normal,0,0,0,0,11112,11212,11312
13,1,13,normal,normal,0,normal,0,0,0,0,11113,11213,11313
14,1,14,normal,normal,0,normal,0,0,0,0,11114,11214,11314
15,1,15,normal,normal,0,normal,0,0,0,0,11115,11215,11315
16,1,16,normal,normal,0,normal,0,0,0,0,11116,11216,11316
17,1,17,normal,normal,0,normal,0,0,0,0,11117,11217,11317
18,1,18,normal,normal,0,normal,0,0,0,0,11118,11218,11318
19,1,19,normal,normal,0,normal,0,0,0,0,11119,11219,11319
20,1,20,normal,normal,0,normal,0,0,0,0,11120,11220,11320
21,1,21,normal,normal,0,normal,0,0,0,0,11121,11221,11321
22,2,1,low_load,low_load,0,normal,0,0,0,0,21101,21201,21301
23,2,2,low_load,low_load,0,normal,0,0,0,0,21102,21202,21302
24,2,3,low_load,low_load,0,normal,0,0,0,0,21103,21203,21303
25,2,4,low_load,low_load,0,normal,0,0,0,0,21104,21204,21304
26,2,5,low_load,low_load,0,normal,0,0,0,0,21105,21205,21305
27,2,6,low_load,low_load,0,normal,0,0,0,0,21106,21206,21306
28,2,7,low_load,low_load,0,normal,0,0,0,0,21107,21207,21307
29,2,8,low_load,low_load,0,normal,0,0,0,0,21108,21208,21308
30,2,9,low_load,low_load,0,normal,0,0,0,0,21109,21209,21309
31,2,10,low_load,low_load,0,normal,0,0,0,0,21110,21210,21310
32,2,11,low_load,low_load,0,normal,0,0,0,0,21111,21211,21311
33,2,12,low_load,low_load,0,normal,0,0,0,0,21112,21212,21312
34,2,13,low_load,low_load,0,normal,0,0,0,0,21113,21213,21313
35,2,14,low_load,low_load,0,normal,0,0,0,0,21114,21214,21314
36,2,15,low_load,low_load,0,normal,0,0,0,0,21115,21215,21315
37,2,16,low_load,low_load,0,normal,0,0,0,0,21116,21216,21316
38,2,17,low_load,low_load,0,normal,0,0,0,0,21117,21217,21317
39,2,18,low_load,low_load,0,normal,0,0,0,0,21118,21218,21318
40,2,19,low_load,low_load,0,normal,0,0,0,0,21119,21219,21319
41,2,20,low_load,low_load,0,normal,0,0,0,0,21120,21220,21320
42,2,21,low_load,low_load,0,normal,0,0,0,0,21121,21221,21321
43,3,1,overload,overload,0,normal,0,0,0,0,31101,31201,31301
44,3,2,overload,overload,0,normal,0,0,0,0,31102,31202,31302
45,3,3,overload,overload,0,normal,0,0,0,0,31103,31203,31303
46,3,4,overload,overload,0,normal,0,0,0,0,31104,31204,31304
47,3,5,overload,overload,0,normal,0,0,0,0,31105,31205,31305
48,3,6,overload,overload,0,normal,0,0,0,0,31106,31206,31306
49,3,7,overload,overload,0,normal,0,0,0,0,31107,31207,31307
50,3,8,overload,overload,0,normal,0,0,0,0,31108,31208,31308
51,3,9,overload,overload,0,normal,0,0,0,0,31109,31209,31309
52,3,10,overload,overload,0,normal,0,0,0,0,31110,31210,31310
53,3,11,overload,overload,0,normal,0,0,0,0,31111,31211,31311
54,3,12,overload,overload,0,normal,0,0,0,0,31112,31212,31312
55,3,13,overload,overload,0,normal,0,0,0,0,31113,31213,31313
56,3,14,overload,overload,0,normal,0,0,0,0,31114,31214,31314
57,3,15,overload,overload,0,normal,0,0,0,0,31115,31215,31315
58,3,16,overload,overload,0,normal,0,0,0,0,31116,31216,31316
59,3,17,overload,overload,0,normal,0,0,0,0,31117,31217,31317
60,3,18,overload,overload,0,normal,0,0,0,0,31118,31218,31318
61,3,19,overload,overload,0,normal,0,0,0,0,31119,31219,31319
62,3,20,overload,overload,0,normal,0,0,0,0,31120,31220,31320
63,3,21,overload,overload,0,normal,0,0,0,0,31121,31221,31321
64,4,1,degraded_sector,normal,1,degraded,-10,-10,0,0,41101,41201,41301
65,4,2,degraded_sector,normal,2,degraded,-10,-10,0,0,41102,41202,41302
66,4,3,degraded_sector,normal,3,degraded,-10,-10,0,0,41103,41203,41303
67,4,4,degraded_sector,normal,4,degraded,-10,-10,0,0,41104,41204,41304
68,4,5,degraded_sector,normal,5,degraded,-10,-10,0,0,41105,41205,41305
69,4,6,degraded_sector,normal,6,degraded,-10,-10,0,0,41106,41206,41306
70,4,7,degraded_sector,normal,7,degraded,-10,-10,0,0,41107,41207,41307
71,4,8,degraded_sector,normal,8,degraded,-10,-10,0,0,41108,41208,41308
72,4,9,degraded_sector,normal,9,degraded,-10,-10,0,0,41109,41209,41309
73,4,10,degraded_sector,normal,10,degraded,-10,-10,0,0,41110,41210,41310
74,4,11,degraded_sector,normal,11,degraded,-10,-10,0,0,41111,41211,41311
75,4,12,degraded_sector,normal,12,degraded,-10,-10,0,0,41112,41212,41312
76,4,13,degraded_sector,normal,13,degraded,-10,-10,0,0,41113,41213,41313
77,4,14,degraded_sector,normal,14,degraded,-10,-10,0,0,41114,41214,41314
78,4,15,degraded_sector,normal,15,degraded,-10,-10,0,0,41115,41215,41315
79,4,16,degraded_sector,normal,16,degraded,-10,-10,0,0,41116,41216,41316
80,4,17,degraded_sector,normal,17,degraded,-10,-10,0,0,41117,41217,41317
81,4,18,degraded_sector,normal,18,degraded,-10,-10,0,0,41118,41218,41318
82,4,19,degraded_sector,normal,19,degraded,-10,-10,0,0,41119,41219,41319
83,4,20,degraded_sector,normal,20,degraded,-10,-10,0,0,41120,41220,41320
84,4,21,degraded_sector,normal,21,degraded,-10,-10,0,0,41121,41221,41321
85,5,1,outage_sector,normal,1,outage,-100,-100,0,0,51101,51201,51301
86,5,2,outage_sector,normal,2,outage,-100,-100,0,0,51102,51202,51302
87,5,3,outage_sector,normal,3,outage,-100,-100,0,0,51103,51203,51303
88,5,4,outage_sector,normal,4,outage,-100,-100,0,0,51104,51204,51304
89,5,5,outage_sector,normal,5,outage,-100,-100,0,0,51105,51205,51305
90,5,6,outage_sector,normal,6,outage,-100,-100,0,0,51106,51206,51306
91,5,7,outage_sector,normal,7,outage,-100,-100,0,0,51107,51207,51307
92,5,8,outage_sector,normal,8,outage,-100,-100,0,0,51108,51208,51308
93,5,9,outage_sector,normal,9,outage,-100,-100,0,0,51109,51209,51309
94,5,10,outage_sector,normal,10,outage,-100,-100,0,0,51110,51210,51310
95,5,11,outage_sector,normal,11,outage,-100,-100,0,0,51111,51211,51311
96,5,12,outage_sector,normal,12,outage,-100,-100,0,0,51112,51212,51312
97,5,13,outage_sector,normal,13,outage,-100,-100,0,0,51113,51213,51313
98,5,14,outage_sector,normal,14,outage,-100,-100,0,0,51114,51214,51314
99,5,15,outage_sector,normal,15,outage,-100,-100,0,0,51115,51215,51315
100,5,16,outage_sector,normal,16,outage,-100,-100,0,0,51116,51216,51316
101,5,17,outage_sector,normal,17,outage,-100,-100,0,0,51117,51217,51317
102,5,18,outage_sector,normal,18,outage,-100,-100,0,0,51118,51218,51318
103,5,19,outage_sector,normal,19,outage,-100,-100,0,0,51119,51219,51319
104,5,20,outage_sector,normal,20,outage,-100,-100,0,0,51120,51220,51320
105,5,21,outage_sector,normal,21,outage,-100,-100,0,0,51121,51221,51321
106,6,1,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61101,61201,61301
107,6,2,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61102,61202,61302
108,6,3,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61103,61203,61303
109,6,4,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61104,61204,61304
110,6,5,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61105,61205,61305
111,6,6,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61106,61206,61306
112,6,7,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61107,61207,61307
113,6,8,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61108,61208,61308
114,6,9,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61109,61209,61309
115,6,10,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61110,61210,61310
116,6,11,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61111,61211,61311
117,6,12,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61112,61212,61312
118,6,13,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61113,61213,61313
119,6,14,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61114,61214,61314
120,6,15,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61115,61215,61315
121,6,16,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61116,61216,61316
122,6,17,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61117,61217,61317
123,6,18,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61118,61218,61318
124,6,19,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61119,61219,61319
125,6,20,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61120,61220,61320
126,6,21,low_load_energy_saving_candidate,low_load,0,normal,0,0,1,0,61121,61221,61321
127,7,1,handover_stress,normal,0,normal,0,0,0,1,71101,71201,71301
128,7,2,handover_stress,normal,0,normal,0,0,0,1,71102,71202,71302
129,7,3,handover_stress,normal,0,normal,0,0,0,1,71103,71203,71303
130,7,4,handover_stress,normal,0,normal,0,0,0,1,71104,71204,71304
131,7,5,handover_stress,normal,0,normal,0,0,0,1,71105,71205,71305
132,7,6,handover_stress,normal,0,normal,0,0,0,1,71106,71206,71306
133,7,7,handover_stress,normal,0,normal,0,0,0,1,71107,71207,71307
134,7,8,handover_stress,normal,0,normal,0,0,0,1,71108,71208,71308
135,7,9,handover_stress,normal,0,normal,0,0,0,1,71109,71209,71309
136,7,10,handover_stress,normal,0,normal,0,0,0,1,71110,71210,71310
137,7,11,handover_stress,normal,0,normal,0,0,0,1,71111,71211,71311
138,7,12,handover_stress,normal,0,normal,0,0,0,1,71112,71212,71312
139,7,13,handover_stress,normal,0,normal,0,0,0,1,71113,71213,71313
140,7,14,handover_stress,normal,0,normal,0,0,0,1,71114,71214,71314
141,7,15,handover_stress,normal,0,normal,0,0,0,1,71115,71215,71315
142,7,16,handover_stress,normal,0,normal,0,0,0,1,71116,71216,71316
143,7,17,handover_stress,normal,0,normal,0,0,0,1,71117,71217,71317
144,7,18,handover_stress,normal,0,normal,0,0,0,1,71118,71218,71318
145,7,19,handover_stress,normal,0,normal,0,0,0,1,71119,71219,71319
146,7,20,handover_stress,normal,0,normal,0,0,0,1,71120,71220,71320
147,7,21,handover_stress,normal,0,normal,0,0,0,1,71121,71221,71321
148,8,1,mixed_conflict,overload,1,degraded,-10,-10,0,0,81101,81201,81301
149,8,2,mixed_conflict,overload,2,degraded,-10,-10,0,0,81102,81202,81302
150,8,3,mixed_conflict,overload,3,degraded,-10,-10,0,0,81103,81203,81303
151,8,4,mixed_conflict,overload,4,degraded,-10,-10,0,0,81104,81204,81304
152,8,5,mixed_conflict,overload,5,degraded,-10,-10,0,0,81105,81205,81305
153,8,6,mixed_conflict,overload,6,degraded,-10,-10,0,0,81106,81206,81306
154,8,7,mixed_conflict,overload,7,degraded,-10,-10,0,0,81107,81207,81307
155,8,8,mixed_conflict,overload,8,degraded,-10,-10,0,0,81108,81208,81308
156,8,9,mixed_conflict,overload,9,degraded,-10,-10,0,0,81109,81209,81309
157,8,10,mixed_conflict,overload,10,degraded,-10,-10,0,0,81110,81210,81310
158,8,11,mixed_conflict,overload,11,degraded,-10,-10,0,0,81111,81211,81311
159,8,12,mixed_conflict,overload,12,degraded,-10,-10,0,0,81112,81212,81312
160,8,13,mixed_conflict,overload,13,degraded,-10,-10,0,0,81113,81213,81313
161,8,14,mixed_conflict,overload,14,degraded,-10,-10,0,0,81114,81214,81314
162,8,15,mixed_conflict,overload,15,degraded,-10,-10,0,0,81115,81215,81315
163,8,16,mixed_conflict,overload,16,degraded,-10,-10,0,0,81116,81216,81316
164,8,17,mixed_conflict,overload,17,degraded,-10,-10,0,0,81117,81217,81317
