dataset_id,scenario_id,realization_id,scenario_name,traffic_mode,active_ues,total_served_traffic_Mbps,total_unserved_traffic_Mbps,overloaded_sector_count,mean_sector_load,max_sector_load,mean_best_RSRP_dBm,mean_best_SINR_dB,coverage_ratio,boundary_ue_ratio,handover_risk_score,es_candidate_sector_count,qos_satisfaction_ratio_active
1,1,1,normal,normal,75,312.619525968129,18.1165013088075,1,0.346915608024512,0.811961563038937,-87.9531362934581,9.15487527046466,0.964,0.174273858921162,0.174273858921162,0,0.946666666666667
2,1,2,normal,normal,75,321.358835867669,24.1867592003683,1,0.404050083080475,1.10039653882454,-89.0818573737648,7.92718933677648,0.968,0.18595041322314,0.18595041322314,0,0.92
3,1,3,normal,normal,75,335.399463270526,9.78668648401837,1,0.369882254128349,1.05005479137602,-87.6344619947595,8.98963147881637,0.98,0.148979591836735,0.148979591836735,0,0.986666666666667
4,1,4,normal,normal,75,324.625221578064,2.84628825461771,0,0.354840106358707,0.750837922628369,-88.7431720925173,8.33696758638489,0.974,0.162217659137577,0.162217659137577,0,0.986666666666667
5,1,5,normal,normal,75,312.975303380016,17.4179199421637,1,0.366409674445625,1.14523116897965,-88.6041072456565,8.36511322206786,0.962,0.185031185031185,0.185031185031185,0,0.96
6,1,6,normal,normal,75,356.000689389203,6.03008057000038,1,0.418558571119881,0.955525967892158,-88.5964924278542,8.2814730853276,0.982,0.15071283095723,0.15071283095723,0,0.986666666666667
7,1,7,normal,normal,75,308.371997214877,2.15419576680528,1,0.341575246877154,0.819305312945005,-88.3481536816635,8.64370759791963,0.988,0.159919028340081,0.159919028340081,0,0.986666666666667
8,1,8,normal,normal,75,311.387100529003,7.2449504508511,0,0.354805842499616,0.665223422029785,-88.6972582746596,8.49948816321686,0.972,0.162551440329218,0.162551440329218,0,0.986666666666667
9,1,9,normal,normal,75,319.741465068597,0.0972079799554786,1,0.351489436143874,1.00277419331087,-87.9538892591134,8.78500588875135,0.984,0.166666666666667,0.166666666666667,0,1
10,1,10,normal,normal,75,314.967330960034,0,0,0.349247342572451,0.752156845463904,-88.2002029829663,8.86977017623596,0.976,0.163934426229508,0.163934426229508,0,1
11,1,11,normal,normal,75,328.713057572329,14.4171102107933,2,0.376789979103805,1.29643264283979,-88.0431972456532,8.54881043388466,0.984,0.146341463414634,0.146341463414634,0,0.853333333333333
12,1,12,normal,normal,75,326.032173439386,10.1097910869079,0,0.366379812774464,0.78890016221595,-88.7617616515392,8.3582575434745,0.982,0.169042769857434,0.169042769857434,0,0.973333333333333
13,1,13,normal,normal,75,354.719946046579,0,0,0.399123564654964,0.770304555603655,-88.661399178698,8.55611838615474,0.98,0.171428571428571,0.171428571428571,0,1
14,1,14,normal,normal,75,339.027403054978,10.1485723913013,2,0.406203495624655,1.2887358976316,-88.1034740927266,8.81327870098177,0.982,0.20162932790224,0.20162932790224,0,0.906666666666667
