dataset_name,metric_scope,class_label,metric_name,metric_value
external_phase4b,overall,,accuracy,0.943027210884354
external_phase4b,overall,,macro_precision,0.722250673877454
external_phase4b,overall,,macro_recall,0.964983164983165
external_phase4b,overall,,macro_f1,0.751614848626275
external_phase4b,overall,,weighted_f1,0.962164619760883
external_phase4b,overall,,false_alarm_rate,0.0574314574314574
external_phase4b,overall,,missed_detection_rate,0.0317460317460317
external_phase4b,overall,,outage_recall,1
external_phase4b,overall,,degraded_recall,0.952380952380952
external_phase4b,per_class,normal,precision,0.999388004895961
external_phase4b,per_class,normal,recall,0.942568542568543
external_phase4b,per_class,normal,f1,0.970147036982029
external_phase4b,per_class,normal,support,3465
external_phase4b,per_class,degraded,precision,0.167364016736402
external_phase4b,per_class,degraded,recall,0.952380952380952
external_phase4b,per_class,degraded,f1,0.284697508896797
external_phase4b,per_class,degraded,support,42
external_phase4b,per_class,outage,precision,1
external_phase4b,per_class,outage,recall,1
external_phase4b,per_class,outage,f1,1
external_phase4b,per_class,outage,support,21
