feature_name,importance
qos_satisfaction_ratio_lag1,4.89695345764118e-05
sector_load_ratio_lag2,1.141907633523e-05
sector_load_ratio_lag1,3.05367594304586e-06
offered_traffic_Mbps_lag4,2.53599937557499e-06
sector_load_ratio_lag4,2.41660157602699e-06
cos_hour,1.60539882820102e-06
mean_UE_throughput_Mbps_lag1,1.52345108527038e-06
offered_traffic_Mbps_lag1,1.51772417067439e-06
mean_UE_throughput_Mbps_lag2,1.39886768269997e-06
mean_UE_throughput_Mbps_lag4,1.30576675848369e-06
sin_hour,1.28360108404239e-06
offered_traffic_Mbps_lag2,1.28190357635903e-06
active_ue_count,1.18083976116869e-06
hour_of_day,1.04193449471071e-06
boundary_ue_ratio,9.87517174499447e-07
attached_ue_count,7.41732020574598e-07
served_traffic_Mbps_lag2,5.73000025704922e-07
served_traffic_Mbps_lag1,5.49900042057578e-07
served_traffic_Mbps_lag4,5.19197861332293e-07
mean_RSRP_dBm,4.61402752175487e-07
mean_SINR_dB,3.78239750444379e-07
median_RSRP_dBm,3.76260462719078e-07
median_SINR_dB,3.48701013448553e-07
attach_rate_sector,1.76226720205373e-07
handover_risk_score,0
qos_satisfaction_ratio_lag2,0
qos_satisfaction_ratio_lag4,0
