model_name,split,metric_scope,scenario_name,metric_name,metric_value
QP,validation,overall,ALL,MAE,0.134671223691717
QP,validation,overall,ALL,RMSE,0.268449279998417
QP,validation,overall,ALL,R2,0.531025871601807
QP,validation,overall,ALL,MAPE,9.03113903171691
QP,validation,overall,ALL,mean_error,0.00137796820006212
QP,validation,overall,ALL,median_absolute_error,0.0260109338763541
QP,validation,scenario,normal,MAE,0.111681427768808
QP,validation,scenario,normal,RMSE,0.241128723338815
QP,validation,scenario,normal,R2,-0.0459117273122736
QP,validation,scenario,normal,MAPE,7.30092738386446
QP,validation,scenario,normal,mean_error,0.0136603324327659
QP,validation,scenario,normal,median_absolute_error,0.021751202450262
QP,validation,scenario,low_load,MAE,0.00975925419970068
QP,validation,scenario,low_load,RMSE,0.0131588225725576
QP,validation,scenario,low_load,R2,NaN
QP,validation,scenario,low_load,MAPE,0.975925419970068
QP,validation,scenario,low_load,mean_error,-0.00606972341445981
QP,validation,scenario,low_load,median_absolute_error,0.00770962381448548
QP,validation,scenario,overload,MAE,0.212839135221601
QP,validation,scenario,overload,RMSE,0.344503948177568
QP,validation,scenario,overload,R2,0.499703251785434
QP,validation,scenario,overload,MAPE,17.912021358083
QP,validation,scenario,overload,mean_error,-0.0133108906393649
QP,validation,scenario,overload,median_absolute_error,0.0903188008614166
QP,validation,scenario,handover_stress,MAE,0.142899355820896
QP,validation,scenario,handover_stress,RMSE,0.289506822467818
QP,validation,scenario,handover_stress,R2,-0.0755011507253136
QP,validation,scenario,handover_stress,MAPE,8.92548775081475
QP,validation,scenario,handover_stress,mean_error,0.0104878732319553
QP,validation,scenario,handover_stress,median_absolute_error,0.0216367032237008
QP,validation,scenario,mixed_conflict,MAE,0.196176945447581
QP,validation,scenario,mixed_conflict,RMSE,0.315454740434335
QP,validation,scenario,mixed_conflict,R2,0.590390195826704
QP,validation,scenario,mixed_conflict,MAPE,16.4721427331304
QP,validation,scenario,mixed_conflict,mean_error,0.0021222493894141
QP,validation,scenario,mixed_conflict,median_absolute_error,0.0912659462972513
QP,test,overall,ALL,MAE,0.184673920293461
QP,test,overall,ALL,RMSE,0.322244821299944
QP,test,overall,ALL,R2,0.477843893878131
QP,test,overall,ALL,MAPE,13.4629174922417
QP,test,overall,ALL,mean_error,-0.0011785228655595
QP,test,overall,ALL,median_absolute_error,0.061258281838569
QP,test,scenario,normal,MAE,0.141073061873783
QP,test,scenario,normal,RMSE,0.260661846889073
QP,test,scenario,normal,R2,-0.120725306982034
QP,test,scenario,normal,MAPE,10.1013609169041
QP,test,scenario,normal,mean_error,-0.00347973911791478
QP,test,scenario,normal,median_absolute_error,0.0534314733819759
QP,test,scenario,low_load,MAE,0.0113395339175987
QP,test,scenario,low_load,RMSE,0.0146635031293719
QP,test,scenario,low_load,R2,NaN
QP,test,scenario,low_load,MAPE,1.13395339175987
QP,test,scenario,low_load,mean_error,-0.00745465527660137
QP,test,scenario,low_load,median_absolute_error,0.00953886687826522
QP,test,scenario,overload,MAE,0.296397349192867
QP,test,scenario,overload,RMSE,0.42180372736348
QP,test,scenario,overload,R2,0.259152790621351
QP,test,scenario,overload,MAPE,33.3920800764681
QP,test,scenario,overload,mean_error,0.0157543496721355
QP,test,scenario,overload,median_absolute_error,0.181099511474427
QP,test,scenario,handover_stress,MAE,0.176637637232153
QP,test,scenario,handover_stress,RMSE,0.307073250155809
QP,test,scenario,handover_stress,R2,-0.167501661885161
QP,test,scenario,handover_stress,MAPE,12.7193680256244
QP,test,scenario,handover_stress,mean_error,-0.0213508944242187
QP,test,scenario,handover_stress,median_absolute_error,0.0618183847530164
QP,test,scenario,mixed_conflict,MAE,0.297922019250904
QP,test,scenario,mixed_conflict,RMSE,0.422890815869226
QP,test,scenario,mixed_conflict,R2,0.239996646175017
QP,test,scenario,mixed_conflict,MAPE,34.8211033103751
QP,test,scenario,mixed_conflict,mean_error,0.0106383248188019
QP,test,scenario,mixed_conflict,median_absolute_error,0.18312473475605
