feature_name,importance
qos_satisfaction_ratio_lag1,0.00028276244929643
sector_load_ratio_lag2,8.99712833676889e-05
sector_load_ratio_lag1,2.87797447999139e-05
sector_load_ratio_lag4,1.29594230760273e-05
cos_hour,1.1829161988335e-05
offered_traffic_Mbps_lag4,8.77142990795478e-06
mean_UE_throughput_Mbps_lag4,8.16530574259611e-06
offered_traffic_Mbps_lag1,6.67800995854831e-06
offered_traffic_Mbps_lag2,6.45012849186589e-06
active_ue_count,6.27817738154266e-06
hour_of_day,5.06811199318491e-06
mean_UE_throughput_Mbps_lag2,3.94174261240267e-06
sin_hour,3.82292671323017e-06
mean_UE_throughput_Mbps_lag1,3.49793850755217e-06
attached_ue_count,3.07363917648568e-06
served_traffic_Mbps_lag1,2.46987461241913e-06
boundary_ue_ratio,2.32239022640208e-06
median_SINR_dB,2.23643035690625e-06
mean_SINR_dB,1.7418916253157e-06
mean_RSRP_dBm,1.62945423199424e-06
median_RSRP_dBm,1.48410850606033e-06
served_traffic_Mbps_lag2,1.1275999288948e-06
attach_rate_sector,1.06263540935098e-06
served_traffic_Mbps_lag4,8.06457064427327e-07
qos_satisfaction_ratio_lag2,2.15383415349806e-08
handover_risk_score,0
qos_satisfaction_ratio_lag4,0
