scenario_name,module_name,candidate_count,no_op_count,non_no_op_count,unique_realizations,unique_source_sectors,mean_source_load_ratio,mean_source_qos_satisfaction_ratio,mean_source_handover_risk_score
degraded_sector,COC/OH,2982,21,2961,21,21,0.214050838080614,1,0.199861024440856
degraded_sector,ES,111,0,111,19,20,0.0448161411571597,1,0.175386967553477
degraded_sector,HO/MRO,7298,41,7257,19,15,0.434869298420548,1,0.361889081668266
degraded_sector,LB/MLB,325,25,300,16,11,0.942833569089831,0.96,0.238179566425452
handover_stress,ES,80,0,80,17,15,0.0429113136329113,1,0.336597270031394
handover_stress,HO/MRO,55892,314,55578,21,21,0.462029847850086,0.993527508090615,0.469896330711026
handover_stress,LB/MLB,507,39,468,20,13,0.966528492455372,0.948717948717949,0.531832354361311
low_load,ES,1101,0,1101,21,21,0.0317766432809495,1,0.16014578713972
low_load,HO/MRO,5518,31,5487,17,14,0.0822864273600479,1,0.342725039243998
low_load_energy_saving_candidate,ES,1106,0,1106,21,21,0.0346304126111338,1,0.167989441103922
low_load_energy_saving_candidate,HO/MRO,6052,34,6018,19,14,0.0673329663956271,1,0.357311328522087
mixed_conflict,COC/OH,2982,21,2961,21,21,0.972105428002688,0.75,0.25006263966348
mixed_conflict,ES,5,0,5,2,2,0,NaN,0.226315789473684
mixed_conflict,HO/MRO,8544,48,8496,20,14,1.60701158667196,0.390625,0.359840190402916
mixed_conflict,LB/MLB,4381,337,4044,21,21,1.45552993574601,0.417655786350148,0.186075222876217
normal,ES,91,0,91,20,17,0.042594314158975,1,0.187275635952728
normal,HO/MRO,9078,51,9027,20,12,0.397728265243862,0.979166666666667,0.354509160389939
normal,LB/MLB,247,19,228,14,13,0.997198742254796,0.894736842105263,0.246761598257863
outage_sector,COC/OH,2982,21,2961,21,21,0,0,0
outage_sector,ES,166,0,166,21,21,0.0372855091419892,0.676923076923077,0.112691133653373
outage_sector,HO/MRO,8722,49,8673,21,15,0.437221437938252,0.978723404255319,0.351896242676999
outage_sector,LB/MLB,338,26,312,20,15,0.986142498568223,0.923076923076923,0.236841545541035
overload,ES,4,0,4,2,2,0.0459800805833289,1,0.102380952380952
overload,HO/MRO,7832,44,7788,18,14,1.58315537699307,0.295454545454545,0.356108864358234
overload,LB/MLB,4550,350,4200,21,21,1.45661196547696,0.385714285714286,0.18133563758646
