scenario_name,module_name,candidate_count,mean_reward,median_reward,mean_delta_source_qos,mean_delta_source_load,mean_delta_source_handover_risk
degraded_sector,COC/OH,2982,-0.021137182520963,-0.0188863636363637,0.00109562831534663,0,0
degraded_sector,ES,111,-0.140925838213132,-0.101869567094262,0.00777061581803277,-0.013962581772914,0
degraded_sector,HO/MRO,7298,0.065847030008221,0.06615,0.00114113455741299,0,-0.116966292134831
degraded_sector,LB/MLB,325,-0.119059573641867,-0.1338,0.000608939462469983,-0.0350857872550007,0
handover_stress,ES,80,-0.133231844166316,-0.0467319039386454,0.00137199157612509,-0.0120120336954997,0
handover_stress,HO/MRO,55892,0.0647905719959887,0.06615,0.000260752880555357,0,-0.116966292134828
handover_stress,LB/MLB,507,-0.137943206849026,-0.1338,0.00106198759144545,-0.0401919593371702,0
low_load,ES,1101,-0.101680193630788,-0.0311252775671062,0.00716973490795501,-0.0103764645462,0
low_load,HO/MRO,5518,0.0685526232330553,0.0661500000000001,0.00339579557810801,0,-0.116966292134832
low_load_energy_saving_candidate,ES,1106,-0.1090889511387,-0.0425318356275679,0.00374930114925091,-0.0112234102312061,0
low_load_energy_saving_candidate,HO/MRO,6052,0.0669546017845338,0.06615,0.0020641110376735,0,-0.116966292134831
mixed_conflict,COC/OH,2982,-0.0493708050246705,-0.0467499999999994,0.000547344215669959,0,0
mixed_conflict,ES,5,-0.044,0,0.06,0,0
mixed_conflict,HO/MRO,8544,0.0732501404494379,0.0738375,0.00731039325842694,0,-0.116966292134831
mixed_conflict,LB/MLB,4381,-0.315756960938032,-0.255,0.0231065616965223,-0.0844878177274729,0
normal,ES,91,-0.121406250006641,-0.0754495193521616,0.00290892504945135,-0.0125401239780188,0
normal,HO/MRO,9078,0.065578527759418,0.06615,0.000917382683410442,0,-0.116966292134831
normal,LB/MLB,247,-0.100275224934438,-0.1338,0.0032903379908805,-0.0492053520872809,0
outage_sector,COC/OH,2982,0.0707476694026394,0.0723499999999998,0.0382183098591551,0,0
outage_sector,ES,166,-0.116019462848888,-0.0948998692068228,0.0193184417493114,-0.0118828595087785,0
outage_sector,HO/MRO,8722,0.0653370127264385,0.06615,0.000716120155927539,0,-0.116966292134831
outage_sector,LB/MLB,338,-0.108344579161672,-0.1338,0.00212610871816206,-0.043928657279237,0
overload,ES,4,-0.14375,-0.08,0.0375,0,0
overload,HO/MRO,7832,0.0743666368743613,0.07719375,0.00824080694586309,0,-0.116966292134831
overload,LB/MLB,4550,-0.327112908585346,-0.255,0.0243248930761484,-0.0875004392144583,0
