oracle_group_id,scenario_name,realization_id,source_sector_id,module_name,selected_action_id,selected_action_type,target_sector_id,reward,safety_valid,oracle_selection_reason,is_noop,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action,pre_source_load_ratio,post_source_load_ratio,pre_source_RSRP_dBm,post_source_RSRP_dBm,pre_source_SINR_dB,post_source_SINR_dB,pre_source_qos_satisfaction_ratio,post_source_qos_satisfaction_ratio,pre_source_attach_rate,post_source_attach_rate,pre_source_handover_risk_score,post_source_handover_risk_score
1,degraded_sector,1,1,COC/OH,1,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.187385783208705,0.187385783208705,-85.1441522109653,-85.1441522109653,7.5540859561149,7.5540859561149,1,1,0.9,0.9,0.111111111111111,0.111111111111111
2,mixed_conflict,1,1,COC/OH,143,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.493338183337569,0.493338183337569,-91.8749925926799,-91.8749925926799,2.57858668628164,2.57858668628164,1,1,1,1,0.2,0.2
3,outage_sector,1,1,COC/OH,323,compensate_neighbor,5,0.16095,1,safe_best_reward,0,3,-2,2,0,0,,0,0,-140,-138.25,-20,-19.56,0,0.081,0,0.108,0,0
4,degraded_sector,2,2,COC/OH,427,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0,0,-92.9635470640266,-92.9635470640266,1.54620735193026,1.54620735193026,0,0,1,1,0.625,0.625
5,mixed_conflict,2,2,COC/OH,569,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.773822453236932,0.773822453236932,-89.1669046650142,-89.1669046650142,5.8356892924658,5.8356892924658,1,1,1,1,0.166666666666667,0.166666666666667
6,outage_sector,2,2,COC/OH,749,compensate_neighbor,12,0.16095,1,safe_best_reward,0,3,-2,2,0,0,,0,0,-140,-138.25,-20,-19.56,0,0.081,0,0.108,0,0
7,degraded_sector,3,3,COC/OH,853,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.234905174225454,0.234905174225454,-93.2566605699027,-93.2566605699027,1.29301408417302,1.29301408417302,1,1,1,1,0.583333333333333,0.583333333333333
8,mixed_conflict,3,3,COC/OH,995,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.475718121777718,0.475718121777718,-89.1655056392509,-89.1655056392509,6.10854654476617,6.10854654476617,1,1,1,1,0.0909090909090909,0.0909090909090909
9,outage_sector,3,3,COC/OH,1222,compensate_neighbor,20,0.16095,1,safe_best_reward,0,3,-2,2,0,0,,0,0,-140,-138.25,-20,-19.56,0,0.081,0,0.108,0,0
10,degraded_sector,4,4,COC/OH,1279,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.466007486171755,0.466007486171755,-94.4711398094275,-94.4711398094275,7.53587441367068,7.53587441367068,1,1,0.944444444444444,0.944444444444444,0.117647058823529,0.117647058823529
11,mixed_conflict,4,4,COC/OH,1421,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.377438216194433,0.377438216194433,-94.4380873100306,-94.4380873100306,5.31233858586701,5.31233858586701,1,1,0.666666666666667,0.666666666666667,0.125,0.125
12,outage_sector,4,4,COC/OH,1648,compensate_neighbor,1,0.16095,1,safe_best_reward,0,3,-2,2,0,0,,0,0,-140,-138.25,-20,-19.56,0,0.081,0,0.108,0,0
13,degraded_sector,5,5,COC/OH,1705,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.360186558504309,0.360186558504309,-88.7703963400687,-88.7703963400687,5.00055026352756,5.00055026352756,1,1,0.916666666666667,0.916666666666667,0.181818181818182,0.181818181818182
14,mixed_conflict,5,5,COC/OH,1847,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.637586145200905,0.637586145200905,-90.5644624923234,-90.5644624923234,4.79324321305825,4.79324321305825,1,1,0.9,0.9,0.222222222222222,0.222222222222222
15,outage_sector,5,5,COC/OH,2074,compensate_neighbor,9,0.16095,1,safe_best_reward,0,3,-2,2,0,0,,0,0,-140,-138.25,-20,-19.56,0,0.081,0,0.108,0,0
16,degraded_sector,6,6,COC/OH,2131,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0,0,-94.9050072086765,-94.9050072086765,4.18627883984116,4.18627883984116,0,0,1,1,0.166666666666667,0.166666666666667
