action_id,oracle_group_id,dataset_id,scenario_id,realization_id,scenario_name,source_sector_id,target_sector_id,module_name,action_type,source_sector_load,target_sector_load,source_mean_RSRP_dBm,source_mean_SINR_dB,source_qos_satisfaction_ratio,source_handover_risk_score,source_attach_rate_sector,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,sleep_flag,is_no_op,es_action_code,reward,safety_valid,oracle_selected,oracle_selection_reason,unsafe_fallback_group,safe_training_candidate,invalid_reason,safety_attach_loss,safety_qos_loss,safety_sinr_loss,safety_rsrp_loss,safety_neighbor_overload,safety_handover_risk,safety_es_sleep_impaired,safety_is_unsafe,evaluation_note
19295,860,127,7,1,handover_stress,3,3,ES,keep_active,0.0287868226329955,0.0287868226329955,-88.4159887555387,6.34007515913919,1,0.384615384615385,0.962962962962963,0,0,0,0,0,0,0,0,0,1,1,safe_best_reward,0,1,ok,0,0,0,0,0,0,0,0,local ES keep-active no-op proxy
19296,860,127,7,1,handover_stress,3,3,ES,sleep,0.0287868226329955,0.0287868226329955,-88.4159887555387,6.34007515913919,1,0.384615384615385,0.962962962962963,0,0,0,0,0,1,0,1,-0.0262096920558899,0,0,safe_best_reward,0,0,qos_loss,0,1,0,0,0,0,0,1,local ES sleep proxy
19297,860,127,7,1,handover_stress,3,3,ES,wake_up,0.0287868226329955,0.0287868226329955,-88.4159887555387,6.34007515913919,1,0.384615384615385,0.962962962962963,0,0,0,0,0,0,0,2,-0.415,1,0,safe_best_reward,0,1,ok,0,0,0,0,0,0,0,0,local ES wake-up proxy
19298,861,22,2,1,low_load,2,2,ES,keep_active,0,0,-87.2067842770707,7.7525493977674,0,0.166666666666667,0.857142857142857,0,0,0,0,0,0,0,0,0,1,0,safe_best_reward,0,1,ok,0,0,0,0,0,0,0,0,local ES keep-active no-op proxy
19299,861,22,2,1,low_load,2,2,ES,sleep,0,0,-87.2067842770707,7.7525493977674,0,0.166666666666667,0.857142857142857,0,0,0,0,0,1,0,1,0.25,1,1,safe_best_reward,0,1,ok,0,0,0,0,0,0,0,0,local ES sleep proxy
19300,861,22,2,1,low_load,2,2,ES,wake_up,0,0,-87.2067842770707,7.7525493977674,0,0.166666666666667,0.857142857142857,0,0,0,0,0,0,0,2,-0.16,1,0,safe_best_reward,0,1,ok,0,0,0,0,0,0,0,0,local ES wake-up proxy
19301,862,22,2,1,low_load,3,3,ES,keep_active,0,0,-89.55180466143,6.09467017975838,0,0.357142857142857,1,0,0,0,0,0,0,0,0,0,1,1,safe_best_reward,0,1,ok,0,0,0,0,0,0,0,0,local ES keep-active no-op proxy
19302,862,22,2,1,low_load,3,3,ES,wake_up,0,0,-89.55180466143,6.09467017975838,0,0.357142857142857,1,0,0,0,0,0,0,0,2,-0.235,1,0,safe_best_reward,0,1,ok,0,0,0,0,0,0,0,0,local ES wake-up proxy
19303,863,22,2,1,low_load,4,4,ES,keep_active,0.0429901891515925,0.0429901891515925,-88.3207025315152,11.7209700803122,1,0.0476190476190476,0.91304347826087,0,0,0,0,0,0,0,0,0,1,1,safe_best_reward,0,1,ok,0,0,0,0,0,0,0,0,local ES keep-active no-op proxy
19304,863,22,2,1,low_load,4,4,ES,sleep,0.0429901891515925,0.0429901891515925,-88.3207025315152,11.7209700803122,1,0.0476190476190476,0.91304347826087,0,0,0,0,0,1,0,1,-0.0588774350486629,0,0,safe_best_reward,0,0,qos_loss,0,1,0,0,0,0,0,1,local ES sleep proxy
