module_name,oracle_group_id,scenario_name,realization_id,source_sector_id,top1_predicted_action_id,top1_action_type,oracle_selected_action_id,oracle_match_top1,oracle_match_top2,selected_action_safety_valid
COC/OH,6,outage_sector,2,2,749,compensate_neighbor,749,1,1,1
COC/OH,7,degraded_sector,3,3,853,no_op,853,1,1,1
COC/OH,25,degraded_sector,9,9,3409,no_op,3409,1,1,1
COC/OH,27,outage_sector,9,9,3731,compensate_neighbor,3731,1,1,1
COC/OH,29,mixed_conflict,10,10,3977,no_op,3977,1,1,1
COC/OH,32,mixed_conflict,11,11,4501,compensate_neighbor,4454,0,1,1
COC/OH,39,outage_sector,13,13,5435,compensate_neighbor,5435,1,1,1
COC/OH,45,outage_sector,15,15,6287,compensate_neighbor,6287,1,1,1
COC/OH,47,mixed_conflict,16,16,6584,compensate_neighbor,6584,1,1,1
COC/OH,50,mixed_conflict,17,17,7057,compensate_neighbor,7057,1,1,1
COC/OH,52,degraded_sector,18,18,7243,no_op,7243,1,1,1
COC/OH,53,mixed_conflict,18,18,7385,no_op,7483,0,1,0
COC/OH,54,outage_sector,18,18,7565,compensate_neighbor,7565,1,1,1
COC/OH,58,degraded_sector,20,20,8095,no_op,8131,0,0,1
COC/OH,61,degraded_sector,21,21,8521,no_op,8557,0,0,1
LB/MLB,67,mixed_conflict,1,2,8997,cio_bias_to_neighbor,8997,1,1,1
LB/MLB,68,mixed_conflict,1,3,8999,no_op,9005,0,0,0
LB/MLB,69,mixed_conflict,1,6,9012,no_op,9022,0,0,0
LB/MLB,70,mixed_conflict,1,8,9025,no_op,9031,0,0,0
LB/MLB,71,mixed_conflict,1,10,9048,cio_bias_to_neighbor,9048,1,1,1
LB/MLB,72,mixed_conflict,1,11,9053,cio_bias_to_neighbor,9051,0,0,0
LB/MLB,73,mixed_conflict,1,12,9064,no_op,9064,1,1,0
LB/MLB,74,mixed_conflict,1,13,9088,cio_bias_to_neighbor,9088,1,1,1
LB/MLB,75,mixed_conflict,1,14,9097,cio_bias_to_neighbor,9097,1,1,1
LB/MLB,76,mixed_conflict,1,16,9114,cio_bias_to_neighbor,9105,0,0,0
LB/MLB,77,mixed_conflict,1,19,9118,cio_bias_to_neighbor,9126,0,0,0
LB/MLB,78,mixed_conflict,1,20,9129,no_op,9129,1,1,1
LB/MLB,79,mixed_conflict,1,21,9144,cio_bias_to_neighbor,9152,0,0,0
LB/MLB,81,overload,1,2,9179,cio_bias_to_neighbor,9179,1,1,1
LB/MLB,82,overload,1,4,9188,cio_bias_to_neighbor,9188,1,1,1
LB/MLB,83,overload,1,5,9197,cio_bias_to_neighbor,9197,1,1,1
LB/MLB,84,overload,1,6,9209,cio_bias_to_neighbor,9207,0,0,0
LB/MLB,85,overload,1,8,9227,cio_bias_to_neighbor,9227,1,1,1
LB/MLB,86,overload,1,9,9236,cio_bias_to_neighbor,9236,1,1,1
LB/MLB,87,overload,1,10,9246,no_op,9246,1,1,0
LB/MLB,88,overload,1,11,9261,cio_bias_to_neighbor,9259,0,0,0
LB/MLB,89,overload,1,12,9272,no_op,9272,1,1,0
LB/MLB,90,overload,1,13,9285,no_op,9285,1,1,0
LB/MLB,91,overload,1,14,9305,cio_bias_to_neighbor,9305,1,1,1
LB/MLB,92,overload,1,15,9314,cio_bias_to_neighbor,9314,1,1,1
LB/MLB,93,overload,1,16,9332,cio_bias_to_neighbor,9332,1,1,1
LB/MLB,94,overload,1,18,9337,no_op,9337,1,1,1
LB/MLB,95,overload,1,19,9350,no_op,9350,1,1,0
LB/MLB,96,overload,1,20,9366,cio_bias_to_neighbor,9366,1,1,1
LB/MLB,97,overload,1,21,9378,cio_bias_to_neighbor,9376,0,0,0
LB/MLB,99,mixed_conflict,2,1,9402,no_op,9402,1,1,0
LB/MLB,100,mixed_conflict,2,3,9415,no_op,9425,0,0,0
LB/MLB,101,mixed_conflict,2,4,9428,no_op,9438,0,0,0
LB/MLB,102,mixed_conflict,2,5,9443,cio_bias_to_neighbor,9441,0,0,0
LB/MLB,103,mixed_conflict,2,6,9454,no_op,9456,0,0,0
