split,scenario_name,metric_name,metric_value,module_name,model_name
train,ALL,MAE,0.0206950820325163,COC/OH,Linear_Ridge
train,ALL,RMSE,0.0253688582740646,COC/OH,Linear_Ridge
train,ALL,R2,0.795167115045306,COC/OH,Linear_Ridge
train,ALL,mean_error,-1.7064053297002e-06,COC/OH,Linear_Ridge
train,ALL,median_absolute_error,0.0182680131709362,COC/OH,Linear_Ridge
train,ALL,pearson_r,0.891721439055199,COC/OH,Linear_Ridge
train,ALL,spearman_rho,0.802314585204425,COC/OH,Linear_Ridge
train,ALL,within_0p01,0.275876548393869,COC/OH,Linear_Ridge
train,ALL,within_0p05,0.963048498845266,COC/OH,Linear_Ridge
train,ALL,within_0p10,0.999580096577787,COC/OH,Linear_Ridge
train,degraded_sector,MAE,0.0187920810616845,COC/OH,Linear_Ridge
train,degraded_sector,RMSE,0.0233914529250421,COC/OH,Linear_Ridge
train,degraded_sector,R2,-1.77743851948601,COC/OH,Linear_Ridge
train,degraded_sector,mean_error,0.000390608834176992,COC/OH,Linear_Ridge
train,degraded_sector,median_absolute_error,0.0165503819931225,COC/OH,Linear_Ridge
train,degraded_sector,pearson_r,-0.139418934998088,COC/OH,Linear_Ridge
train,degraded_sector,spearman_rho,-0.183089536385983,COC/OH,Linear_Ridge
train,degraded_sector,within_0p01,0.305295950155763,COC/OH,Linear_Ridge
train,degraded_sector,within_0p05,0.976412995104584,COC/OH,Linear_Ridge
train,degraded_sector,within_0p10,0.999109924343569,COC/OH,Linear_Ridge
train,mixed_conflict,MAE,0.0228622966605992,COC/OH,Linear_Ridge
train,mixed_conflict,RMSE,0.0282134751845167,COC/OH,Linear_Ridge
train,mixed_conflict,R2,-1.57917519170527,COC/OH,Linear_Ridge
train,mixed_conflict,mean_error,-0.00220657591852171,COC/OH,Linear_Ridge
train,mixed_conflict,median_absolute_error,0.0202999942405283,COC/OH,Linear_Ridge
train,mixed_conflict,pearson_r,-0.310878665958117,COC/OH,Linear_Ridge
train,mixed_conflict,spearman_rho,-0.417505257471599,COC/OH,Linear_Ridge
train,mixed_conflict,within_0p01,0.248520710059172,COC/OH,Linear_Ridge
train,mixed_conflict,within_0p05,0.93491124260355,COC/OH,Linear_Ridge
train,mixed_conflict,within_0p10,1,COC/OH,Linear_Ridge
train,outage_sector,MAE,0.0223220446758438,COC/OH,Linear_Ridge
train,outage_sector,RMSE,0.0268216047811277,COC/OH,Linear_Ridge
train,outage_sector,R2,0.589312602365946,COC/OH,Linear_Ridge
train,outage_sector,mean_error,-6.42805319195237e-05,COC/OH,Linear_Ridge
