module_name,model_name,oracle_group_id,scenario_name,realization_id,source_sector_id,top1_predicted_action_id,oracle_selected_action_id,oracle_match_top1,oracle_match_top2,oracle_reward,selected_true_reward,regret
COC/OH,Linear_Ridge,6,outage_sector,2,2,843,843,1,1,0.16095,0.16095,0
COC/OH,Linear_Ridge,7,degraded_sector,3,3,891,853,0,0,0,-0.04425,0.04425
COC/OH,Linear_Ridge,25,degraded_sector,9,9,3494,3409,0,0,0,-0.04425,0.04425
COC/OH,Linear_Ridge,27,outage_sector,9,9,3825,3825,1,1,0.16095,0.16095,0
COC/OH,Linear_Ridge,29,mixed_conflict,10,10,3977,3977,1,1,0,0,0
COC/OH,Linear_Ridge,32,mixed_conflict,11,11,4535,4501,0,0,-0.000928571428571385,-0.0149357142857142,0.0140071428571428
COC/OH,Linear_Ridge,39,outage_sector,13,13,5435,5435,1,1,0.16095,0.16095,0
COC/OH,Linear_Ridge,45,outage_sector,15,15,6381,6381,1,1,0.16095,0.16095,0
COC/OH,Linear_Ridge,47,mixed_conflict,16,16,6618,6584,0,0,-0.00499999999999993,-0.04425,0.0392500000000001
COC/OH,Linear_Ridge,50,mixed_conflict,17,17,7091,7057,0,0,-0.00199999999999993,-0.02265,0.0206500000000001
COC/OH,Linear_Ridge,52,degraded_sector,18,18,7375,7243,0,0,0,-0.03225,0.03225
COC/OH,Linear_Ridge,53,mixed_conflict,18,18,7517,7483,0,0,-0.00499999999999993,-0.04425,0.0392500000000001
COC/OH,Linear_Ridge,54,outage_sector,18,18,7565,7565,1,1,0.16095,0.16095,0
COC/OH,Linear_Ridge,58,degraded_sector,20,20,8180,8178,0,0,0.00395,-0.00321000000000007,0.00716000000000007
COC/OH,Linear_Ridge,61,degraded_sector,21,21,8653,8651,0,0,0.00395000000000002,-0.00321000000000005,0.00716000000000007
COC/OH,Random_Forest,6,outage_sector,2,2,749,749,1,1,0.16095,0.16095,0
COC/OH,Random_Forest,7,degraded_sector,3,3,853,853,1,1,0,0,0
COC/OH,Random_Forest,25,degraded_sector,9,9,3468,3409,0,0,0,-0.0167499999999998,0.0167499999999998
COC/OH,Random_Forest,27,outage_sector,9,9,3731,3731,1,1,0.16095,0.16095,0
COC/OH,Random_Forest,29,mixed_conflict,10,10,3977,3977,1,1,0,0,0
COC/OH,Random_Forest,32,mixed_conflict,11,11,4501,4501,1,1,-0.000928571428571385,-0.000928571428571385,0
COC/OH,Random_Forest,39,outage_sector,13,13,5529,5529,1,1,0.16095,0.16095,0
COC/OH,Random_Forest,45,outage_sector,15,15,6381,6381,1,1,0.16095,0.16095,0
COC/OH,Random_Forest,47,mixed_conflict,16,16,6584,6584,1,1,-0.00499999999999993,-0.00499999999999993,0
COC/OH,Random_Forest,50,mixed_conflict,17,17,7057,7057,1,1,-0.00199999999999993,-0.00199999999999993,0
COC/OH,Random_Forest,52,degraded_sector,18,18,7243,7243,1,1,0,0,0
COC/OH,Random_Forest,53,mixed_conflict,18,18,7483,7483,1,1,-0.00499999999999993,-0.00499999999999993,0
COC/OH,Random_Forest,54,outage_sector,18,18,7659,7659,1,1,0.16095,0.16095,0
COC/OH,Random_Forest,58,degraded_sector,20,20,8131,8131,1,1,0.00395,0.00395,0
COC/OH,Random_Forest,61,degraded_sector,21,21,8521,8651,0,0,0.00395000000000002,0,0.00395000000000002
COC/OH,LSBoost,6,outage_sector,2,2,749,749,1,1,0.16095,0.16095,0
COC/OH,LSBoost,7,degraded_sector,3,3,853,853,1,1,0,0,0
COC/OH,LSBoost,25,degraded_sector,9,9,3409,3409,1,1,0,0,0
COC/OH,LSBoost,27,outage_sector,9,9,3731,3731,1,1,0.16095,0.16095,0
COC/OH,LSBoost,29,mixed_conflict,10,10,3977,3977,1,1,0,0,0
COC/OH,LSBoost,32,mixed_conflict,11,11,4501,4501,1,1,-0.000928571428571385,-0.000928571428571385,0
COC/OH,LSBoost,39,outage_sector,13,13,5435,5435,1,1,0.16095,0.16095,0
COC/OH,LSBoost,45,outage_sector,15,15,6287,6287,1,1,0.16095,0.16095,0
COC/OH,LSBoost,47,mixed_conflict,16,16,6584,6584,1,1,-0.00499999999999993,-0.00499999999999993,0
COC/OH,LSBoost,50,mixed_conflict,17,17,7057,7057,1,1,-0.00199999999999993,-0.00199999999999993,0
COC/OH,LSBoost,52,degraded_sector,18,18,7243,7243,1,1,0,0,0
COC/OH,LSBoost,53,mixed_conflict,18,18,7483,7483,1,1,-0.00499999999999993,-0.00499999999999993,0
COC/OH,LSBoost,54,outage_sector,18,18,7565,7565,1,1,0.16095,0.16095,0
COC/OH,LSBoost,58,degraded_sector,20,20,8095,8131,0,0,0.00395,0,0.00395
COC/OH,LSBoost,61,degraded_sector,21,21,8521,8604,0,0,0.00395000000000002,0,0.00395000000000002
LB/MLB,Linear_Ridge,67,mixed_conflict,1,2,8998,8997,0,1,0.26125,0.17125,0.09
LB/MLB,Linear_Ridge,68,mixed_conflict,1,3,9005,9005,1,1,-0.1275,-0.1275,0
LB/MLB,Linear_Ridge,69,mixed_conflict,1,6,9022,9022,1,1,-0.1275,-0.1275,0
LB/MLB,Linear_Ridge,70,mixed_conflict,1,8,9031,9031,1,1,-0.1275,-0.1275,0
LB/MLB,Linear_Ridge,71,mixed_conflict,1,10,9048,9048,1,1,-0.1338,-0.1338,0
LB/MLB,Linear_Ridge,72,mixed_conflict,1,11,9051,9051,1,1,0,0,0
LB/MLB,Linear_Ridge,73,mixed_conflict,1,12,9076,9064,0,1,0,-0.70375,0.70375
LB/MLB,Linear_Ridge,74,mixed_conflict,1,13,9089,9088,0,1,0.26125,0.17125,0.09
LB/MLB,Linear_Ridge,75,mixed_conflict,1,14,9098,9097,0,1,0.26125,0.17125,0.09
LB/MLB,Linear_Ridge,76,mixed_conflict,1,16,9113,9113,1,1,-0.1275,-0.1275,0
LB/MLB,Linear_Ridge,77,mixed_conflict,1,19,9126,9126,1,1,-0.1338,-0.1338,0
LB/MLB,Linear_Ridge,78,mixed_conflict,1,20,9129,9129,1,1,0,0,0
LB/MLB,Linear_Ridge,79,mixed_conflict,1,21,9152,9152,1,1,-0.1338,-0.1338,0
LB/MLB,Linear_Ridge,81,overload,1,2,9180,9179,0,1,0.184543373614499,0.0945433736144993,0.0899999999999997
LB/MLB,Linear_Ridge,82,overload,1,4,9189,9188,0,1,0.184543373614499,0.0945433736144993,0.0899999999999997
LB/MLB,Linear_Ridge,83,overload,1,5,9198,9197,0,1,0.184543373614499,0.0945433736144993,0.0899999999999997
LB/MLB,Linear_Ridge,84,overload,1,6,9207,9207,1,1,0,0,0
LB/MLB,Linear_Ridge,85,overload,1,8,9228,9227,0,1,-0.0675551058668644,-0.16931513217825,0.101760026311386
LB/MLB,Linear_Ridge,86,overload,1,9,9237,9236,0,0,0.184543373614499,0.0945433736144993,0.0899999999999997
LB/MLB,Linear_Ridge,87,overload,1,10,9254,9246,0,1,0,-0.70375,0.70375
LB/MLB,Linear_Ridge,88,overload,1,11,9259,9259,1,1,0,0,0
LB/MLB,Linear_Ridge,89,overload,1,12,9272,9272,1,1,0,0,0
LB/MLB,Linear_Ridge,90,overload,1,13,9293,9285,0,0,0,-0.70375,0.70375
LB/MLB,Linear_Ridge,91,overload,1,14,9306,9305,0,1,-0.0294387501523238,-0.0588775003046479,0.0294387501523241
LB/MLB,Linear_Ridge,92,overload,1,15,9315,9314,0,1,0.26125,0.17125,0.09
LB/MLB,Linear_Ridge,93,overload,1,16,9332,9332,1,1,0.0428336777262986,0.0428336777262986,0
LB/MLB,Linear_Ridge,94,overload,1,18,9345,9337,0,1,0,-0.135796570157874,0.135796570157874
LB/MLB,Linear_Ridge,95,overload,1,19,9350,9350,1,1,0,0,0
LB/MLB,Linear_Ridge,96,overload,1,20,9367,9366,0,1,0.26125,0.17125,0.09
LB/MLB,Linear_Ridge,97,overload,1,21,9376,9376,1,1,0,0,0
LB/MLB,Linear_Ridge,99,mixed_conflict,2,1,9402,9402,1,1,0,0,0
LB/MLB,Linear_Ridge,100,mixed_conflict,2,3,9425,9425,1,1,-0.1275,-0.1275,0
LB/MLB,Linear_Ridge,101,mixed_conflict,2,4,9438,9438,1,1,-0.1275,-0.1275,0
LB/MLB,Linear_Ridge,102,mixed_conflict,2,5,9441,9441,1,1,0,0,0
LB/MLB,Linear_Ridge,103,mixed_conflict,2,6,9456,9456,1,1,-0.1275,-0.1275,0
LB/MLB,Linear_Ridge,104,mixed_conflict,2,7,9467,9467,1,1,0,0,0
LB/MLB,Linear_Ridge,105,mixed_conflict,2,8,9488,9480,0,1,0,-0.70375,0.70375
LB/MLB,Linear_Ridge,106,mixed_conflict,2,9,9497,9493,0,0,0,-0.70375,0.70375
LB/MLB,Linear_Ridge,107,mixed_conflict,2,10,9518,9506,0,1,0,-0.70375,0.70375
LB/MLB,Linear_Ridge,108,mixed_conflict,2,11,9529,9529,1,1,-0.1275,-0.1275,0
LB/MLB,Linear_Ridge,109,mixed_conflict,2,12,9535,9534,0,1,-0.1338,-0.303168453543336,0.169368453543336
LB/MLB,Linear_Ridge,110,mixed_conflict,2,13,9547,9547,1,1,-0.1275,-0.1275,0
LB/MLB,Linear_Ridge,111,mixed_conflict,2,15,9568,9568,1,1,-0.1338,-0.1338,0
LB/MLB,Linear_Ridge,112,mixed_conflict,2,16,9583,9582,0,1,0.26125,0.17125,0.09
LB/MLB,Linear_Ridge,113,mixed_conflict,2,17,9596,9584,0,0,0,-0.70375,0.70375
LB/MLB,Linear_Ridge,114,mixed_conflict,2,19,9597,9597,1,1,0,0,0
LB/MLB,Linear_Ridge,115,mixed_conflict,2,20,9610,9610,1,1,0,0,0
LB/MLB,Linear_Ridge,116,mixed_conflict,2,21,9625,9625,1,1,-0.1275,-0.1275,0
LB/MLB,Linear_Ridge,118,outage_sector,2,17,9653,9649,0,0,0,-0.152562568850096,0.152562568850096
LB/MLB,Linear_Ridge,119,outage_sector,2,20,9666,9662,0,0,0,-0.176599609979783,0.176599609979783
LB/MLB,Linear_Ridge,138,degraded_sector,3,1,9921,9921,1,1,0.06625,0.06625,0
LB/MLB,Linear_Ridge,142,mixed_conflict,3,4,9961,9961,1,1,0,0,0
LB/MLB,Linear_Ridge,143,mixed_conflict,3,5,9976,9976,1,1,-0.1275,-0.1275,0
LB/MLB,Linear_Ridge,144,mixed_conflict,3,6,9991,9987,0,0,0,-0.70375,0.70375
LB/MLB,Linear_Ridge,145,mixed_conflict,3,7,10000,10000,1,1,0,0,0
LB/MLB,Linear_Ridge,146,mixed_conflict,3,8,10013,10013,1,1,0,0,0
LB/MLB,Linear_Ridge,147,mixed_conflict,3,9,10028,10028,1,1,-0.1275,-0.1275,0
LB/MLB,Linear_Ridge,148,mixed_conflict,3,10,10041,10041,1,1,-0.1275,-0.1275,0
LB/MLB,Linear_Ridge,149,mixed_conflict,3,11,10064,10052,0,1,0,-0.0927977219806489,0.0927977219806489
LB/MLB,Linear_Ridge,150,mixed_conflict,3,12,10069,10068,0,1,0.0928114796445559,0.00281147964455586,0.09
LB/MLB,Linear_Ridge,151,mixed_conflict,3,13,10090,10089,0,0,0.24652193582895,0.17125,0.07527193582895
LB/MLB,Linear_Ridge,152,mixed_conflict,3,14,10103,10102,0,1,0.0278065049344035,-0.0750290988529565,0.10283560378736
LB/MLB,Linear_Ridge,153,mixed_conflict,3,16,10112,10111,0,0,0.26125,0.17125,0.09
LB/MLB,Linear_Ridge,154,mixed_conflict,3,19,10117,10117,1,1,0,0,0
LB/MLB,Linear_Ridge,155,mixed_conflict,3,20,10134,10133,0,1,0.26125,0.17125,0.09
LB/MLB,Linear_Ridge,156,mixed_conflict,3,21,10143,10143,1,1,0,0,0
LB/MLB,Linear_Ridge,157,normal,3,3,10164,10164,1,1,0.06625,0.06625,0
LB/MLB,Linear_Ridge,176,degraded_sector,4,6,10411,10403,0,0,0,-0.149102928807703,0.149102928807703
LB/MLB,Linear_Ridge,177,degraded_sector,4,12,10428,10427,0,0,-0.0238668566292451,-0.0477337132584904,0.0238668566292453
LB/MLB,Linear_Ridge,178,degraded_sector,4,13,10433,10433,1,1,0.05540156711438,0.05540156711438,0
LB/MLB,Linear_Ridge,179,degraded_sector,4,17,10450,10442,0,0,0,-0.112021873484089,0.112021873484089
LB/MLB,Linear_Ridge,180,handover_stress,4,2,10467,10455,0,1,0,-0.143933043771027,0.143933043771027
LB/MLB,Linear_Ridge,181,handover_stress,4,16,10476,10475,0,0,0.0697161126571549,0.06625,0.00346611265715489
LB/MLB,Linear_Ridge,217,handover_stress,5,3,10940,10939,0,0,0.111482705411398,0.06625,0.045232705411398
LB/MLB,Linear_Ridge,218,handover_stress,5,4,10953,10952,0,0,-0.0310552605818644,-0.0621105211637288,0.0310552605818644
LB/MLB,Linear_Ridge,219,handover_stress,5,20,10974,10962,0,0,0,-0.149965500131801,0.149965500131801
LB/MLB,Linear_Ridge,237,outage_sector,5,1,11200,11199,0,0,0.26125,0.17125,0.09
LB/MLB,Linear_Ridge,256,degraded_sector,6,2,11451,11450,0,0,-0.0300447383259831,-0.0600894766519661,0.030044738325983
LB/MLB,Linear_Ridge,257,degraded_sector,6,16,11464,11456,0,0,0,-0.161891215875332,0.161891215875332
LB/MLB,Linear_Ridge,258,degraded_sector,6,20,11473,11469,0,0,0,-0.0976018276415151,0.0976018276415151
LB/MLB,Linear_Ridge,278,outage_sector,6,9,11733,11732,0,0,-0.0229697407911832,-0.0459394815823665,0.0229697407911833
LB/MLB,Linear_Ridge,279,outage_sector,6,18,11750,11742,0,0,0,-0.151138215553412,0.151138215553412
LB/MLB,Linear_Ridge,338,mixed_conflict,8,1,12509,12509,1,1,0,0,0
LB/MLB,Linear_Ridge,339,mixed_conflict,8,2,12530,12522,0,0,0,-0.70375,0.70375
LB/MLB,Linear_Ridge,340,mixed_conflict,8,3,12537,12537,1,1,-0.1275,-0.1275,0
LB/MLB,Linear_Ridge,341,mixed_conflict,8,4,12548,12548,1,1,0,0,0
LB/MLB,Linear_Ridge,342,mixed_conflict,8,5,12571,12571,1,1,-0.127500000000001,-0.127500000000001,0
LB/MLB,Linear_Ridge,343,mixed_conflict,8,6,12580,12580,1,1,-0.1275,-0.1275,0
LB/MLB,Linear_Ridge,344,mixed_conflict,8,7,12591,12590,0,1,0.0549706298324548,-0.0350293701675453,0.0900000000000001
LB/MLB,Linear_Ridge,345,mixed_conflict,8,9,12604,12600,0,1,0,-0.70375,0.70375
LB/MLB,Linear_Ridge,346,mixed_conflict,8,10,12617,12616,0,1,-0.0226783824449851,-0.0453567648899703,0.0226783824449852
LB/MLB,Linear_Ridge,347,mixed_conflict,8,11,12634,12633,0,1,0.0549706298324548,-0.0350293701675453,0.0900000000000001
LB/MLB,Linear_Ridge,348,mixed_conflict,8,12,12647,12639,0,0,0,-0.70375,0.70375
LB/MLB,Linear_Ridge,349,mixed_conflict,8,13,12664,12663,0,1,-0.0391649553756275,-0.0783299107512551,0.0391649553756276
LB/MLB,Linear_Ridge,350,mixed_conflict,8,16,12665,12665,1,1,0,0,0
LB/MLB,Linear_Ridge,351,mixed_conflict,8,19,12678,12678,1,1,0,0,0
LB/MLB,Linear_Ridge,352,mixed_conflict,8,20,12697,12697,1,1,-0.1338,-0.1338,0
LB/MLB,Linear_Ridge,353,mixed_conflict,8,21,12704,12704,1,1,0,0,0
LB/MLB,Linear_Ridge,445,degraded_sector,11,8,13912,13900,0,0,0,-0.167981466157283,0.167981466157283
