episode_id,timestamp,affected_sector_count,affected_sites,affected_sectors,affected_sector_cells,target_label,target_cell_uid,target_sim_sector_id,safe_candidate_rows,rejected_candidate_rows,selected_rows,mean_target_prb,mean_estimated_absorbed_load,mean_estimated_target_prb_after_coc,mean_target_active_users,mean_estimated_target_users_after_coc,decision,decision_note
1,18-May-2026 00:45:00,1,Site 6,"S16","S16 | cell 515_4",S10 | cell 684_1,684_1,10,6,0,0,0.1104,0.05764,0.16804,1.6744,2.7305,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
1,18-May-2026 00:45:00,1,Site 6,"S16","S16 | cell 515_4",S14 | cell 515_1,515_1,14,6,0,0,0.1012,0.05764,0.15884,1.8589,2.915,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
1,18-May-2026 00:45:00,1,Site 6,"S16","S16 | cell 515_4",S15 | cell 515_2,515_2,15,6,0,0,0.0244,0.05764,0.08204,0.2606,1.3167,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
1,18-May-2026 00:45:00,1,Site 6,"S16","S16 | cell 515_4",no-op,,NaN,0,0,1,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
2,19-May-2026 02:45:00,3,Site 1,"S1, S2, S3","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2",S10 | cell 684_1,684_1,10,18,0,0,0.0258,0.21579,0.24159,0.4689,4.15036,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
2,19-May-2026 02:45:00,3,Site 1,"S1, S2, S3","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2",S14 | cell 515_1,515_1,14,18,0,0,0.0255,0.21579,0.24129,0.2833,3.96476,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
2,19-May-2026 02:45:00,3,Site 1,"S1, S2, S3","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2",S18 | cell 515_6,515_6,18,18,0,0,0.0242,0.21579,0.23999,0.2206,3.90206,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
2,19-May-2026 02:45:00,3,Site 1,"S1, S2, S3","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2",no-op,,NaN,0,0,3,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
3,19-May-2026 03:15:00,7,Site 1 + Site 3 + Site 5 + Site 6 + Site 7,"S1, S7, S8, S9, S15, S16, S20","S1 | cell 683_1, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2, S15 | cell 515_2, S16 | cell 515_4, S20 | cell 501_4",S2 | cell 683_3,683_3,2,6,0,0,0.0237,0.52084,0.54454,0.8639,9.88632,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
3,19-May-2026 03:15:00,7,Site 1 + Site 3 + Site 5 + Site 6 + Site 7,"S1, S7, S8, S9, S15, S16, S20","S1 | cell 683_1, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2, S15 | cell 515_2, S16 | cell 515_4, S20 | cell 501_4",S10 | cell 684_1,684_1,10,42,0,0,0.0217,0.52084,0.54254,0.3778,9.40021999999999,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
3,19-May-2026 03:15:00,7,Site 1 + Site 3 + Site 5 + Site 6 + Site 7,"S1, S7, S8, S9, S15, S16, S20","S1 | cell 683_1, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2, S15 | cell 515_2, S16 | cell 515_4, S20 | cell 501_4",S12 | cell 684_3,684_3,12,6,0,0,0.0263,0.52084,0.54714,0.3556,9.37802,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
3,19-May-2026 03:15:00,7,Site 1 + Site 3 + Site 5 + Site 6 + Site 7,"S1, S7, S8, S9, S15, S16, S20","S1 | cell 683_1, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2, S15 | cell 515_2, S16 | cell 515_4, S20 | cell 501_4",S13 | cell 515_3,515_3,13,36,0,0,0.0236,0.52084,0.54444,0.625,9.64742000000001,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
3,19-May-2026 03:15:00,7,Site 1 + Site 3 + Site 5 + Site 6 + Site 7,"S1, S7, S8, S9, S15, S16, S20","S1 | cell 683_1, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2, S15 | cell 515_2, S16 | cell 515_4, S20 | cell 501_4",S14 | cell 515_1,515_1,14,36,0,0,0.02,0.52084,0.54084,0.1139,9.13632,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
