source_event_id,timestamp,sim_site_id,sim_position,source_sim_sector_id,source_vendor_site_key,source_cell_uid,source_cell_id,source_cell_name,cod_state,cod_reason,target_sim_sector_id,target_vendor_site_key,target_cell_uid,action_type,delta_prs_dB,delta_tilt_deg,delta_cio_dB,is_no_op,source_sector_load,target_sector_load,source_mean_RSRP_dBm,source_mean_SINR_dB,source_qos_satisfaction_ratio,source_handover_risk_score,source_attach_rate_sector,source_active_users,target_active_users,target_traffic_volume_dl_kbyte,estimated_absorbed_load_proxy,estimated_absorbed_users_proxy,estimated_target_load_after_coc,estimated_target_users_after_coc,target_load_headroom_to_hard_limit,target_overload_safety_status,current_target_rs_power_dbm,current_target_electrical_tilt_deg,suggested_target_rs_power_dbm,suggested_target_electrical_tilt_deg,target_cell_availability,target_erab_drop_rate,ml_safety_status,model_name,rsrp_proxy_method,sinr_proxy_method,config_source,parameter_suggestion,prediction_claim,engineering_selection_allowed,engineering_selection_note,predicted_reward,ml_rank,ml_selected
2026-05-18 00:45:00|S16,18-May-2026 00:45:00,6,SOUTHWEST,16,shutis,515_4,4,UB-DU-SHUTIS_01,degraded_kpi,traffic_collapse|low_erab_setup,NaN,,,no_op,0,0,0,1,0.0468,0.0468,-107.7216,7.84713168251886,0.896,0,1,0.9589,NaN,NaN,0.05764,1.0561,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,-0.00118222873126891,1,1
2026-05-19 02:45:00|S1,19-May-2026 02:45:00,1,CENTER,1,gemtel,683_1,1,UB-DU-Shine gemtel 29r bair_01,degraded_kpi,high_rrc_drop,NaN,,,no_op,0,0,0,1,0.0672,0.0672,-109.0056,7.34949703808119,0.8835,0.25,0.9932,1.3374,NaN,NaN,0.21579,3.68146,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,-0.000645157375840102,1,1
2026-05-19 02:45:00|S2,19-May-2026 02:45:00,1,CENTER,2,gemtel,683_3,3,UB-DU-Shine gemtel 29r bair_03,degraded_kpi,traffic_collapse|high_rrc_drop,NaN,,,no_op,0,0,0,1,0.0268,0.0268,-108.197,-0.717061822780617,0.5799,0.0625,0.9968,0.9017,NaN,NaN,0.21579,3.68146,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,-0.00102014373903971,1,1
2026-05-19 02:45:00|S3,19-May-2026 02:45:00,1,CENTER,3,gemtel,683_2,2,UB-DU-Shine gemtel 29r bair_02,degraded_kpi,high_rrc_drop|high_erab_drop,NaN,,,no_op,0,0,0,1,0.0825,0.0825,-107.7047,-4.63895555421507,0.3396,0.1818,1,1.02,NaN,NaN,0.21579,3.68146,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,-0.000931705056131308,1,1
2026-05-19 03:15:00|S1,19-May-2026 03:15:00,1,CENTER,1,gemtel,683_1,1,UB-DU-Shine gemtel 29r bair_01,degraded_kpi,high_erab_drop,NaN,,,no_op,0,0,0,1,0.0966,0.0966,-107.2082,7.97707983781301,0.8788,0,1,2.675,NaN,NaN,0.52084,9.02242,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,-0.000787868766470837,1,1
2026-05-19 03:15:00|S7,19-May-2026 03:15:00,3,NORTHEAST,7,denver,501_3,3,UB-DU-11r horoolol Denver_03,degraded_kpi,high_erab_drop,NaN,,,no_op,0,0,0,1,0.0825,0.0825,-106.9639,7.91383440807508,0.878,0,1,2.2934,NaN,NaN,0.52084,9.02242,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,-0.000787868766470837,1,1
2026-05-19 03:15:00|S8,19-May-2026 03:15:00,3,NORTHEAST,8,denver,501_1,1,UB-DU-11r horoolol Denver_01,degraded_kpi,high_erab_drop,NaN,,,no_op,0,0,0,1,0.1771,0.1771,-108.164,7.95583265222161,0.8719,0,1,1.6669,NaN,NaN,0.52084,9.02242,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,-0.000777457572266006,1,1
2026-05-19 03:15:00|S9,19-May-2026 03:15:00,3,NORTHEAST,9,denver,501_2,2,UB-DU-11r horoolol Denver_02,degraded_kpi,high_erab_drop,NaN,,,no_op,0,0,0,1,0.1431,0.1431,-106.1353,7.81245785192334,0.8864,0,1,3.5556,NaN,NaN,0.52084,9.02242,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,-0.000787868766470837,1,1
2026-05-19 03:15:00|S15,19-May-2026 03:15:00,5,SOUTH,15,mkm,515_2,2,UB-DU-64r delguur MKM_02,degraded_kpi,high_erab_drop,NaN,,,no_op,0,0,0,1,0.081,0.081,-107.0093,7.79354643695236,0.8921,0,1,0.7439,NaN,NaN,0.52084,9.02242,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,-0.000787868766470837,1,1
2026-05-19 03:15:00|S16,19-May-2026 03:15:00,6,SOUTHWEST,16,shutis,515_4,4,UB-DU-SHUTIS_01,degraded_kpi,high_erab_drop,NaN,,,no_op,0,0,0,1,0.0671,0.0671,-107.9369,7.41401521223131,0.8601,0,1,0.9967,NaN,NaN,0.52084,9.02242,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,-0.000995635159901509,1,1
