affected_sector,sim_sector_id,cell_uid,display_cell,total_rows,low_prb_rows,low_users_rows,low_traffic_rows,instant_low_load_rows,max_consecutive_low_load_count,max_consecutive_low_load_minutes,consecutive_low_load_rows,sleep_candidate_rows,cod_blocked_rows,site_incident_blocked_rows,neighbor_load_blocked_rows,best_es_gate_score,closest_low_load_timestamp,main_block_reason,proof_summary
S14,14,515_1,S14 | cell 515_1,587,164,114,5,5,3,45,0,0,0,0,0,0.5235986328125,21-May-2026 04:45:00,instant_low_load_seen_but_not_consecutive,"S14 | cell 515_1 ES gate summary: PRB pass 164/587, users pass 114/587, traffic pass 5/587, instant all-gate pass 5, max consecutive low-load 3/4 intervals, sleep candidates 0."
S17,17,515_5,S17 | cell 515_5,587,181,139,1,1,1,15,0,0,0,0,0,0.7998125,22-May-2026 03:00:00,instant_low_load_seen_but_not_consecutive,"S17 | cell 515_5 ES gate summary: PRB pass 181/587, users pass 139/587, traffic pass 1/587, instant all-gate pass 1, max consecutive low-load 1/4 intervals, sleep candidates 0."
S12,12,684_3,S12 | cell 684_3,587,165,59,0,0,0,0,0,0,0,0,0,1.803017578125,23-May-2026 06:00:00,low_load_gate_not_satisfied,"S12 | cell 684_3 ES gate summary: PRB pass 165/587, users pass 59/587, traffic pass 0/587, instant all-gate pass 0, max consecutive low-load 0/4 intervals, sleep candidates 0."
S3,3,683_2,S3 | cell 683_2,585,108,72,0,0,0,0,0,0,0,0,0,1.818087890625,21-May-2026 04:30:00,low_load_gate_not_satisfied,"S3 | cell 683_2 ES gate summary: PRB pass 108/585, users pass 72/585, traffic pass 0/585, instant all-gate pass 0, max consecutive low-load 0/4 intervals, sleep candidates 0."
S15,15,515_2,S15 | cell 515_2,587,153,104,0,0,0,0,0,0,0,0,0,1.86672265625,23-May-2026 06:15:00,low_load_gate_not_satisfied,"S15 | cell 515_2 ES gate summary: PRB pass 153/587, users pass 104/587, traffic pass 0/587, instant all-gate pass 0, max consecutive low-load 0/4 intervals, sleep candidates 0."
S10,10,684_1,S10 | cell 684_1,587,147,97,0,0,0,0,0,0,0,0,0,2.9836552734375,19-May-2026 05:30:00,low_load_gate_not_satisfied,"S10 | cell 684_1 ES gate summary: PRB pass 147/587, users pass 97/587, traffic pass 0/587, instant all-gate pass 0, max consecutive low-load 0/4 intervals, sleep candidates 0."
S16,16,515_4,S16 | cell 515_4,587,144,102,0,0,0,0,0,0,0,0,0,3.36798034667969,18-May-2026 05:30:00,low_load_gate_not_satisfied,"S16 | cell 515_4 ES gate summary: PRB pass 144/587, users pass 102/587, traffic pass 0/587, instant all-gate pass 0, max consecutive low-load 0/4 intervals, sleep candidates 0."
S18,18,515_6,S18 | cell 515_6,587,162,111,0,0,0,0,0,0,0,0,0,6.38139501953125,20-May-2026 05:45:00,low_load_gate_not_satisfied,"S18 | cell 515_6 ES gate summary: PRB pass 162/587, users pass 111/587, traffic pass 0/587, instant all-gate pass 0, max consecutive low-load 0/4 intervals, sleep candidates 0."
S9,9,501_2,S9 | cell 501_2,588,79,21,0,0,0,0,0,0,0,0,0,12.4999125976562,21-May-2026 05:00:00,low_load_gate_not_satisfied,"S9 | cell 501_2 ES gate summary: PRB pass 79/588, users pass 21/588, traffic pass 0/588, instant all-gate pass 0, max consecutive low-load 0/4 intervals, sleep candidates 0."
S13,13,515_3,S13 | cell 515_3,587,107,17,0,0,0,0,0,0,0,0,0,15.2231474609375,22-May-2026 05:45:00,low_load_gate_not_satisfied,"S13 | cell 515_3 ES gate summary: PRB pass 107/587, users pass 17/587, traffic pass 0/587, instant all-gate pass 0, max consecutive low-load 0/4 intervals, sleep candidates 0."
S5,5,608_2,S5 | cell 608_2,586,71,0,0,0,0,0,0,0,0,0,0,20.0617203369141,18-May-2026 05:45:00,low_load_gate_not_satisfied,"S5 | cell 608_2 ES gate summary: PRB pass 71/586, users pass 0/586, traffic pass 0/586, instant all-gate pass 0, max consecutive low-load 0/4 intervals, sleep candidates 0."
S21,21,501_5,S21 | cell 501_5,588,19,0,0,0,0,0,0,0,0,0,0,30.246154296875,18-May-2026 05:30:00,low_load_gate_not_satisfied,"S21 | cell 501_5 ES gate summary: PRB pass 19/588, users pass 0/588, traffic pass 0/588, instant all-gate pass 0, max consecutive low-load 0/4 intervals, sleep candidates 0."
S6,6,608_3,S6 | cell 608_3,586,58,0,0,0,0,0,0,0,0,0,0,33.7223095703125,19-May-2026 04:45:00,low_load_gate_not_satisfied,"S6 | cell 608_3 ES gate summary: PRB pass 58/586, users pass 0/586, traffic pass 0/586, instant all-gate pass 0, max consecutive low-load 0/4 intervals, sleep candidates 0."
S8,8,501_1,S8 | cell 501_1,588,49,0,0,0,0,0,0,0,0,0,0,36.1139825439453,18-May-2026 04:15:00,low_load_gate_not_satisfied,"S8 | cell 501_1 ES gate summary: PRB pass 49/588, users pass 0/588, traffic pass 0/588, instant all-gate pass 0, max consecutive low-load 0/4 intervals, sleep candidates 0."
S4,4,608_1,S4 | cell 608_1,586,79,0,0,0,0,0,0,0,0,0,0,38.3166083984375,19-May-2026 04:15:00,low_load_gate_not_satisfied,"S4 | cell 608_1 ES gate summary: PRB pass 79/586, users pass 0/586, traffic pass 0/586, instant all-gate pass 0, max consecutive low-load 0/4 intervals, sleep candidates 0."
