sim_site_id,sim_sector_id,vendor_site_key,cell_uid,vendor_cell_name,row_count,unique_timestamp_count,duplicate_timestamp_count,missing_vs_expected_7day_15min,complete_7day_15min,start_time,end_time
1,1,gemtel,683_1,UB-DU-Shine gemtel 29r bair_01,585,585,0,87,0,17-May-2026 23:45:00,24-May-2026 02:00:00
1,2,gemtel,683_3,UB-DU-Shine gemtel 29r bair_03,585,585,0,87,0,17-May-2026 23:45:00,24-May-2026 02:00:00
1,3,gemtel,683_2,UB-DU-Shine gemtel 29r bair_02,585,585,0,87,0,17-May-2026 23:45:00,24-May-2026 02:00:00
2,4,uulzwar,608_1,UB-DU-11r horoolol uulzvar_01,586,586,0,86,0,17-May-2026 23:45:00,24-May-2026 02:15:00
2,5,uulzwar,608_2,UB-DU-11r horoolol uulzvar_02,586,586,0,86,0,17-May-2026 23:45:00,24-May-2026 02:15:00
2,6,uulzwar,608_3,UB-DU-11r horoolol uulzvar_03,586,586,0,86,0,17-May-2026 23:45:00,24-May-2026 02:15:00
3,7,denver,501_3,UB-DU-11r horoolol Denver_03,588,588,0,84,0,17-May-2026 23:45:00,24-May-2026 02:30:00
3,8,denver,501_1,UB-DU-11r horoolol Denver_01,588,588,0,84,0,17-May-2026 23:45:00,24-May-2026 02:30:00
3,9,denver,501_2,UB-DU-11r horoolol Denver_02,588,588,0,84,0,17-May-2026 23:45:00,24-May-2026 02:30:00
4,10,rivercastle,684_1,UB-DU-River castle_01,587,587,0,85,0,17-May-2026 23:45:00,24-May-2026 02:15:00
4,11,rivercastle,684_2,UB-DU-River castle_02,587,587,0,85,0,17-May-2026 23:45:00,24-May-2026 02:15:00
4,12,rivercastle,684_3,UB-DU-River castle_03,587,587,0,85,0,17-May-2026 23:45:00,24-May-2026 02:15:00
5,13,mkm,515_3,UB-DU-64r delguur MKM_03,587,587,0,85,0,17-May-2026 23:45:00,24-May-2026 02:15:00
5,14,mkm,515_1,UB-DU-64r delguur MKM_01,587,587,0,85,0,17-May-2026 23:45:00,24-May-2026 02:15:00
5,15,mkm,515_2,UB-DU-64r delguur MKM_02,587,587,0,85,0,17-May-2026 23:45:00,24-May-2026 02:15:00
6,16,shutis,515_4,UB-DU-SHUTIS_01,587,587,0,85,0,17-May-2026 23:45:00,24-May-2026 02:15:00
6,17,shutis,515_5,UB-DU-SHUTIS_02,587,587,0,85,0,17-May-2026 23:45:00,24-May-2026 02:15:00
6,18,shutis,515_6,UB-DU-SHUTIS_03,587,587,0,85,0,17-May-2026 23:45:00,24-May-2026 02:15:00
7,19,hiid,501_6,UB-DU-Dashchoilin hiid Velox_03,588,588,0,84,0,17-May-2026 23:45:00,24-May-2026 02:30:00
7,20,hiid,501_4,UB-DU-Dashchoilin hiid Velox_01,588,588,0,84,0,17-May-2026 23:45:00,24-May-2026 02:30:00
7,21,hiid,501_5,UB-DU-Dashchoilin hiid Velox_02,588,588,0,84,0,17-May-2026 23:45:00,24-May-2026 02:30:00
