affected_sector,sim_sector_id,cell_uid,cell_id,display_cell,first_timestamp,last_timestamp,peak_timestamp,interval_count,duration_minutes,max_qp_risk_score,peak_qp_risk_class,predicted_dl_prb_at_peak,min_predicted_dl_throughput_mbps_1h,current_dl_throughput_at_peak_mbps,predicted_dl_throughput_at_peak_mbps_1h,predicted_throughput_drop_ratio_at_peak,actual_throughput_drop_ratio_at_peak_1h,mae_dl_throughput_mbps_1h,r2_dl_throughput_1h,recommended_qp_action,proof_summary
S20,20,501_4,4,S20 | cell 501_4,20-May-2026 13:15:00,20-May-2026 13:15:00,20-May-2026 13:15:00,1,15,0.36329181368661,degradation_risk,0.824905,25.569376,33.40608,25.569376,0.234589152633293,0.555467747188536,3.95779492123288,0.288001256289193,review_capacity_lb_scheduler,"S20 | cell 501_4 QP risk from 20-May 13:15 to 20-May 13:15; peak 20-May 13:15 risk 0.36, predicted PRB 82.5%, current throughput 33.4 Mbps, predicted +1h throughput 25.6 Mbps, predicted drop 23.5%, actual +1h throughput drop 55.5%; throughput check rows=584, MAE 3.96 Mbps, R2 0.29; reason: predicted throughput drop 23.5%"
S19,19,501_6,6,S19 | cell 501_6,23-May-2026 14:30:00,23-May-2026 15:00:00,23-May-2026 14:45:00,3,45,0.4550379778173,degradation_risk,0.921085,29.556608,39.76432,31.6547,0.203942127012357,0.16652516627972,4.1221688196347,0.0460282900782805,review_capacity_lb_scheduler,"S19 | cell 501_6 QP risk from 23-May 14:30 to 23-May 15:00; peak 23-May 14:45 risk 0.46, predicted PRB 92.1%, current throughput 39.8 Mbps, predicted +1h throughput 31.7 Mbps, predicted drop 20.4%, actual +1h throughput drop 16.7%; throughput check rows=584, MAE 4.12 Mbps, R2 0.05; reason: predicted PRB 92.1%|predicted throughput drop 20.4%"
S20,20,501_4,4,S20 | cell 501_4,21-May-2026 16:30:00,21-May-2026 17:00:00,21-May-2026 16:30:00,3,45,0.405048721465783,degradation_risk,0.890935,17.332316,21.62176,17.332316,0.198385515332702,0.233931002841582,3.95779492123288,0.288001256289193,review_capacity_lb_scheduler,"S20 | cell 501_4 QP risk from 21-May 16:30 to 21-May 17:00; peak 21-May 16:30 risk 0.41, predicted PRB 89.1%, current throughput 21.6 Mbps, predicted +1h throughput 17.3 Mbps, predicted drop 19.8%, actual +1h throughput drop 23.4%; throughput check rows=584, MAE 3.96 Mbps, R2 0.29; reason: predicted PRB 89.1%|predicted throughput drop 19.8%"
S13,13,515_3,3,S13 | cell 515_3,21-May-2026 18:00:00,21-May-2026 18:15:00,21-May-2026 18:00:00,2,30,0.367609583588866,degradation_risk,0.871835,23.401244,29.53312,23.899876,0.190743273992047,0.370965207875091,4.09865021497999,-0.0431364642415406,review_capacity_lb_scheduler,"S13 | cell 515_3 QP risk from 21-May 18:00 to 21-May 18:15; peak 21-May 18:00 risk 0.37, predicted PRB 87.2%, current throughput 29.5 Mbps, predicted +1h throughput 23.9 Mbps, predicted drop 19.1%, actual +1h throughput drop 37.1%; throughput check rows=583, MAE 4.10 Mbps, R2 -0.04; reason: predicted PRB 87.2%|predicted throughput drop 19.1%"
S4,4,608_1,1,S4 | cell 608_1,21-May-2026 22:30:00,21-May-2026 22:30:00,21-May-2026 22:30:00,1,15,0.303301350069982,degradation_risk,0.837285,25.985964,31.66544,25.985964,0.179358821478558,0.259980597143131,3.67365929008074,-0.120321102229336,review_capacity_lb_scheduler,"S4 | cell 608_1 QP risk from 21-May 22:30 to 21-May 22:30; peak 21-May 22:30 risk 0.30, predicted PRB 83.7%, current throughput 31.7 Mbps, predicted +1h throughput 26.0 Mbps, predicted drop 17.9%, actual +1h throughput drop 26.0%; throughput check rows=578, MAE 3.67 Mbps, R2 -0.12; reason: predicted throughput drop 17.9%"
S7,7,501_3,3,S7 | cell 501_3,22-May-2026 10:30:00,22-May-2026 10:30:00,22-May-2026 10:30:00,1,15,0.241755098422639,degradation_risk,0.80658,28.036244,33.62072,28.036244,0.166102213159028,0.29807095148468,4.77262518150685,0.264622808527493,review_capacity_lb_scheduler,"S7 | cell 501_3 QP risk from 22-May 10:30 to 22-May 10:30; peak 22-May 10:30 risk 0.24, predicted PRB 80.7%, current throughput 33.6 Mbps, predicted +1h throughput 28.0 Mbps, predicted drop 16.6%, actual +1h throughput drop 29.8%; throughput check rows=584, MAE 4.77 Mbps, R2 0.26; reason: predicted throughput drop 16.6%"
S13,13,515_3,3,S13 | cell 515_3,20-May-2026 16:30:00,20-May-2026 16:30:00,20-May-2026 16:30:00,1,15,0.270475833595048,degradation_risk,0.835785,19.359908,22.97672,19.359908,0.157412023996462,0.198378184527644,4.09865021497999,-0.0431364642415406,review_capacity_lb_scheduler,"S13 | cell 515_3 QP risk from 20-May 16:30 to 20-May 16:30; peak 20-May 16:30 risk 0.27, predicted PRB 83.6%, current throughput 23.0 Mbps, predicted +1h throughput 19.4 Mbps, predicted drop 15.7%, actual +1h throughput drop 19.8%; throughput check rows=583, MAE 4.10 Mbps, R2 -0.04; reason: predicted throughput drop 15.7%"
S16,16,515_4,4,S16 | cell 515_4,20-May-2026 16:30:00,20-May-2026 16:30:00,20-May-2026 16:30:00,1,15,0.230949913122136,degradation_risk,0.808125,18.381512,21.80072,18.381512,0.156839223658668,0,4.8082474591195,-0.0390508558083378,review_capacity_lb_scheduler,"S16 | cell 515_4 QP risk from 20-May 16:30 to 20-May 16:30; peak 20-May 16:30 risk 0.23, predicted PRB 80.8%, current throughput 21.8 Mbps, predicted +1h throughput 18.4 Mbps, predicted drop 15.7%, actual +1h throughput drop 0.0%; throughput check rows=583, MAE 4.81 Mbps, R2 -0.04; reason: predicted throughput drop 15.7%"
S21,21,501_5,5,S21 | cell 501_5,20-May-2026 17:00:00,20-May-2026 17:00:00,20-May-2026 17:00:00,1,15,0.360229021642214,degradation_risk,0.9008,24.974832,29.6088,24.974832,0.156506444030153,0.375107400502553,3.48563576655251,0.0285238389902087,review_capacity_lb_scheduler,"S21 | cell 501_5 QP risk from 20-May 17:00 to 20-May 17:00; peak 20-May 17:00 risk 0.36, predicted PRB 90.1%, current throughput 29.6 Mbps, predicted +1h throughput 25.0 Mbps, predicted drop 15.7%, actual +1h throughput drop 37.5%; throughput check rows=584, MAE 3.49 Mbps, R2 0.03; reason: predicted PRB 90.1%|predicted throughput drop 15.7%"
S16,16,515_4,4,S16 | cell 515_4,22-May-2026 18:15:00,22-May-2026 18:30:00,22-May-2026 18:15:00,2,30,0.324060742428048,degradation_risk,0.8751,23.377068,27.71016,23.377068,0.156371958877177,0,4.8082474591195,-0.0390508558083378,review_capacity_lb_scheduler,"S16 | cell 515_4 QP risk from 22-May 18:15 to 22-May 18:30; peak 22-May 18:15 risk 0.32, predicted PRB 87.5%, current throughput 27.7 Mbps, predicted +1h throughput 23.4 Mbps, predicted drop 15.6%, actual +1h throughput drop 0.0%; throughput check rows=583, MAE 4.81 Mbps, R2 -0.04; reason: predicted PRB 87.5%|predicted throughput drop 15.6%"
