affected_sector,sim_sector_id,cell_uid,cell_id,vendor_cell_name,display_cell,overload_event_count,first_timestamp,last_timestamp,peak_timestamp,max_predicted_dl_prb,actual_dl_prb_at_peak_1h,mean_predicted_dl_prb,max_predicted_active_users,mae_dl_prb_1h,r2_dl_prb_1h,recommended_tp_action,proof_summary
S21,21,501_5,5,UB-DU-Dashchoilin hiid Velox_02,S21 | cell 501_5,287,17-May-2026 23:45:00,24-May-2026 01:00:00,21-May-2026 18:30:00,0.98077,0.9026,0.887698236062718,45.4846725,0.133341665953196,0.603204865028913,high_overload_risk_review_LB_or_capacity_help,"S21 cell 501_5 exceeded 80% predicted DL PRB for 287 intervals; peak 21-May 18:30 predicted 98.1%, actual 90.3%; TP check rows=584, MAE=13.3%, R2=0.60"
S7,7,501_3,3,UB-DU-11r horoolol Denver_03,S7 | cell 501_3,210,18-May-2026 00:00:00,24-May-2026 00:15:00,23-May-2026 12:30:00,0.987295,0.9782,0.88308928968254,29.45536,0.144051756563927,0.627490103612356,blocked_by_cod_incident_first,"S7 cell 501_3 exceeded 80% predicted DL PRB for 210 intervals; peak 23-May 12:30 predicted 98.7%, actual 97.8%; TP check rows=584, MAE=14.4%, R2=0.63"
S19,19,501_6,6,UB-DU-Dashchoilin hiid Velox_03,S19 | cell 501_6,173,17-May-2026 23:45:00,24-May-2026 01:15:00,23-May-2026 23:15:00,0.967005,0.8501,0.860980869460501,28.71047,0.135390129138128,0.583722104336642,high_overload_risk_review_LB_or_capacity_help,"S19 cell 501_6 exceeded 80% predicted DL PRB for 173 intervals; peak 23-May 23:15 predicted 96.7%, actual 85.0%; TP check rows=584, MAE=13.5%, R2=0.58"
S18,18,515_6,6,UB-DU-SHUTIS_03,S18 | cell 515_6,164,18-May-2026 08:30:00,22-May-2026 19:15:00,18-May-2026 10:15:00,0.96424,0.6862,0.869720365853659,51.6659925,0.108707504288165,0.786184620088358,high_overload_risk_review_LB_or_capacity_help,"S18 cell 515_6 exceeded 80% predicted DL PRB for 164 intervals; peak 18-May 10:15 predicted 96.4%, actual 68.6%; TP check rows=583, MAE=10.9%, R2=0.79"
S20,20,501_4,4,UB-DU-Dashchoilin hiid Velox_01,S20 | cell 501_4,115,18-May-2026 09:15:00,22-May-2026 17:45:00,22-May-2026 12:30:00,0.927145,0.8543,0.856136793478261,31.560505,0.123323366152968,0.658753023976085,blocked_by_cod_incident_first,"S20 cell 501_4 exceeded 80% predicted DL PRB for 115 intervals; peak 22-May 12:30 predicted 92.7%, actual 85.4%; TP check rows=584, MAE=12.3%, R2=0.66"
S4,4,608_1,1,UB-DU-11r horoolol uulzvar_01,S4 | cell 608_1,113,18-May-2026 00:00:00,23-May-2026 22:30:00,22-May-2026 18:15:00,0.96565,0.8997,0.861113174778761,28.59512375,0.123293996539792,0.687746860357675,high_overload_risk_review_LB_or_capacity_help,"S4 cell 608_1 exceeded 80% predicted DL PRB for 113 intervals; peak 22-May 18:15 predicted 96.6%, actual 90.0%; TP check rows=578, MAE=12.3%, R2=0.69"
S8,8,501_1,1,UB-DU-11r horoolol Denver_01,S8 | cell 501_1,96,18-May-2026 12:00:00,23-May-2026 15:15:00,22-May-2026 10:00:00,0.91002,0.7201,0.842753151041667,24.909385,0.148150017836758,0.569878949951199,blocked_by_cod_incident_first,"S8 cell 501_1 exceeded 80% predicted DL PRB for 96 intervals; peak 22-May 10:00 predicted 91.0%, actual 72.0%; TP check rows=584, MAE=14.8%, R2=0.57"
S16,16,515_4,4,UB-DU-SHUTIS_01,S16 | cell 515_4,70,18-May-2026 13:45:00,22-May-2026 19:15:00,22-May-2026 18:45:00,0.9364,0.5585,0.842297678571429,24.84303,0.113091874642653,0.736650064952705,blocked_by_cod_incident_first,"S16 cell 515_4 exceeded 80% predicted DL PRB for 70 intervals; peak 22-May 18:45 predicted 93.6%, actual 55.9%; TP check rows=583, MAE=11.3%, R2=0.74"
S13,13,515_3,3,UB-DU-64r delguur MKM_03,S13 | cell 515_3,56,18-May-2026 09:00:00,22-May-2026 19:15:00,22-May-2026 10:30:00,0.93594,0.7635,0.845036785714286,33.46851,0.122738950114351,0.663371254063795,high_overload_risk_review_LB_or_capacity_help,"S13 cell 515_3 exceeded 80% predicted DL PRB for 56 intervals; peak 22-May 10:30 predicted 93.6%, actual 76.3%; TP check rows=583, MAE=12.3%, R2=0.66"
S9,9,501_2,2,UB-DU-11r horoolol Denver_02,S9 | cell 501_2,47,18-May-2026 08:15:00,22-May-2026 15:30:00,18-May-2026 10:00:00,0.92657625,0.8347,0.845158430851064,31.2153775,0.146045278253425,0.525583343163175,blocked_by_cod_incident_first,"S9 cell 501_2 exceeded 80% predicted DL PRB for 47 intervals; peak 18-May 10:00 predicted 92.7%, actual 83.5%; TP check rows=584, MAE=14.6%, R2=0.53"
S11,11,684_2,2,UB-DU-River castle_02,S11 | cell 684_2,24,20-May-2026 14:30:00,22-May-2026 20:00:00,22-May-2026 19:00:00,0.90232,0.802,0.837173958333333,27.03444,0.105148700686106,0.708746572345238,high_overload_risk_review_LB_or_capacity_help,"S11 cell 684_2 exceeded 80% predicted DL PRB for 24 intervals; peak 22-May 19:00 predicted 90.2%, actual 80.2%; TP check rows=583, MAE=10.5%, R2=0.71"
S6,6,608_3,3,UB-DU-11r horoolol uulzvar_03,S6 | cell 608_3,22,19-May-2026 19:00:00,23-May-2026 21:45:00,21-May-2026 17:45:00,0.88605,0.7904,0.843030681818182,22.213415,0.133622205882353,0.534180057469031,moderate_overload_risk_monitor,"S6 cell 608_3 exceeded 80% predicted DL PRB for 22 intervals; peak 21-May 17:45 predicted 88.6%, actual 79.0%; TP check rows=578, MAE=13.4%, R2=0.53"
S5,5,608_2,2,UB-DU-11r horoolol uulzvar_02,S5 | cell 608_2,7,18-May-2026 15:30:00,20-May-2026 23:15:00,18-May-2026 19:30:00,0.8777875,0.7801,0.829888035714286,24.89776,0.111065961649366,0.65163705434298,moderate_overload_risk_monitor,"S5 cell 608_2 exceeded 80% predicted DL PRB for 7 intervals; peak 18-May 19:30 predicted 87.8%, actual 78.0%; TP check rows=578, MAE=11.1%, R2=0.65"
S3,3,683_2,2,UB-DU-Shine gemtel 29r bair_02,S3 | cell 683_2,6,18-May-2026 13:15:00,18-May-2026 17:00:00,18-May-2026 13:45:00,0.88814,0.7541,0.874817291666667,15.064985,0.120675936597343,0.52127338108404,moderate_overload_risk_monitor,"S3 cell 683_2 exceeded 80% predicted DL PRB for 6 intervals; peak 18-May 13:45 predicted 88.8%, actual 75.4%; TP check rows=577, MAE=12.1%, R2=0.52"
S1,1,683_1,1,UB-DU-Shine gemtel 29r bair_01,S1 | cell 683_1,5,18-May-2026 00:15:00,18-May-2026 01:15:00,18-May-2026 01:00:00,0.94413125,0.2357,0.9049445,11.31218375,0.124355829722704,0.352941493399767,high_overload_risk_review_LB_or_capacity_help,"S1 cell 683_1 exceeded 80% predicted DL PRB for 5 intervals; peak 18-May 01:00 predicted 94.4%, actual 23.6%; TP check rows=577, MAE=12.4%, R2=0.35"
S2,2,683_3,3,UB-DU-Shine gemtel 29r bair_03,S2 | cell 683_3,5,21-May-2026 09:00:00,22-May-2026 17:45:00,21-May-2026 11:00:00,0.932405,0.6255,0.843702,16.31662,0.136315233246678,0.448023305142445,high_overload_risk_review_LB_or_capacity_help,"S2 cell 683_3 exceeded 80% predicted DL PRB for 5 intervals; peak 21-May 11:00 predicted 93.2%, actual 62.5%; TP check rows=577, MAE=13.6%, R2=0.45"
S15,15,515_2,2,UB-DU-64r delguur MKM_02,S15 | cell 515_2,2,22-May-2026 09:30:00,22-May-2026 09:45:00,22-May-2026 09:30:00,0.835175,0.7258,0.83387,22.641845,0.104247450686106,0.694755018398808,moderate_overload_risk_monitor,"S15 cell 515_2 exceeded 80% predicted DL PRB for 2 intervals; peak 22-May 09:30 predicted 83.5%, actual 72.6%; TP check rows=583, MAE=10.4%, R2=0.69"
S12,12,684_3,3,UB-DU-River castle_03,S12 | cell 684_3,1,18-May-2026 11:45:00,18-May-2026 11:45:00,18-May-2026 11:45:00,0.8075,0.6266,0.8075,16.5143325,0.0976436363636364,0.70942977944926,moderate_overload_risk_monitor,"S12 cell 684_3 exceeded 80% predicted DL PRB for 1 intervals; peak 18-May 11:45 predicted 80.8%, actual 62.7%; TP check rows=583, MAE=9.8%, R2=0.71"
